comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.7959245,1.2222408056259155
321,3,0,0,0.97820216,
819,1,1,1,0.86125743,
746,1,0,0,0.89409083,
397,8,1,0,0.7056287,
397,2,0,0,0.96703446,
264,17,1,1,0.9410484,
85,1,0,0,0.91815513,
202,2,1,0,0.91990155,
282,1,0,0,0.9822649,
339,6,1,1,0.64327997,
264,9,0,0,0.9070396,
628,1,0,0,0.9782468,
559,1,0,0,0.95860416,
121,2,1,1,0.8851654,
342,4,0,0,0.91151977,
791,1,0,0,0.8941344,
662,1,0,0,0.9490256,
578,1,1,0,0.6043868,
250,10,0,0,0.8930454,
560,4,1,1,0.5275571,
250,11,0,0,0.56511515,
190,3,1,1,0.9520843,
616,2,0,1,0.5633446,
48,1,1,1,0.5765129,
50,1,0,0,0.9585945,
685,1,0,0,0.98162365,
174,1,0,0,0.9787498,
244,2,1,1,0.84821343,
622,1,0,0,0.9744771,
354,5,0,0,0.85473645,
164,3,0,1,0.89040256,
663,1,0,0,0.9790212,
725,1,0,0,0.9833924,
647,2,0,0,0.82681125,
507,3,0,0,0.8599922,
237,1,1,0,0.67662644,
553,2,0,0,0.96163195,
253,4,0,1,0.6800958,
518,1,0,1,0.89957106,
693,3,0,0,0.56107205,
714,1,0,0,0.9494723,
284,1,0,0,0.8643509,
760,2,0,1,0.7756895,
606,2,0,0,0.82158047,
780,1,0,0,0.6824025,
121,4,0,0,0.8001933,
250,2,0,0,0.9798814,
307,3,0,0,0.82971716,
604,5,1,1,0.86348957,
250,9,0,0,0.94135296,
250,14,0,0,0.8520276,
264,3,0,0,0.94832253,
680,1,0,0,0.9041195,
366,5,0,0,0.9613041,
524,1,0,0,0.54804236,
32,5,0,0,0.6407718,
741,3,1,1,0.7777982,
267,1,1,1,0.67779493,
362,1,0,1,0.8157928,
267,2,0,0,0.52231145,
11,2,0,0,0.8337167,
179,1,0,0,0.9170261,
210,1,0,0,0.55750245,
377,1,0,0,0.8327432,
468,1,0,0,0.98065764,
794,2,1,1,0.93008554,
692,1,0,0,0.9296416,
103,1,0,0,0.97764605,
63,1,1,1,0.7871176,
229,1,0,0,0.6805183,
110,3,0,0,0.9767918,
390,6,0,0,0.5832178,
34,3,0,0,0.6654953,
778,3,0,0,0.9633926,
118,3,0,1,0.6021924,
781,3,0,0,0.7017853,
528,2,0,1,0.55120176,
264,12,0,0,0.8418165,
412,4,0,0,0.8067331,
598,2,0,0,0.9871427,
718,2,0,0,0.79064566,
127,1,0,0,0.8260842,
188,1,0,0,0.98171,
666,1,0,0,0.8609615,
318,11,1,0,0.5891569,
288,1,0,0,0.9104568,
162,1,0,0,0.93729955,
8,1,0,0,0.5389944,
412,7,1,1,0.827766,
824,4,1,0,0.8006015,
561,1,1,0,0.58248156,
539,1,0,0,0.9072155,
816,1,0,0,0.87699574,
584,1,0,0,0.81415826,
419,1,0,0,0.8917996,
764,1,1,1,0.83138293,
353,3,0,0,0.9417681,
433,1,0,0,0.98501045,
762,1,1,1,0.8517366,
250,13,0,0,0.68123454,
288,2,0,0,0.83791846,
327,1,0,0,0.9846058,
264,22,0,0,0.74682504,
190,2,0,0,0.979428,
229,2,0,0,0.84559715,
583,1,0,0,0.9693559,
632,7,1,1,0.93891644,
797,2,0,1,0.688475,
675,1,0,0,0.7112072,
109,2,0,0,0.8300943,
331,1,1,0,0.50783116,
501,6,0,0,0.96975064,
323,1,0,0,0.7252221,
613,1,1,0,0.6500784,
570,2,1,1,0.81865007,
710,3,1,0,0.92843974,
318,17,1,1,0.54487795,
297,2,0,0,0.5975664,
622,4,0,0,0.50095606,
288,5,0,0,0.9341003,
299,5,0,0,0.9608379,
290,2,0,0,0.9271481,
51,1,0,0,0.9710241,
372,1,0,0,0.5188786,
313,1,0,0,0.9720568,
150,2,1,0,0.6059947,
264,18,0,0,0.9565906,
740,3,0,0,0.8866524,
659,2,1,1,0.69631785,
210,2,0,0,0.8361995,
191,1,0,0,0.97764677,
185,1,0,1,0.6481865,
468,2,1,0,0.8462844,
169,1,1,0,0.7097288,
701,1,0,0,0.92127085,
588,2,1,0,0.72456515,
264,1,0,0,0.9193015,
774,9,0,0,0.89480585,
130,1,0,0,0.94481146,
699,1,0,0,0.9416338,
369,3,0,0,0.74110687,
55,1,0,0,0.6138037,
339,1,1,0,0.6821181,
201,1,1,1,0.9108663,
22,2,0,0,0.69977385,
280,3,1,1,0.79951286,
257,3,1,1,0.5938348,
477,1,0,0,0.97823024,
95,3,0,0,0.95734006,
145,2,1,0,0.8764449,
618,4,0,0,0.84912694,
265,1,0,0,0.9373229,
641,1,0,0,0.9700088,
755,1,1,1,0.7153267,
759,2,0,0,0.6533379,
157,1,0,0,0.9600453,
811,2,1,0,0.7727345,
793,3,1,0,0.91776127,
37,3,1,0,0.5383717,
264,8,0,1,0.5125208,
