comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.1655643
321,3,0,0,0.2689,0.02616028
819,1,1,1,0.9526,1.0815612
746,1,0,0,0.0474,0.18984932
397,8,1,0,0.9526,0.37464893
397,2,0,0,0.0474,0.04503637
264,17,1,1,0.9526,0.6916153
85,1,0,0,0.0474,0.14052774
202,2,1,0,0.9526,0.40595493
282,1,0,0,0.0474,0.13763174
339,6,1,1,0.9526,0.64328104
264,9,0,0,0.0474,0.21815541
628,1,0,0,0.0474,0.10267527
559,1,0,0,0.0474,0.19945043
121,2,1,1,0.9526,1.0240911
342,4,0,0,0.0474,0.14557663
791,1,0,0,0.0474,0.06726738
662,1,0,0,0.2689,0.23919916
578,1,1,0,0.9526,0.25766
250,10,0,0,0.0474,0.20337917
560,4,1,1,0.9526,0.5687642
250,11,0,0,0.0474,0.44121554
190,3,1,1,0.9526,0.8426648
616,2,0,0,0.2689,0.30740133
48,1,1,1,0.9526,0.6069133
50,1,0,0,0.0474,0.051231604
685,1,0,0,0.0474,-0.05808649
174,1,0,0,0.0474,-0.039904036
244,2,1,1,0.9526,0.6716137
622,1,0,0,0.0474,-0.02271772
354,5,0,0,0.0474,0.18873611
164,3,0,1,0.0474,0.7460194
663,1,0,0,0.0474,-0.08525545
725,1,0,0,0.0474,0.22522846
647,2,0,0,0.0474,0.2247439
507,3,0,0,0.0474,0.23417768
237,1,1,1,0.9526,0.50208455
553,2,0,0,0.2689,0.23379834
253,4,0,0,0.0474,0.4297405
518,1,0,1,0.2689,0.72471005
693,3,0,0,0.0474,0.40609315
714,1,0,0,0.0474,0.13326564
284,1,0,0,0.2689,0.21375789
760,2,0,1,0.2689,0.663316
606,2,0,0,0.2689,0.2290187
780,1,0,0,0.2689,0.44246575
121,4,0,0,0.0474,0.45746794
250,2,0,0,0.0474,0.036824953
307,3,0,0,0.2689,0.19072121
604,5,1,1,0.9526,0.80635375
250,9,0,0,0.0474,0.20250228
250,14,0,0,0.0474,0.14865942
264,3,0,0,0.0474,0.30212823
680,1,0,0,0.0474,0.0031142056
366,5,0,0,0.0474,-0.014764023
524,1,0,0,0.0474,0.38097385
32,5,0,0,0.0474,0.4673851
741,3,1,1,0.9526,0.668204
267,1,1,1,0.9526,0.6848805
362,1,0,1,0.0474,0.8978159
267,2,0,1,0.0474,0.60795313
11,2,0,0,0.0474,0.3183138
179,1,0,0,0.0474,0.26829067
210,1,0,0,0.0474,0.45548344
377,1,0,0,0.0474,0.15649763
468,1,0,0,0.0474,-0.019832088
794,2,1,1,0.9526,0.7935545
692,1,0,0,0.2689,0.041079734
103,1,0,0,0.0474,-0.08291546
63,1,1,1,0.9526,0.78321195
229,1,0,0,0.0474,0.17897792
110,3,0,0,0.0474,0.21585819
390,6,0,0,0.0474,0.42384422
34,3,0,0,0.0474,0.22461036
778,3,0,0,0.0474,0.13651192
118,3,0,0,0.2689,0.40663883
781,3,0,0,0.2689,0.22033504
528,2,0,0,0.2689,0.3434117
264,12,0,0,0.0474,0.2815369
412,4,0,0,0.2689,0.23897567
598,2,0,0,0.2689,0.09077446
718,2,0,0,0.0474,0.36387995
127,1,0,0,0.0474,0.15321378
188,1,0,0,0.0474,0.13471186
666,1,0,0,0.2689,0.07175688
318,11,1,1,0.9526,0.72497
288,1,0,0,0.0474,0.20613968
162,1,0,0,0.0474,0.22650231
8,1,0,0,0.0474,0.23341078
412,7,1,1,0.9526,1.0210049
824,4,1,1,0.9526,0.5697177
561,1,1,0,0.9526,0.39437774
539,1,0,0,0.0474,0.36110905
816,1,0,0,0.0474,0.11417403
584,1,0,0,0.0474,0.28577116
419,1,0,0,0.2689,0.14024174
764,1,1,1,0.9526,0.56097585
353,3,0,0,0.0474,0.08316333
433,1,0,0,0.0474,0.026714364
762,1,1,1,0.9526,0.86635524
250,13,0,0,0.0474,0.2432071
288,2,0,0,0.0474,0.27569866
327,1,0,0,0.0474,0.19393525
264,22,0,0,0.0474,0.36622897
190,2,0,0,0.2689,0.19118218
229,2,0,0,0.0474,0.05284528
583,1,0,0,0.0474,0.14804572
632,7,1,1,0.9526,1.1188892
797,2,0,1,0.2689,0.524973
675,1,0,0,0.2689,0.40042272
109,2,0,0,0.0474,0.28850362
331,1,1,1,0.9526,0.56851584
501,6,0,0,0.0474,0.14880921
323,1,0,0,0.0474,0.12444832
613,1,1,1,0.9526,0.5136438
570,2,1,1,0.9526,0.8094263
710,3,1,0,0.9526,0.123790994
318,17,1,0,0.9526,0.47389555
297,2,0,0,0.0474,0.4099249
622,4,0,0,0.0474,0.41175944
288,5,0,0,0.2689,0.2831744
299,5,0,0,0.0474,0.044678833
290,2,0,0,0.2689,0.16207007
51,1,0,0,0.0474,0.03541562
372,1,0,0,0.0474,0.411769
313,1,0,0,0.0474,0.13118935
150,2,1,0,0.9526,0.41010746
264,18,0,0,0.0474,0.18364713
740,3,0,0,0.0474,0.09274693
659,2,1,1,0.9526,0.84783643
210,2,0,0,0.0474,0.2695521
191,1,0,0,0.0474,0.012033734
185,1,0,1,0.0474,0.571473
468,2,1,0,0.9526,0.2999338
169,1,1,0,0.9526,0.2716969
701,1,0,0,0.2689,0.20430374
588,2,1,0,0.9526,0.314551
264,1,0,0,0.0474,0.2507803
774,9,0,0,0.0474,0.18591487
130,1,0,0,0.2689,0.13939628
699,1,0,0,0.0474,0.31557217
369,3,0,1,0.0474,0.55607283
55,1,0,0,0.0474,0.27561745
339,1,1,0,0.9526,0.28555202
201,1,1,1,0.9526,0.7610956
22,2,0,0,0.0474,0.32267794
280,3,1,1,0.9526,0.5037696
257,3,1,1,0.9526,0.63760364
477,1,0,0,0.0474,0.072572485
95,3,0,0,0.0474,0.31635657
145,2,1,0,0.9526,0.13079146
618,4,0,0,0.0474,0.13498819
265,1,0,0,0.0474,0.2608137
641,1,0,0,0.0474,0.08841937
755,1,1,0,0.9526,0.47456226
759,2,0,1,0.0474,0.5087542
157,1,0,0,0.0474,0.0148153035
811,2,1,0,0.9526,0.28218696
793,3,1,0,0.9526,0.33728796
37,3,1,1,0.9526,0.5876619
264,8,0,1,0.2689,0.5818876
596,2,0,0,0.0474,0.01061138
374,1,0,0,0.0474,0.033600893
35,1,1,1,0.9526,0.62859404
321,1,0,0,0.0474,0.13881731
34,2,0,0,0.0474,0.20181166
79,1,0,0,0.0474,0.1427069
322,4,0,0,0.2689,0.26056162
273,4,1,0,0.9526,0.44047996
397,6,0,0,0.0474,0.20380631
235,2,0,0,0.0474,0.11404204
228,1,0,0,0.0474,0.182124
490,1,1,0,0.9526,0.098661594
814,4,1,0,0.9526,0.347297
465,2,0,0,0.2689,0.15910506
265,2,0,0,0.0474,0.062000398
453,7,0,0,0.0474,0.085528925
311,5,1,1,0.9526,0.6694637
37,1,0,0,0.2689,0.4483327
693,1,1,0,0.9526,0.38287777
290,4,0,1,0.2689,0.60816485
608,2,1,1,0.9526,0.99802846
487,4,0,0,0.0474,0.31585798
571,1,0,0,0.2689,0.12680003
419,2,0,0,0.0474,0.09815842
498,3,0,0,0.0474,0.106827304
787,2,0,1,0.0474,0.9758544
202,1,0,0,0.0474,0.061464336
484,2,0,1,0.0474,0.65707415
784,1,0,0,0.2689,0.17297961
493,5,0,0,0.0474,0.22373435
12,1,0,0,0.0474,0.13098639
506,1,1,1,0.9526,0.7517775
719,1,1,1,0.9526,0.90311575
562,1,1,1,0.9526,0.7732634
525,2,0,0,0.0474,0.09763939
664,1,0,0,0.0474,0.034656435
459,2,0,0,0.0474,0.24530347
632,6,1,1,0.9526,0.6217051
640,2,0,0,0.0474,0.209935
46,3,0,0,0.0474,-0.1291465
297,1,0,1,0.0474,0.5192393
494,4,1,1,0.9526,0.8889931
143,1,1,1,0.9526,0.7691833
432,3,0,0,0.0474,0.033776924
697,1,1,1,0.9526,0.56617826
708,1,0,0,0.0474,0.45574927
83,1,0,0,0.0474,0.218727
664,3,0,0,0.0474,0.0046365713
108,1,1,1,0.9526,0.91809314
355,3,0,0,0.0474,-0.00938302
412,1,0,0,0.0474,0.13396253
790,1,0,0,0.0474,0.073745504
515,1,0,0,0.2689,0.29673943
655,3,0,0,0.0474,0.31721973
361,3,0,0,0.0474,0.2257581
129,1,0,0,0.0474,0.0437512
371,1,0,0,0.0474,0.13875039
13,1,0,1,0.0474,0.8210152
607,1,1,1,0.9526,0.83420527
703,1,1,1,0.9526,0.7523453
354,4,0,0,0.0474,0.17969272
247,3,0,1,0.2689,0.7018945
389,2,0,1,0.0474,0.8234971
410,2,0,0,0.0474,0.018189685
390,1,0,0,0.0474,0.12073212
94,1,0,0,0.0474,0.17887816
264,4,0,0,0.0474,0.47891212
437,1,1,1,0.9526,1.2069293
373,3,0,0,0.0474,-0.0013558691
516,1,0,0,0.2689,0.29094997
20,1,0,0,0.0474,0.09172982
638,1,0,0,0.0474,-0.08958655
283,1,0,0,0.0474,0.045807138
624,1,0,1,0.2689,0.50484574
351,3,0,0,0.0474,0.14639294
99,1,1,1,0.9526,1.0752062
397,1,0,0,0.0474,0.12903589
724,2,0,0,0.0474,0.08773489
243,5,1,0,0.9526,0.37790397
30,2,0,0,0.0474,-0.09438982
540,1,1,1,0.9526,0.955651
772,2,1,1,0.9526,0.9896631
342,5,1,0,0.9526,0.45658994
392,1,0,0,0.0474,0.10808468
632,1,0,0,0.0474,0.0876763
313,2,0,0,0.0474,0.058692336
158,1,0,0,0.0474,0.30007464
663,3,0,0,0.0474,-0.05502159
754,1,1,1,0.9526,0.53373957
54,3,0,0,0.0474,0.19878624
230,1,0,0,0.0474,0.102483876
668,3,0,0,0.0474,0.015529989
253,5,0,0,0.0474,0.083648905
352,4,0,0,0.0474,0.26361695
734,2,1,1,0.9526,0.5594906
216,1,1,1,0.9526,0.8287022
366,2,1,1,0.9526,0.6196134
507,4,0,0,0.0474,0.08776779
188,3,0,0,0.0474,0.09743063
712,1,0,0,0.0474,-0.0029649113
781,6,1,1,0.9526,0.8237538
763,2,0,0,0.0474,0.08845657
344,5,0,0,0.0474,0.14761823
713,3,0,0,0.2689,0.24971431
481,2,0,0,0.0474,0.15067716
294,1,0,0,0.0474,0.08793121
33,1,0,0,0.0474,0.112988494
509,1,0,0,0.0474,0.038810063
792,1,0,0,0.0474,0.06289226
795,1,0,0,0.2689,0.14283964
239,2,0,0,0.0474,0.0826362
569,1,1,1,0.9526,0.93259364
172,2,0,0,0.0474,0.076879025
684,1,0,0,0.2689,0.4050971
751,1,0,0,0.2689,0.38913903
164,1,1,1,0.9526,0.88377297
373,1,1,0,0.9526,0.345041
322,3,0,0,0.2689,0.28732184
386,2,1,0,0.9526,0.20777686
789,1,0,0,0.0474,0.43556017
649,1,0,0,0.0474,0.28964442
798,1,0,0,0.0474,0.10151886
614,3,0,0,0.0474,0.26604205
206,1,0,1,0.0474,0.7067102
794,4,1,0,0.9526,0.2078326
305,2,0,0,0.2689,0.46859378
457,2,0,0,0.0474,0.13291106
340,4,0,0,0.2689,0.15314409
135,1,1,1,0.9526,0.8557508
352,5,0,0,0.0474,0.40910828
121,5,0,1,0.2689,0.5615069
317,1,0,0,0.0474,0.14903869
205,1,0,0,0.0474,0.033673424
565,1,0,0,0.0474,0.1673566
560,3,0,0,0.2689,0.3639206
314,2,1,1,0.9526,0.77250004
