comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.7477558,1.2549086809158325
321,3,0,0,0.96107274,
819,1,1,1,0.93038076,
746,1,0,0,0.8541235,
397,8,1,0,0.6768979,
397,2,0,0,0.9641031,
264,17,1,1,0.94108176,
85,1,0,0,0.86545235,
202,2,1,0,0.8619244,
282,1,0,0,0.9420649,
339,6,1,1,0.8536265,
264,9,0,0,0.9264528,
628,1,0,0,0.9577075,
559,1,0,0,0.912947,
121,2,1,1,0.9291281,
342,4,0,0,0.9497032,
791,1,0,0,0.5771156,
662,1,0,0,0.86296284,
578,1,1,0,0.7363311,
250,10,0,0,0.79664475,
560,4,1,1,0.8365951,
250,11,0,0,0.510075,
190,3,1,1,0.9336656,
616,2,0,0,0.56356585,
48,1,1,0,0.665104,
50,1,0,0,0.98075116,
685,1,0,0,0.9523898,
174,1,0,0,0.9415116,
244,2,1,1,0.923231,
622,1,0,0,0.94214994,
354,5,0,0,0.8344059,
164,3,0,1,0.9068173,
663,1,0,0,0.9636303,
725,1,0,0,0.9630557,
647,2,0,0,0.69678634,
507,3,0,0,0.8740507,
237,1,1,1,0.6306564,
553,2,0,0,0.8705031,
253,4,0,1,0.8054227,
518,1,0,1,0.8161105,
693,3,0,1,0.50159216,
714,1,0,0,0.9436498,
284,1,0,0,0.8273929,
760,2,0,1,0.9112944,
606,2,0,0,0.78898287,
780,1,0,0,0.6015713,
121,4,0,0,0.6532573,
250,2,0,0,0.97658044,
307,3,0,0,0.71156716,
604,5,1,1,0.9378556,
250,9,0,0,0.844311,
250,14,0,0,0.8330078,
264,3,0,0,0.93835896,
680,1,0,0,0.90076876,
366,5,0,0,0.948098,
524,1,0,0,0.53635293,
32,5,0,1,0.53827965,
741,3,1,1,0.8373237,
267,1,1,1,0.88793546,
362,1,0,1,0.85549974,
267,2,0,1,0.55037355,
11,2,0,0,0.58849764,
179,1,0,0,0.8865079,
210,1,0,0,0.5946222,
377,1,0,0,0.89623797,
468,1,0,0,0.97760904,
794,2,1,1,0.94615614,
692,1,0,0,0.81497085,
103,1,0,0,0.97718143,
63,1,1,1,0.9127972,
229,1,0,0,0.6180295,
110,3,0,0,0.8860041,
390,6,0,1,0.7852734,
34,3,0,0,0.5996381,
778,3,0,0,0.96283525,
118,3,0,1,0.7040597,
781,3,0,0,0.77931374,
528,2,0,1,0.68085855,
264,12,0,1,0.60940945,
412,4,0,1,0.63146156,
598,2,0,0,0.9651683,
718,2,0,0,0.6960217,
127,1,0,0,0.8263826,
188,1,0,0,0.93811727,
666,1,0,0,0.8957276,
318,11,1,1,0.69727075,
288,1,0,0,0.92549664,
162,1,0,0,0.9383242,
8,1,0,1,0.7153418,
412,7,1,1,0.7874405,
824,4,1,0,0.77096653,
561,1,1,0,0.6805815,
539,1,0,0,0.84167933,
816,1,0,0,0.8912726,
584,1,0,1,0.5582106,
419,1,0,0,0.82497334,
764,1,1,1,0.9098962,
353,3,0,0,0.89739114,
433,1,0,0,0.9739821,
762,1,1,1,0.74536,
250,13,0,0,0.7394283,
288,2,0,0,0.7888222,
327,1,0,0,0.97787374,
264,22,0,0,0.7832612,
190,2,0,0,0.9377741,
229,2,0,0,0.8478279,
583,1,0,0,0.94548994,
632,7,1,1,0.96167517,
797,2,0,1,0.56100136,
675,1,0,0,0.62622803,
109,2,0,0,0.84502435,
331,1,1,1,0.54488987,
501,6,0,0,0.94112676,
323,1,0,0,0.71995145,
613,1,1,1,0.7014833,
570,2,1,1,0.7664223,
710,3,1,0,0.9012263,
318,17,1,1,0.6365681,
297,2,0,1,0.56785035,
622,4,0,1,0.6703498,
288,5,0,0,0.9347384,
299,5,0,0,0.960521,
290,2,0,0,0.8430428,
51,1,0,0,0.9762758,
372,1,0,1,0.84841144,
313,1,0,0,0.9558212,
150,2,1,0,0.76088077,
264,18,0,0,0.95342445,
740,3,0,0,0.9238625,
659,2,1,1,0.8126082,
210,2,0,0,0.8885329,
191,1,0,0,0.970394,
185,1,0,1,0.7518331,
468,2,1,0,0.85017043,
