comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.7544856,1.1498218774795532
321,3,0,0,0.9753032,
819,1,1,1,0.92461956,
746,1,0,0,0.8196735,
397,8,1,0,0.65530044,
397,2,0,0,0.96149576,
264,17,1,1,0.92160815,
85,1,0,0,0.7400517,
202,2,1,0,0.8643017,
282,1,0,0,0.9479305,
339,6,1,1,0.75941133,
264,9,0,0,0.87082,
628,1,0,0,0.9738022,
559,1,0,0,0.89128226,
121,2,1,1,0.9259125,
342,4,0,0,0.9716157,
791,1,0,0,0.75588113,
662,1,0,0,0.94604623,
578,1,1,0,0.5854597,
250,10,0,0,0.9074064,
560,4,1,1,0.8651939,
250,11,0,0,0.5558209,
190,3,1,1,0.90347856,
616,2,0,1,0.62624747,
48,1,1,1,0.52926534,
50,1,0,0,0.96841305,
685,1,0,0,0.97135496,
174,1,0,0,0.88102806,
244,2,1,1,0.91865647,
622,1,0,0,0.95957935,
354,5,0,0,0.81577,
164,3,0,1,0.89190656,
663,1,0,0,0.97456384,
725,1,0,0,0.9344904,
647,2,0,0,0.6507065,
507,3,0,0,0.83016586,
237,1,1,0,0.7403381,
553,2,0,0,0.9355323,
253,4,0,1,0.5913196,
518,1,0,1,0.75391275,
693,3,0,0,0.6465923,
714,1,0,0,0.94302636,
284,1,0,0,0.8996442,
760,2,0,1,0.8789441,
606,2,0,0,0.8060054,
780,1,0,0,0.75827587,
121,4,0,0,0.6128373,
250,2,0,0,0.97180104,
307,3,0,0,0.861738,
604,5,1,1,0.92302144,
250,9,0,0,0.88171774,
250,14,0,0,0.64226776,
264,3,0,0,0.90260494,
680,1,0,0,0.908169,
366,5,0,0,0.9639372,
524,1,0,0,0.52065676,
32,5,0,0,0.5991634,
741,3,1,1,0.79700875,
267,1,1,1,0.74133784,
362,1,0,1,0.7393768,
267,2,0,1,0.6404448,
11,2,0,1,0.5908503,
179,1,0,0,0.8725142,
210,1,0,1,0.5977619,
377,1,0,0,0.74537534,
468,1,0,0,0.97855866,
794,2,1,1,0.9053773,
692,1,0,0,0.85157716,
103,1,0,0,0.9548929,
63,1,1,1,0.8345862,
229,1,0,0,0.6722214,
110,3,0,0,0.9430622,
390,6,0,1,0.5947318,
34,3,0,0,0.56132936,
778,3,0,0,0.9581675,
118,3,0,1,0.8281287,
781,3,0,0,0.7635612,
528,2,0,0,0.6223411,
264,12,0,0,0.53137624,
412,4,0,0,0.7361083,
598,2,0,0,0.97813123,
718,2,0,0,0.65385807,
127,1,0,0,0.8040783,
188,1,0,0,0.93242097,
666,1,0,0,0.9408581,
318,11,1,1,0.71672904,
288,1,0,0,0.92946744,
162,1,0,0,0.9533493,
8,1,0,1,0.69071347,
412,7,1,1,0.8490095,
824,4,1,0,0.76599777,
561,1,1,0,0.6673748,
539,1,0,0,0.6371978,
816,1,0,0,0.92828447,
584,1,0,0,0.6450365,
419,1,0,0,0.88909113,
764,1,1,1,0.93693453,
353,3,0,0,0.9159358,
433,1,0,0,0.97592556,
762,1,1,1,0.64257634,
250,13,0,0,0.6704971,
288,2,0,0,0.6146712,
327,1,0,0,0.982927,
264,22,0,0,0.89874536,
190,2,0,0,0.9032599,
229,2,0,0,0.88130885,
583,1,0,0,0.949287,
632,7,1,1,0.95940924,
797,2,0,0,0.5321956,
675,1,0,0,0.6278792,
109,2,0,0,0.7865077,
331,1,1,1,0.53586644,
501,6,0,0,0.96566164,
323,1,0,0,0.7899483,
