comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.27444458
321,3,0,0,0.2689,0.085785046
819,1,1,1,0.9526,0.93891126
746,1,0,0,0.0474,0.21400972
397,8,1,0,0.9526,0.23873991
397,2,0,0,0.0474,0.06464835
264,17,1,0,0.9526,0.4947015
85,1,0,0,0.0474,0.2606178
202,2,1,0,0.9526,0.20887683
282,1,0,0,0.0474,0.20883542
339,6,1,1,0.9526,0.89962965
264,9,0,0,0.0474,0.28485075
628,1,0,0,0.0474,-0.052143387
559,1,0,0,0.0474,0.05621889
121,2,1,1,0.9526,1.1671708
342,4,0,0,0.0474,0.13886932
791,1,0,0,0.0474,0.2649307
662,1,0,0,0.2689,0.23265237
578,1,1,1,0.9526,0.6740796
250,10,0,0,0.0474,0.2342407
560,4,1,1,0.9526,0.7302147
250,11,0,1,0.0474,0.6111506
190,3,1,1,0.9526,0.9153121
616,2,0,0,0.2689,0.4923533
48,1,1,1,0.9526,0.7500008
50,1,0,0,0.0474,-0.0231173
685,1,0,0,0.0474,0.04430207
174,1,0,0,0.0474,0.050498493
244,2,1,1,0.9526,0.68050724
622,1,0,0,0.0474,-0.077869594
354,5,0,0,0.0474,0.48901162
164,3,0,1,0.0474,0.8910835
663,1,0,0,0.0474,0.0023033237
725,1,0,0,0.0474,0.14397815
647,2,0,0,0.0474,0.0827855
507,3,0,0,0.0474,0.15456335
237,1,1,0,0.9526,0.4205768
553,2,0,0,0.2689,0.02113908
253,4,0,0,0.0474,0.45200115
518,1,0,1,0.2689,0.9100979
693,3,0,1,0.0474,0.5539761
714,1,0,0,0.0474,0.08495108
284,1,0,0,0.2689,0.22454624
760,2,0,1,0.2689,0.9073327
606,2,0,0,0.2689,0.38002062
780,1,0,1,0.2689,0.5503964
121,4,0,0,0.0474,0.37242055
250,2,0,0,0.0474,0.08263284
307,3,0,0,0.2689,0.049813617
604,5,1,1,0.9526,0.96765894
250,9,0,0,0.0474,-0.02634856
250,14,0,0,0.0474,0.22228955
264,3,0,0,0.0474,0.11639839
680,1,0,0,0.0474,0.11417495
366,5,0,0,0.0474,-0.06568029
524,1,0,0,0.0474,0.36021936
32,5,0,1,0.0474,0.57400435
741,3,1,1,0.9526,0.7626547
267,1,1,0,0.9526,0.41791716
362,1,0,1,0.0474,0.82489276
267,2,0,1,0.0474,0.6466648
11,2,0,0,0.0474,0.16746955
179,1,0,0,0.0474,0.2863259
210,1,0,1,0.0474,0.66811335
377,1,0,0,0.0474,0.18639326
468,1,0,0,0.0474,0.03151324
794,2,1,1,0.9526,1.0936298
692,1,0,0,0.2689,0.1865881
103,1,0,0,0.0474,-0.08237953
63,1,1,1,0.9526,1.0831121
229,1,0,0,0.0474,0.33834153
110,3,0,0,0.0474,0.22812147
390,6,0,1,0.0474,0.680346
34,3,0,1,0.0474,0.63764906
778,3,0,0,0.0474,0.050895903
118,3,0,1,0.2689,0.7377939
781,3,0,0,0.2689,0.47607213
528,2,0,1,0.2689,0.5371491
264,12,0,0,0.0474,0.12692001
412,4,0,0,0.2689,0.28586927
598,2,0,0,0.2689,0.080156684
718,2,0,0,0.0474,0.19961491
127,1,0,0,0.0474,0.11661707
188,1,0,0,0.0474,0.015375323
666,1,0,0,0.2689,0.018391842
318,11,1,1,0.9526,0.5968475
288,1,0,0,0.0474,0.15000981
162,1,0,0,0.0474,0.43132794
8,1,0,0,0.0474,0.22144322
412,7,1,1,0.9526,0.9382028
824,4,1,0,0.9526,0.3875543
561,1,1,1,0.9526,0.61561805
539,1,0,0,0.0474,0.48471755
816,1,0,0,0.0474,0.19189902
584,1,0,1,0.0474,0.5033688
419,1,0,0,0.2689,0.15403281
764,1,1,1,0.9526,0.863748
353,3,0,0,0.0474,0.04103934
433,1,0,0,0.0474,0.07784525
762,1,1,1,0.9526,0.8409597
250,13,0,0,0.0474,0.16866234
288,2,0,0,0.0474,0.38806838
327,1,0,0,0.0474,0.07726194
264,22,0,1,0.0474,0.61054957
190,2,0,0,0.2689,0.033209957
229,2,0,1,0.0474,0.5013856
583,1,0,0,0.0474,0.026770873
632,7,1,1,0.9526,1.033509
797,2,0,0,0.2689,0.42544264
675,1,0,1,0.2689,0.563904
109,2,0,0,0.0474,0.4354769
331,1,1,1,0.9526,0.6552411
501,6,0,0,0.0474,0.07561469
323,1,0,0,0.0474,0.33986712
613,1,1,1,0.9526,0.8597931
570,2,1,1,0.9526,0.86556214
710,3,1,0,0.9526,0.08642075
318,17,1,1,0.9526,0.573276
297,2,0,0,0.0474,0.16623995
622,4,0,0,0.0474,0.056916386
288,5,0,0,0.2689,0.19212179
299,5,0,0,0.0474,0.04122466
290,2,0,0,0.2689,0.024755182
51,1,0,0,0.0474,0.06657514
372,1,0,1,0.0474,0.9893781
313,1,0,0,0.0474,-0.02074712
150,2,1,0,0.9526,0.23816672
264,18,0,0,0.0474,0.27298844
740,3,0,0,0.0474,0.293023
659,2,1,1,0.9526,0.78089756
210,2,0,0,0.0474,0.1831094
191,1,0,0,0.0474,0.00866519
185,1,0,1,0.0474,0.8348697
468,2,1,0,0.9526,0.36323488
169,1,1,0,0.9526,0.49851796
701,1,0,0,0.2689,0.10592904
588,2,1,0,0.9526,0.45189187
264,1,0,1,0.0474,0.54366463
774,9,0,0,0.0474,0.28326696
130,1,0,0,0.2689,0.32293203
699,1,0,0,0.0474,0.28570712
369,3,0,1,0.0474,0.73194647
55,1,0,0,0.0474,0.45213097
339,1,1,0,0.9526,0.29477447
201,1,1,1,0.9526,0.7046993
22,2,0,0,0.0474,0.23325437
280,3,1,1,0.9526,0.5605082
257,3,1,0,0.9526,0.44404998
477,1,0,0,0.0474,-0.046585433
95,3,0,0,0.0474,0.06248532
145,2,1,0,0.9526,0.24974445
618,4,0,0,0.0474,0.29866987
265,1,0,0,0.0474,0.1285447
641,1,0,0,0.0474,0.069842696
755,1,1,1,0.9526,0.74203336
759,2,0,0,0.0474,0.37375334
157,1,0,0,0.0474,-0.035119873
811,2,1,0,0.9526,0.4329782
793,3,1,0,0.9526,0.4756568
37,3,1,1,0.9526,0.7548551
264,8,0,0,0.2689,0.24843165
596,2,0,0,0.0474,0.20320423
374,1,0,0,0.0474,-0.04703766
35,1,1,1,0.9526,0.5887174
321,1,0,0,0.0474,0.18188941
34,2,0,0,0.0474,0.21651706
79,1,0,0,0.0474,0.2947247
