comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.8013155,1.1838077306747437
321,3,0,0,0.9595812,
819,1,1,1,0.9358429,
746,1,0,0,0.8106027,
397,8,1,0,0.7073557,
397,2,0,0,0.9666217,
264,17,1,1,0.95262533,
85,1,0,0,0.90685284,
202,2,1,0,0.90618247,
282,1,0,0,0.9368438,
339,6,1,1,0.70796406,
264,9,0,0,0.88196576,
628,1,0,0,0.9587521,
559,1,0,0,0.9093471,
121,2,1,1,0.9469282,
342,4,0,0,0.95174485,
791,1,0,0,0.6431846,
662,1,0,0,0.90185034,
578,1,1,0,0.68128186,
250,10,0,0,0.7356387,
560,4,1,1,0.7111011,
250,11,0,0,0.5010349,
190,3,1,1,0.93650043,
616,2,0,1,0.6090065,
48,1,1,1,0.5780227,
50,1,0,0,0.9391647,
685,1,0,0,0.9608005,
174,1,0,0,0.9294492,
244,2,1,1,0.83080155,
622,1,0,0,0.95380986,
354,5,0,0,0.7972084,
164,3,0,1,0.9373821,
663,1,0,0,0.9733952,
725,1,0,0,0.947047,
647,2,0,0,0.58485156,
507,3,0,0,0.84416944,
237,1,1,0,0.5309953,
553,2,0,0,0.91959995,
253,4,0,1,0.79754025,
518,1,0,1,0.879069,
693,3,0,1,0.52402115,
714,1,0,0,0.94913554,
284,1,0,0,0.7345006,
760,2,0,1,0.8235572,
606,2,0,0,0.738476,
780,1,0,0,0.8259694,
121,4,0,0,0.76803607,
250,2,0,0,0.9567372,
307,3,0,0,0.7092389,
604,5,1,1,0.9170833,
250,9,0,0,0.84727013,
250,14,0,0,0.7260953,
264,3,0,0,0.9149958,
680,1,0,0,0.8757864,
366,5,0,0,0.9400508,
524,1,0,1,0.67779726,
32,5,0,0,0.6935523,
741,3,1,1,0.7671901,
267,1,1,1,0.76424766,
362,1,0,1,0.8858911,
267,2,0,0,0.60573643,
11,2,0,0,0.64312285,
179,1,0,0,0.89925563,
210,1,0,0,0.7512768,
377,1,0,0,0.6893513,
468,1,0,0,0.97975874,
794,2,1,1,0.91433305,
692,1,0,0,0.84577894,
103,1,0,0,0.9643223,
63,1,1,1,0.89971817,
229,1,0,0,0.69329345,
110,3,0,0,0.93959296,
390,6,0,1,0.7226022,
34,3,0,0,0.57859164,
778,3,0,0,0.95304924,
118,3,0,1,0.6769662,
781,3,0,0,0.794341,
528,2,0,0,0.56419927,
264,12,0,1,0.8509965,
412,4,0,0,0.5215662,
598,2,0,0,0.97018784,
718,2,0,0,0.7156541,
127,1,0,0,0.78609,
188,1,0,0,0.91482353,
666,1,0,0,0.9131875,
318,11,1,1,0.77891684,
288,1,0,0,0.9132802,
162,1,0,0,0.9251104,
8,1,0,1,0.8108533,
412,7,1,1,0.84084344,
824,4,1,0,0.7451245,
561,1,1,0,0.5592408,
539,1,0,0,0.5983391,
816,1,0,0,0.8970365,
584,1,0,1,0.59865427,
419,1,0,0,0.8896004,
764,1,1,1,0.9473943,
353,3,0,0,0.8568433,
433,1,0,0,0.96683395,
762,1,1,1,0.76208025,
250,13,0,0,0.5806085,
288,2,0,0,0.7111566,
327,1,0,0,0.9780728,
264,22,0,0,0.71970564,
190,2,0,0,0.95128685,
229,2,0,0,0.8024056,
583,1,0,0,0.9611945,
632,7,1,1,0.95797604,
797,2,0,1,0.656471,
675,1,0,0,0.5805248,
109,2,0,0,0.6898272,
331,1,1,1,0.65555495,
501,6,0,0,0.95599025,
323,1,0,0,0.62182295,
613,1,1,1,0.6822148,
570,2,1,1,0.8461251,
710,3,1,0,0.8798071,
318,17,1,1,0.68653196,
297,2,0,1,0.8061841,
622,4,0,1,0.8392962,
288,5,0,0,0.9199221,
299,5,0,0,0.9122685,
290,2,0,0,0.79043454,
51,1,0,0,0.9591793,
372,1,0,1,0.77661884,
313,1,0,0,0.94652957,
150,2,1,0,0.67782694,
264,18,0,0,0.929741,
740,3,0,0,0.91445374,
659,2,1,1,0.8645331,
210,2,0,0,0.82672596,
191,1,0,0,0.973237,
185,1,0,1,0.6919343,
468,2,1,0,0.87099487,
169,1,1,0,0.56372297,
701,1,0,0,0.82559925,
588,2,1,0,0.8267942,
264,1,0,0,0.89323467,
774,9,0,0,0.9062642,
130,1,0,0,0.9440459,
699,1,0,0,0.8961944,
369,3,0,0,0.7168976,
55,1,0,0,0.55359656,
339,1,1,0,0.6638627,
201,1,1,1,0.8568904,
22,2,0,1,0.570589,
280,3,1,1,0.9461988,
257,3,1,1,0.66713333,
477,1,0,0,0.9539181,
95,3,0,0,0.87501895,
145,2,1,0,0.7127566,
618,4,0,0,0.8145616,
265,1,0,0,0.9185483,
641,1,0,0,0.95478594,
755,1,1,1,0.6839804,
759,2,0,0,0.84912366,
157,1,0,0,0.9479094,
811,2,1,0,0.6563745,
793,3,1,0,0.8325457,
37,3,1,0,0.5342116,
264,8,0,1,0.5978637,
596,2,0,0,0.8843059,
374,1,0,0,0.94113815,
35,1,1,1,0.5979122,
