comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.20039189
321,3,0,0,0.2689,0.025557587
819,1,1,1,0.9526,0.88553876
746,1,0,0,0.0474,0.24401572
397,8,1,0,0.9526,0.3523809
397,2,0,0,0.0474,0.04227343
264,17,1,0,0.9526,0.17444469
85,1,0,0,0.0474,0.19777757
202,2,1,0,0.9526,0.22256953
282,1,0,0,0.0474,0.033667307
339,6,1,1,0.9526,0.9218257
264,9,0,0,0.0474,0.28770134
628,1,0,0,0.0474,0.104329094
559,1,0,0,0.0474,0.08538541
121,2,1,1,0.9526,0.9945949
342,4,0,0,0.0474,0.21904387
791,1,0,0,0.0474,0.1980492
662,1,0,0,0.2689,0.36014375
578,1,1,1,0.9526,0.5571614
250,10,0,0,0.0474,0.21508637
560,4,1,1,0.9526,0.926565
250,11,0,1,0.0474,0.55213284
190,3,1,1,0.9526,0.8568808
616,2,0,1,0.2689,0.63206804
48,1,1,1,0.9526,0.80791086
50,1,0,0,0.0474,0.09346487
685,1,0,0,0.0474,0.057424027
174,1,0,0,0.0474,0.0428722
244,2,1,1,0.9526,0.9675598
622,1,0,0,0.0474,-0.02603273
354,5,0,0,0.0474,0.48918152
164,3,0,1,0.0474,0.76971453
663,1,0,0,0.0474,0.08818208
725,1,0,0,0.0474,0.17057751
647,2,0,0,0.0474,0.16980596
507,3,0,0,0.0474,0.18929663
237,1,1,0,0.9526,0.49814376
553,2,0,0,0.2689,0.028312266
253,4,0,1,0.0474,0.6209831
518,1,0,1,0.2689,1.0426416
693,3,0,1,0.0474,0.5647852
714,1,0,0,0.0474,0.13813801
284,1,0,0,0.2689,0.35373068
760,2,0,1,0.2689,0.993614
606,2,0,0,0.2689,0.16218226
780,1,0,1,0.2689,0.5475978
121,4,0,0,0.0474,0.34309706
250,2,0,0,0.0474,0.033114873
307,3,0,0,0.2689,0.41123784
604,5,1,1,0.9526,0.9951113
250,9,0,0,0.0474,0.052035864
250,14,0,0,0.0474,0.08451155
264,3,0,0,0.0474,0.11403255
680,1,0,0,0.0474,0.12572709
366,5,0,0,0.0474,0.10106479
524,1,0,0,0.0474,0.4652257
32,5,0,0,0.0474,0.46404085
741,3,1,0,0.9526,0.4155627
267,1,1,1,0.9526,0.87987214
362,1,0,1,0.0474,0.9249494
267,2,0,1,0.0474,0.5411694
11,2,0,0,0.0474,0.039264202
179,1,0,0,0.0474,0.10319241
210,1,0,0,0.0474,0.29944572
377,1,0,0,0.0474,0.23549385
468,1,0,0,0.0474,0.086537704
794,2,1,1,0.9526,1.1014819
692,1,0,0,0.2689,0.086934984
103,1,0,0,0.0474,-0.025017451
63,1,1,1,0.9526,0.97562325
229,1,0,0,0.0474,0.32685125
110,3,0,0,0.0474,0.1052878
390,6,0,1,0.0474,0.50637907
34,3,0,0,0.0474,0.45081773
778,3,0,0,0.0474,0.07361768
118,3,0,1,0.2689,0.5442343
781,3,0,1,0.2689,0.54842234
528,2,0,0,0.2689,0.48661694
264,12,0,0,0.0474,0.21992032
412,4,0,0,0.2689,0.33020347
598,2,0,0,0.2689,0.044761423
718,2,0,0,0.0474,0.1742998
127,1,0,0,0.0474,0.2382735
188,1,0,0,0.0474,0.1188211
666,1,0,0,0.2689,0.09314449
318,11,1,1,0.9526,0.6861563
