comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.8745614,1.1188081502914429
321,3,0,0,0.9583154,
819,1,1,1,0.9478817,
746,1,0,0,0.9008527,
397,8,1,0,0.64574355,
397,2,0,0,0.9562372,
264,17,1,1,0.9596115,
85,1,0,0,0.89068,
202,2,1,0,0.85702467,
282,1,0,0,0.92371875,
339,6,1,1,0.78993404,
264,9,0,0,0.8979546,
628,1,0,0,0.9616004,
559,1,0,0,0.90322554,
121,2,1,1,0.9330322,
342,4,0,0,0.9027981,
791,1,0,0,0.64404166,
662,1,0,0,0.9590231,
578,1,1,0,0.78400755,
250,10,0,0,0.6653956,
560,4,1,1,0.7549952,
250,11,0,0,0.58146685,
190,3,1,1,0.9269942,
616,2,0,1,0.5574274,
48,1,1,1,0.7249653,
50,1,0,0,0.9684968,
685,1,0,0,0.9516275,
174,1,0,0,0.93612576,
244,2,1,1,0.906326,
622,1,0,0,0.9296761,
354,5,0,0,0.9396831,
164,3,0,1,0.90493566,
663,1,0,0,0.9512193,
725,1,0,0,0.9623738,
647,2,0,0,0.61896527,
507,3,0,0,0.8168849,
237,1,1,1,0.52778035,
553,2,0,0,0.7988614,
253,4,0,1,0.7235933,
518,1,0,1,0.85443074,
693,3,0,0,0.6221123,
714,1,0,0,0.898226,
284,1,0,0,0.8992535,
760,2,0,1,0.9034964,
606,2,0,0,0.7708289,
780,1,0,0,0.8840507,
121,4,0,0,0.85849714,
250,2,0,0,0.9678174,
307,3,0,0,0.8864304,
604,5,1,1,0.9083271,
250,9,0,0,0.8707622,
250,14,0,0,0.79154515,
264,3,0,0,0.8389761,
680,1,0,0,0.7859784,
366,5,0,0,0.9264382,
524,1,0,1,0.5312586,
32,5,0,0,0.5497903,
741,3,1,1,0.90797347,
267,1,1,1,0.8158144,
362,1,0,1,0.85769844,
267,2,0,1,0.65597135,
11,2,0,1,0.54376817,
179,1,0,0,0.8236338,
210,1,0,0,0.6656437,
377,1,0,0,0.85132784,
468,1,0,0,0.9599239,
794,2,1,1,0.95283663,
692,1,0,0,0.93740964,
103,1,0,0,0.9646733,
63,1,1,1,0.87948585,
229,1,0,0,0.57552016,
110,3,0,0,0.86361593,
390,6,0,1,0.8327438,
34,3,0,0,0.65278226,
778,3,0,0,0.95178896,
118,3,0,1,0.6093799,
781,3,0,0,0.851274,
528,2,0,0,0.7488348,
264,12,0,1,0.67606145,
412,4,0,1,0.57092136,
598,2,0,0,0.96086246,
718,2,0,0,0.85462993,
127,1,0,0,0.77626604,
188,1,0,0,0.93700683,
666,1,0,0,0.87042266,
318,11,1,1,0.7317701,
288,1,0,0,0.8654054,
162,1,0,0,0.95962685,
8,1,0,1,0.8954565,
412,7,1,1,0.7749881,
824,4,1,0,0.817713,
561,1,1,1,0.5184283,
539,1,0,0,0.6917044,
816,1,0,0,0.94349295,
584,1,0,0,0.6115135,
419,1,0,0,0.78738046,
764,1,1,1,0.90091944,
353,3,0,0,0.916977,
433,1,0,0,0.96332973,
762,1,1,1,0.7114927,
