comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.18089686
321,3,0,0,0.2689,0.10628755
819,1,1,1,0.9526,0.8868616
746,1,0,0,0.0474,0.4719514
397,8,1,0,0.9526,0.35900474
397,2,0,0,0.0474,0.034555756
264,17,1,1,0.9526,0.8405418
85,1,0,0,0.0474,0.08190573
202,2,1,0,0.9526,0.3463534
282,1,0,0,0.0474,0.076093085
339,6,1,1,0.9526,0.8210289
264,9,0,0,0.0474,0.20814915
628,1,0,0,0.0474,0.0266296
559,1,0,0,0.0474,0.025368018
121,2,1,1,0.9526,0.9091434
342,4,0,0,0.0474,0.1730191
791,1,0,0,0.0474,0.16849966
662,1,0,1,0.2689,0.58961594
578,1,1,1,0.9526,0.6795607
250,10,0,0,0.0474,0.17087029
560,4,1,1,0.9526,0.8269486
250,11,0,1,0.0474,0.5921417
190,3,1,1,0.9526,0.9652242
616,2,0,1,0.2689,0.57913023
48,1,1,1,0.9526,0.86179465
50,1,0,0,0.0474,0.09099397
685,1,0,0,0.0474,0.058845244
174,1,0,0,0.0474,0.012827165
244,2,1,1,0.9526,0.9066875
622,1,0,0,0.0474,0.054939732
354,5,0,0,0.0474,0.35115892
164,3,0,1,0.0474,0.80728847
663,1,0,0,0.0474,0.069955714
725,1,0,0,0.0474,0.10298992
647,2,0,0,0.0474,0.47391057
507,3,0,0,0.0474,0.1588464
237,1,1,0,0.9526,0.24606799
553,2,0,0,0.2689,0.11703622
253,4,0,0,0.0474,0.47273874
518,1,0,1,0.2689,0.9570679
693,3,0,1,0.0474,0.67629707
714,1,0,0,0.0474,0.18469505
284,1,0,0,0.2689,0.13526045
760,2,0,1,0.2689,0.8576192
606,2,0,0,0.2689,0.16110508
780,1,0,0,0.2689,0.40148258
121,4,0,0,0.0474,0.4410298
250,2,0,0,0.0474,0.119030274
307,3,0,0,0.2689,0.28681457
604,5,1,1,0.9526,1.0368297
250,9,0,0,0.0474,0.14991054
