comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.5665031,1.186146855354309
321,3,0,0,0.91747683,
819,1,1,1,0.9227752,
746,1,0,0,0.82902926,
397,8,1,0,0.61250055,
397,2,0,0,0.9374704,
264,17,1,1,0.9599311,
85,1,0,0,0.8045873,
202,2,1,0,0.71331227,
282,1,0,0,0.9100964,
339,6,1,1,0.6785852,
264,9,0,0,0.7306611,
628,1,0,0,0.92371756,
559,1,0,0,0.7692665,
121,2,1,1,0.9584029,
342,4,0,0,0.9104773,
791,1,0,0,0.62014365,
662,1,0,0,0.90815806,
578,1,1,1,0.5682832,
250,10,0,0,0.6648909,
560,4,1,1,0.828452,
250,11,0,1,0.6018752,
190,3,1,1,0.9564991,
616,2,0,1,0.7403351,
48,1,1,1,0.7049139,
50,1,0,0,0.93601257,
685,1,0,0,0.9405629,
174,1,0,0,0.7589489,
244,2,1,1,0.927706,
622,1,0,0,0.8946583,
354,5,0,0,0.8116171,
164,3,0,1,0.9417784,
663,1,0,0,0.95500755,
725,1,0,0,0.93548214,
647,2,0,1,0.5976429,
507,3,0,0,0.8200175,
237,1,1,1,0.5452264,
553,2,0,0,0.8685706,
253,4,0,1,0.8663077,
518,1,0,1,0.857898,
693,3,0,0,0.6002293,
714,1,0,0,0.8564692,
284,1,0,0,0.78436154,
760,2,0,1,0.8745917,
606,2,0,0,0.70476645,
780,1,0,0,0.69742805,
121,4,0,0,0.7132957,
250,2,0,0,0.95424235,
307,3,0,0,0.59511274,
604,5,1,1,0.9521306,
250,9,0,0,0.7635201,
250,14,0,0,0.76320356,
264,3,0,0,0.8728453,
680,1,0,0,0.856944,
366,5,0,0,0.93170893,
524,1,0,1,0.5926557,
32,5,0,1,0.56504476,
741,3,1,1,0.84157187,
267,1,1,1,0.8752926,
362,1,0,1,0.905673,
267,2,0,1,0.6637639,
11,2,0,0,0.50953305,
179,1,0,0,0.84079623,
210,1,0,1,0.50151825,
377,1,0,0,0.75516194,
468,1,0,0,0.9619638,
794,2,1,1,0.94176584,
692,1,0,0,0.6145613,
103,1,0,0,0.9441014,
63,1,1,1,0.88301873,
229,1,0,0,0.68424934,
110,3,0,0,0.82734114,
390,6,0,1,0.66147333,
34,3,0,0,0.53168994,
778,3,0,0,0.92964715,
118,3,0,1,0.60344326,
781,3,0,0,0.71856534,
528,2,0,1,0.50064397,
264,12,0,1,0.5285286,
412,4,0,1,0.5311141,
598,2,0,0,0.9393468,
718,2,0,0,0.66103655,
127,1,0,1,0.54914504,
188,1,0,0,0.89940494,
666,1,0,0,0.9044768,
318,11,1,1,0.7003926,
288,1,0,0,0.8770632,
162,1,0,0,0.88393176,
8,1,0,1,0.8289137,
412,7,1,1,0.8966981,
824,4,1,0,0.6037017,
561,1,1,0,0.7210596,
539,1,0,0,0.8098922,
816,1,0,0,0.8298619,
584,1,0,0,0.6002775,
419,1,0,0,0.8630644,
764,1,1,1,0.9428365,
353,3,0,0,0.82629836,
433,1,0,0,0.94825596,
762,1,1,1,0.8198974,
250,13,0,0,0.51162463,
288,2,0,0,0.8643469,
327,1,0,0,0.96687716,
264,22,0,0,0.57613367,
190,2,0,0,0.83809245,
229,2,0,0,0.8445011,
583,1,0,0,0.92469656,
632,7,1,1,0.9691208,
797,2,0,1,0.82339406,
675,1,0,0,0.62734246,
109,2,0,0,0.62441516,
331,1,1,1,0.61337525,
501,6,0,0,0.8961327,
323,1,0,0,0.5679625,
613,1,1,1,0.68970245,
570,2,1,1,0.8399888,
710,3,1,0,0.88242006,
318,17,1,1,0.79407436,
297,2,0,1,0.6761012,
622,4,0,1,0.73763955,
288,5,0,0,0.8650806,
299,5,0,0,0.93485636,
290,2,0,0,0.8289091,
51,1,0,0,0.9475617,
372,1,0,1,0.84278077,
313,1,0,0,0.91331106,
150,2,1,1,0.5097869,
264,18,0,0,0.9109697,
740,3,0,0,0.8949943,
659,2,1,1,0.7842718,
210,2,0,0,0.7395076,
191,1,0,0,0.9635492,
185,1,0,1,0.8812039,
468,2,1,0,0.82156193,
169,1,1,1,0.5271348,
701,1,0,0,0.80464673,
588,2,1,0,0.75617844,
264,1,0,0,0.8743896,
774,9,0,0,0.9089088,
130,1,0,0,0.8964712,
699,1,0,0,0.8084587,
369,3,0,0,0.5258901,
55,1,0,1,0.67416084,
339,1,1,1,0.6451617,
201,1,1,1,0.91877294,
22,2,0,1,0.64035064,
280,3,1,1,0.9152032,
257,3,1,1,0.751906,
477,1,0,0,0.9559934,
95,3,0,0,0.73691887,
145,2,1,0,0.54003876,
618,4,0,0,0.9053151,
265,1,0,0,0.87094086,
641,1,0,0,0.92926437,
755,1,1,1,0.8621379,
759,2,0,0,0.71817505,
157,1,0,0,0.91736245,
811,2,1,1,0.5270851,
793,3,1,0,0.71370804,
37,3,1,1,0.82688946,
264,8,0,1,0.5738487,
596,2,0,0,0.77608794,
