comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.06267776
321,3,0,0,0.2689,0.07246003
819,1,1,1,0.9526,0.83388853
746,1,0,0,0.0474,0.15459576
397,8,1,0,0.9526,0.20794365
397,2,0,0,0.0474,0.042209733
264,17,1,1,0.9526,0.5403747
85,1,0,0,0.0474,0.3094194
202,2,1,0,0.9526,0.24218863
282,1,0,0,0.0474,0.22006178
339,6,1,1,0.9526,0.67596537
264,9,0,0,0.0474,0.18063597
628,1,0,0,0.0474,0.0342664
559,1,0,0,0.0474,0.0021961725
121,2,1,1,0.9526,0.951551
342,4,0,0,0.0474,0.0065126214
791,1,0,0,0.0474,0.12600772
662,1,0,0,0.2689,0.27825302
578,1,1,0,0.9526,0.2550207
250,10,0,0,0.0474,0.13992342
560,4,1,1,0.9526,0.6598827
250,11,0,0,0.0474,0.40794495
190,3,1,1,0.9526,0.7487983
616,2,0,0,0.2689,0.19648899
48,1,1,1,0.9526,0.6923756
50,1,0,0,0.0474,-0.11958275
685,1,0,0,0.0474,-0.027953995
174,1,0,0,0.0474,0.05043044
244,2,1,1,0.9526,0.7455725
622,1,0,0,0.0474,-0.19642994
354,5,0,0,0.0474,0.20668405
164,3,0,1,0.0474,0.8778288
663,1,0,0,0.0474,-0.0094837155
725,1,0,0,0.0474,0.08850228
647,2,0,0,0.0474,0.3618544
507,3,0,0,0.0474,0.08312528
237,1,1,0,0.9526,0.46394822
553,2,0,0,0.2689,-0.015617618
253,4,0,0,0.0474,0.447103
518,1,0,1,0.2689,0.9483194
693,3,0,0,0.0474,0.07619565
714,1,0,0,0.0474,0.011701034
284,1,0,0,0.2689,0.28407052
760,2,0,1,0.2689,0.76344115
606,2,0,0,0.2689,0.15171441
780,1,0,0,0.2689,0.21953197
121,4,0,0,0.0474,0.37999108
250,2,0,0,0.0474,0.033379693
307,3,0,0,0.2689,0.10124882
604,5,1,1,0.9526,0.77076274
250,9,0,0,0.0474,0.076952346
250,14,0,0,0.0474,0.21449605
264,3,0,0,0.0474,0.1485363
680,1,0,0,0.0474,-0.06523268
366,5,0,0,0.0474,0.020577127
524,1,0,1,0.0474,0.50749004
32,5,0,0,0.0474,0.4012595
741,3,1,1,0.9526,0.6643699
267,1,1,1,0.9526,0.593812
362,1,0,1,0.0474,0.8934762
267,2,0,0,0.0474,0.29943067
11,2,0,0,0.0474,0.4595041
179,1,0,0,0.0474,0.057669807
210,1,0,0,0.0474,0.44779256
377,1,0,0,0.0474,0.30808163
468,1,0,0,0.0474,-0.044157732
794,2,1,1,0.9526,0.9749978
692,1,0,0,0.2689,0.16697288
103,1,0,0,0.0474,-0.0042470302
63,1,1,1,0.9526,0.90369207
229,1,0,0,0.0474,0.1907795
110,3,0,0,0.0474,0.18050559
390,6,0,1,0.0474,0.6019173
34,3,0,0,0.0474,0.13104397
778,3,0,0,0.0474,0.21082716
118,3,0,1,0.2689,0.5152075
781,3,0,0,0.2689,0.24414736
528,2,0,0,0.2689,0.196026
264,12,0,0,0.0474,0.08916185
412,4,0,0,0.2689,0.46835428
598,2,0,0,0.2689,0.08563203
718,2,0,0,0.0474,0.24440178
127,1,0,0,0.0474,0.22194225
188,1,0,0,0.0474,-0.0626863
666,1,0,0,0.2689,-0.08597227
318,11,1,1,0.9526,0.65811735
288,1,0,0,0.0474,0.21859233
162,1,0,0,0.0474,0.24711183
8,1,0,0,0.0474,0.09153294
412,7,1,1,0.9526,0.84742826
824,4,1,1,0.9526,0.7165004
561,1,1,0,0.9526,0.4532664
539,1,0,0,0.0474,0.45737866
816,1,0,0,0.0474,0.17225263
584,1,0,0,0.0474,0.47932398
419,1,0,0,0.2689,0.12959065
764,1,1,1,0.9526,0.76243955
353,3,0,0,0.0474,0.08206464
433,1,0,0,0.0474,0.03586058
762,1,1,1,0.9526,0.68703634
250,13,0,0,0.0474,0.42710596
288,2,0,0,0.0474,0.39255401
327,1,0,0,0.0474,0.07452197
264,22,0,0,0.0474,0.39600947
190,2,0,0,0.2689,0.1702674
229,2,0,0,0.0474,0.20727435
583,1,0,0,0.0474,0.11779603
632,7,1,1,0.9526,0.9752802
797,2,0,1,0.2689,0.5283409
675,1,0,0,0.2689,0.41982797
109,2,0,0,0.0474,0.44973722
331,1,1,1,0.9526,0.5419656
501,6,0,0,0.0474,-0.0064665135
323,1,0,0,0.0474,0.37289217
613,1,1,1,0.9526,0.78994197
570,2,1,1,0.9526,0.7192925
710,3,1,0,0.9526,0.1629793
318,17,1,1,0.9526,0.67049104
297,2,0,0,0.0474,0.35398117
622,4,0,0,0.0474,0.078077145
288,5,0,0,0.2689,0.37756667
299,5,0,0,0.0474,-0.12643123
290,2,0,0,0.2689,0.12422203
51,1,0,0,0.0474,-0.030073686
372,1,0,1,0.0474,0.91003734
313,1,0,0,0.0474,0.07331502
150,2,1,0,0.9526,0.2886075
264,18,0,0,0.0474,0.34655407
740,3,0,0,0.0474,-0.046024133
659,2,1,1,0.9526,0.8154998
210,2,0,0,0.0474,0.24174228
191,1,0,0,0.0474,-0.020205436
185,1,0,1,0.0474,0.7100869
468,2,1,0,0.9526,0.012893105
169,1,1,0,0.9526,0.23037118
701,1,0,0,0.2689,-0.018267049
588,2,1,0,0.9526,0.16322556
264,1,0,0,0.0474,0.29685357
774,9,0,0,0.0474,0.046066713
130,1,0,0,0.2689,0.46522874
699,1,0,0,0.0474,0.106675334
369,3,0,1,0.0474,0.5932766
55,1,0,0,0.0474,0.1816149
339,1,1,1,0.9526,0.5637935
201,1,1,1,0.9526,0.74070996
22,2,0,0,0.0474,0.31650636
280,3,1,1,0.9526,0.7592192
257,3,1,1,0.9526,0.5929963
477,1,0,0,0.0474,-0.055969898
95,3,0,0,0.0474,0.04291241
145,2,1,0,0.9526,0.18915321
618,4,0,0,0.0474,0.12001012
265,1,0,0,0.0474,0.28665325
641,1,0,0,0.0474,-0.057702985
755,1,1,1,0.9526,0.648745
759,2,0,0,0.0474,0.3560138
157,1,0,0,0.0474,-0.070724234
811,2,1,0,0.9526,0.46450686
793,3,1,0,0.9526,0.24257933
37,3,1,1,0.9526,0.648565
264,8,0,0,0.2689,0.14562164
596,2,0,0,0.0474,0.20875195
374,1,0,0,0.0474,0.003402172
35,1,1,0,0.9526,0.36922702
321,1,0,0,0.0474,0.23314239
34,2,0,0,0.0474,-0.16531292
79,1,0,0,0.0474,0.013742546
322,4,0,0,0.2689,0.24881911
273,4,1,0,0.9526,0.15245472
397,6,0,0,0.0474,0.012560513
235,2,0,0,0.0474,-0.006141564
228,1,0,0,0.0474,-0.09159
490,1,1,0,0.9526,0.069581784
814,4,1,0,0.9526,0.14851035
465,2,0,0,0.2689,0.04076791
265,2,0,0,0.0474,0.1152746
453,7,0,0,0.0474,-0.030536434
311,5,1,1,0.9526,0.7935042
37,1,0,1,0.2689,0.70037484
693,1,1,0,0.9526,0.2739187
290,4,0,0,0.2689,0.30272093
608,2,1,1,0.9526,0.7755553
487,4,0,0,0.0474,0.0099578295
571,1,0,0,0.2689,0.037784863
419,2,0,0,0.0474,0.41032413
498,3,0,0,0.0474,-0.09399635
787,2,0,1,0.0474,1.0573014
202,1,0,0,0.0474,-0.0045633037
484,2,0,1,0.0474,0.81442493
784,1,0,0,0.2689,-0.050357033
493,5,0,0,0.0474,0.018500226
12,1,0,0,0.0474,0.17427665
506,1,1,1,0.9526,0.9114376
719,1,1,1,0.9526,0.9665646
562,1,1,1,0.9526,0.92995274
525,2,0,0,0.0474,0.016947357
664,1,0,0,0.0474,-0.10897442
459,2,0,0,0.0474,0.28919357
632,6,1,1,0.9526,0.9944795
640,2,0,0,0.0474,0.016456353
46,3,0,0,0.0474,-0.16063225
297,1,0,1,0.0474,0.50342375
494,4,1,1,0.9526,0.92148507
143,1,1,0,0.9526,0.4714038
432,3,0,0,0.0474,0.040033367
697,1,1,0,0.9526,0.35562292
708,1,0,0,0.0474,0.28715125
83,1,0,0,0.0474,0.122408055
664,3,0,0,0.0474,0.008156078
108,1,1,1,0.9526,0.6712951
355,3,0,0,0.0474,-0.06539768
412,1,0,0,0.0474,0.053963114
790,1,0,0,0.0474,0.13913533
515,1,0,0,0.2689,0.23742162
655,3,0,0,0.0474,0.18451798
361,3,0,0,0.0474,0.42627022
129,1,0,0,0.0474,0.013568217
371,1,0,0,0.0474,0.14772463
13,1,0,1,0.0474,1.0055946
607,1,1,1,0.9526,0.97314787
703,1,1,1,0.9526,0.74806803
354,4,0,0,0.0474,0.049457036
247,3,0,1,0.2689,0.58102566
389,2,0,1,0.0474,0.5407934
410,2,0,0,0.0474,0.08472235
390,1,0,0,0.0474,0.27425495
94,1,0,0,0.0474,0.05464414
264,4,0,0,0.0474,0.38676736
437,1,1,1,0.9526,0.8004532
373,3,0,0,0.0474,0.017183984
516,1,0,0,0.2689,0.35949668
20,1,0,0,0.0474,-0.12396431
638,1,0,0,0.0474,0.00945911
283,1,0,0,0.0474,-0.04794139
624,1,0,0,0.2689,0.47585568
351,3,0,0,0.0474,0.052696414
99,1,1,1,0.9526,0.8877347
397,1,0,0,0.0474,0.08659557
724,2,0,0,0.0474,-0.05121787
243,5,1,0,0.9526,0.44459036
30,2,0,0,0.0474,-0.10113789
540,1,1,1,0.9526,1.0149935
772,2,1,1,0.9526,0.91586924
342,5,1,0,0.9526,0.25651148
392,1,0,0,0.0474,0.079406194
632,1,0,0,0.0474,0.15137818
313,2,0,0,0.0474,0.122510694
158,1,0,0,0.0474,0.20701632
663,3,0,0,0.0474,-0.13917533
754,1,1,0,0.9526,0.38664603
54,3,0,0,0.0474,0.17221262
230,1,0,0,0.0474,-0.055606816
668,3,0,0,0.0474,0.1960772
253,5,0,0,0.0474,-0.05103575
352,4,0,0,0.0474,0.051752206
734,2,1,1,0.9526,0.56492186
216,1,1,1,0.9526,0.98147357
366,2,1,1,0.9526,0.57913154
507,4,0,0,0.0474,0.018377537
188,3,0,0,0.0474,0.036575835
712,1,0,0,0.0474,-0.13811997
