comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,1,0.5262263,1.0793548822402954
321,3,0,0,0.94180083,
819,1,1,1,0.6597468,
746,1,0,0,0.7107373,
397,8,1,1,0.6215891,
397,2,0,0,0.9478106,
264,17,1,1,0.6821,
85,1,0,1,0.60587096,
202,2,1,0,0.7203422,
282,1,0,0,0.97081,
339,6,1,1,0.6566802,
264,9,0,0,0.9101185,
628,1,0,0,0.9614022,
559,1,0,0,0.7058509,
121,2,1,1,0.63835037,
342,4,0,0,0.64658076,
791,1,0,0,0.90371907,
662,1,0,0,0.8992819,
578,1,1,0,0.6841685,
250,10,0,0,0.835614,
560,4,1,1,0.6295658,
250,11,0,0,0.527703,
190,3,1,1,0.6046297,
616,2,0,1,0.66048276,
48,1,1,0,0.8497699,
50,1,0,0,0.9576032,
685,1,0,0,0.9658938,
174,1,0,0,0.94924927,
244,2,1,0,0.59535813,
622,1,0,0,0.9660197,
354,5,0,0,0.5801595,
164,3,0,1,0.6861667,
663,1,0,0,0.96551317,
725,1,0,0,0.9723012,
647,2,0,0,0.8581854,
507,3,0,0,0.55539,
237,1,1,1,0.53920513,
553,2,0,0,0.97018707,
253,4,0,0,0.6434482,
518,1,0,1,0.6425901,
693,3,0,1,0.5632867,
714,1,0,0,0.9731012,
284,1,0,0,0.6730857,
760,2,0,0,0.6278447,
606,2,0,0,0.7048661,
780,1,0,0,0.5450401,
121,4,0,0,0.9127073,
250,2,0,0,0.93743813,
307,3,0,0,0.5492651,
604,5,1,1,0.63639945,
250,9,0,0,0.92530054,
250,14,0,0,0.91730726,
264,3,0,0,0.9673359,
680,1,0,0,0.636214,
366,5,0,0,0.8849406,
524,1,0,0,0.5309868,
32,5,0,1,0.5182865,
741,3,1,1,0.5568126,
267,1,1,1,0.63345194,
362,1,0,1,0.67521846,
267,2,0,1,0.6364284,
11,2,0,0,0.7407862,
179,1,0,0,0.9699953,
210,1,0,1,0.6397986,
377,1,0,0,0.71670145,
468,1,0,0,0.9586436,
794,2,1,1,0.70098525,
692,1,0,0,0.9464749,
103,1,0,0,0.9472486,
63,1,1,1,0.5696229,
229,1,0,1,0.55304694,
110,3,0,0,0.95796543,
390,6,0,0,0.6296244,
34,3,0,1,0.5852707,
778,3,0,0,0.6662199,
118,3,0,1,0.6533796,
781,3,0,0,0.7914241,
528,2,0,1,0.61838347,
264,12,0,0,0.85073787,
412,4,0,0,0.68795794,
598,2,0,0,0.95197093,
718,2,0,0,0.5112102,
127,1,0,0,0.5226392,
188,1,0,0,0.97653526,
666,1,0,1,0.5438996,
318,11,1,0,0.53529984,
288,1,0,0,0.54457897,
162,1,0,0,0.9612497,
8,1,0,0,0.73931384,
412,7,1,0,0.5405044,
824,4,1,0,0.7840378,
561,1,1,1,0.58531886,
539,1,0,0,0.9455605,
816,1,0,0,0.87912536,
584,1,0,1,0.57293934,
419,1,0,0,0.64063704,
764,1,1,1,0.6524904,
353,3,0,0,0.5022624,
433,1,0,0,0.97267807,
762,1,1,1,0.5850164,
250,13,0,0,0.5710283,
288,2,0,0,0.5025104,
327,1,0,0,0.9704845,
264,22,0,0,0.958208,
190,2,0,0,0.9717743,
229,2,0,0,0.68217075,
583,1,0,0,0.7417353,
632,7,1,1,0.61308175,
797,2,0,1,0.53453773,
675,1,0,0,0.5226505,
109,2,0,0,0.5649277,
331,1,1,1,0.6189209,
501,6,0,0,0.96684283,
323,1,0,0,0.6072635,
613,1,1,0,0.5269476,
570,2,1,0,0.50134337,
710,3,1,0,0.6966965,
318,17,1,1,0.5748342,
297,2,0,0,0.7112562,
622,4,0,1,0.51131463,
288,5,0,0,0.94267243,
299,5,0,0,0.9730496,
290,2,0,0,0.8558405,
51,1,0,0,0.93592846,
372,1,0,1,0.54411805,
313,1,0,0,0.9565352,
150,2,1,0,0.9051589,
264,18,0,0,0.9625606,
740,3,0,0,0.8324437,
659,2,1,1,0.6078042,
210,2,0,0,0.6151758,
191,1,0,0,0.9645465,
185,1,0,1,0.6667405,
468,2,1,0,0.7656116,
169,1,1,1,0.56668276,
701,1,0,0,0.9537075,
588,2,1,0,0.9300311,
264,1,0,0,0.69996697,
774,9,0,0,0.8251922,
130,1,0,0,0.52669966,
699,1,0,0,0.9043246,
369,3,0,1,0.5559077,
55,1,0,0,0.59931636,
339,1,1,0,0.9320259,
201,1,1,1,0.69055235,
22,2,0,0,0.82017076,
280,3,1,1,0.58535254,
257,3,1,0,0.5937104,
477,1,0,0,0.9656592,
95,3,0,0,0.92017984,
145,2,1,1,0.5134878,
618,4,0,0,0.5813727,
265,1,0,0,0.92869836,
641,1,0,0,0.9426977,
755,1,1,0,0.512463,
759,2,0,0,0.9270808,
157,1,0,0,0.92722416,
811,2,1,0,0.68314177,
793,3,1,0,0.9698323,
37,3,1,0,0.8365882,
264,8,0,0,0.6510659,
596,2,0,0,0.7729195,
374,1,0,0,0.9681305,
35,1,1,1,0.5624171,
321,1,0,0,0.84083855,
34,2,0,0,0.7854743,
79,1,0,0,0.89340323,
322,4,0,0,0.93056893,
273,4,1,0,0.94890934,
397,6,0,0,0.94201344,
235,2,0,0,0.9689465,
228,1,0,0,0.9707073,
490,1,1,0,0.5460849,
814,4,1,1,0.54270047,
465,2,0,0,0.9256361,
265,2,0,0,0.9210022,
453,7,0,0,0.9716365,
311,5,1,1,0.56454706,
37,1,0,0,0.6584178,
693,1,1,0,0.6086705,
290,4,0,0,0.8080369,
608,2,1,1,0.6804218,
487,4,0,0,0.7802987,
571,1,0,0,0.96609294,
419,2,0,1,0.5010783,
498,3,0,0,0.96002233,
787,2,0,1,0.6635841,
202,1,0,0,0.95339584,
