comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.684886,1.95566725730896
321,3,0,0,0.7836919,
819,1,1,0,0.5936945,
746,1,0,0,0.8035356,
397,8,1,0,0.7997999,
397,2,0,0,0.8186827,
264,17,1,0,0.5402863,
85,1,0,0,0.7336884,
202,2,1,0,0.67893463,
282,1,0,0,0.78916097,
339,6,1,0,0.66938674,
264,9,0,0,0.79712874,
628,1,0,0,0.79396176,
559,1,0,0,0.7964765,
121,2,1,0,0.6204117,
342,4,0,0,0.74335504,
791,1,0,0,0.81517684,
662,1,0,0,0.83196026,
578,1,1,0,0.7633442,
250,10,0,0,0.79150563,
560,4,1,0,0.5680286,
250,11,0,0,0.7196661,
190,3,1,0,0.622975,
616,2,0,0,0.6567717,
48,1,1,0,0.68363714,
50,1,0,0,0.82104486,
685,1,0,0,0.8100551,
174,1,0,0,0.7844005,
244,2,1,0,0.7237681,
622,1,0,0,0.8284977,
354,5,0,0,0.7888797,
164,3,0,1,0.56962,
663,1,0,0,0.8295839,
725,1,0,0,0.7857107,
647,2,0,0,0.8030215,
507,3,0,0,0.6814497,
237,1,1,0,0.6864578,
553,2,0,0,0.8316527,
253,4,0,0,0.7386939,
518,1,0,1,0.52334076,
693,3,0,0,0.7281804,
714,1,0,0,0.81553346,
284,1,0,0,0.7648686,
760,2,0,0,0.71117586,
606,2,0,0,0.7782567,
780,1,0,0,0.62985814,
121,4,0,0,0.7699047,
250,2,0,0,0.83629674,
307,3,0,0,0.74782157,
604,5,1,0,0.54282653,
250,9,0,0,0.7772553,
250,14,0,0,0.7236423,
264,3,0,0,0.8002773,
680,1,0,0,0.8073534,
366,5,0,0,0.70913637,
524,1,0,0,0.69804436,
32,5,0,0,0.6806955,
741,3,1,0,0.7087964,
267,1,1,0,0.66096693,
362,1,0,1,0.5579061,
267,2,0,0,0.6862626,
11,2,0,0,0.7878613,
179,1,0,0,0.79972744,
210,1,0,0,0.72615737,
377,1,0,0,0.7581231,
468,1,0,0,0.8396511,
794,2,1,0,0.6962625,
692,1,0,0,0.8045859,
103,1,0,0,0.8108891,
63,1,1,0,0.70709777,
229,1,0,0,0.7074152,
110,3,0,0,0.82109773,
390,6,0,0,0.6926502,
34,3,0,0,0.6389035,
778,3,0,0,0.8294122,
118,3,0,0,0.7310792,
781,3,0,0,0.6899857,
528,2,0,1,0.51407194,
264,12,0,0,0.7153825,
412,4,0,0,0.75017893,
598,2,0,0,0.81609803,
718,2,0,0,0.7862347,
127,1,0,0,0.8052956,
188,1,0,0,0.8204552,
666,1,0,0,0.7906424,
318,11,1,0,0.6767317,
288,1,0,0,0.7941105,
162,1,0,0,0.7355821,
8,1,0,0,0.8291121,
412,7,1,0,0.6629445,
824,4,1,0,0.727897,
561,1,1,0,0.79406476,
539,1,0,0,0.7942095,
816,1,0,0,0.794874,
584,1,0,0,0.6837285,
419,1,0,0,0.80702263,
764,1,1,0,0.5621166,
353,3,0,0,0.7687791,
433,1,0,0,0.8359693,
762,1,1,0,0.5147508,
250,13,0,0,0.7444577,
288,2,0,0,0.7257693,
327,1,0,0,0.85034496,
264,22,0,0,0.7453473,
190,2,0,0,0.8023754,
229,2,0,0,0.7797478,
583,1,0,0,0.83056784,
632,7,1,0,0.76189244,
797,2,0,0,0.63019514,
675,1,0,0,0.73189235,
109,2,0,0,0.6807078,
331,1,1,0,0.6774471,
501,6,0,0,0.8298053,
323,1,0,0,0.53156215,
613,1,1,0,0.7844094,
570,2,1,0,0.79813445,
710,3,1,0,0.7568267,
318,17,1,0,0.5374415,
297,2,0,0,0.80380684,
622,4,0,0,0.7694318,
288,5,0,0,0.7825655,
299,5,0,0,0.8244217,
290,2,0,0,0.8296865,
51,1,0,0,0.7893695,
372,1,0,0,0.79433876,
313,1,0,0,0.8522357,
150,2,1,0,0.8005314,
264,18,0,0,0.82860124,
740,3,0,0,0.80183053,
659,2,1,0,0.79032725,
210,2,0,0,0.7666726,
191,1,0,0,0.7933248,
185,1,0,0,0.73496485,
468,2,1,0,0.7236733,
169,1,1,0,0.72734463,
701,1,0,0,0.8253991,
588,2,1,0,0.76209843,
264,1,0,0,0.8116463,
774,9,0,0,0.8049039,
130,1,0,0,0.7614527,
699,1,0,0,0.8107326,
369,3,0,0,0.7082804,
55,1,0,0,0.7404656,
339,1,1,0,0.82132584,
201,1,1,0,0.580386,
22,2,0,0,0.7986368,
280,3,1,0,0.52418625,
257,3,1,0,0.7825253,
477,1,0,0,0.8327268,
95,3,0,0,0.79941195,
145,2,1,0,0.7372033,
618,4,0,0,0.82486904,
265,1,0,0,0.7966447,
641,1,0,0,0.7984904,
755,1,1,0,0.73990774,
759,2,0,0,0.8298104,
157,1,0,0,0.80639774,
811,2,1,0,0.8193646,
793,3,1,0,0.8181735,
37,3,1,0,0.76754874,
264,8,0,0,0.70269734,
596,2,0,0,0.7945585,
374,1,0,0,0.8079691,
35,1,1,0,0.7278434,
321,1,0,0,0.7404035,
34,2,0,0,0.79321885,
79,1,0,0,0.84003973,
322,4,0,0,0.7963096,
273,4,1,0,0.75970554,
397,6,0,0,0.760211,
235,2,0,0,0.8265253,
228,1,0,0,0.8346598,
490,1,1,0,0.81900615,
814,4,1,0,0.7863593,
465,2,0,0,0.7835455,
265,2,0,0,0.82579815,
453,7,0,0,0.84177196,
311,5,1,0,0.5588949,
37,1,0,0,0.76865214,
693,1,1,0,0.7526527,
290,4,0,0,0.79952294,
608,2,1,0,0.64109975,
487,4,0,0,0.73077357,
571,1,0,0,0.8139025,
419,2,0,0,0.7429548,
498,3,0,0,0.7753001,
787,2,0,0,0.6569956,
202,1,0,0,0.8347525,
484,2,0,0,0.771778,
784,1,0,0,0.59638435,
493,5,0,0,0.7213381,
12,1,0,0,0.8082738,
506,1,1,0,0.66938764,
719,1,1,0,0.66268456,
562,1,1,1,0.527111,
525,2,0,0,0.7527895,
664,1,0,0,0.8195452,
459,2,0,0,0.6989931,
632,6,1,0,0.5023607,
640,2,0,0,0.8378809,
46,3,0,0,0.73475903,
297,1,0,0,0.7190333,
494,4,1,0,0.73369503,
143,1,1,0,0.7552562,
432,3,0,0,0.7840426,
697,1,1,0,0.74175745,
708,1,0,0,0.73089594,
83,1,0,0,0.75620586,
664,3,0,0,0.8409963,
108,1,1,0,0.5913347,
355,3,0,0,0.8236544,
412,1,0,0,0.7373284,
790,1,0,0,0.8270615,
515,1,0,0,0.67059356,
655,3,0,0,0.7663431,
361,3,0,0,0.66436297,
129,1,0,0,0.8090078,
371,1,0,0,0.8075989,
13,1,0,0,0.57073754,
607,1,1,0,0.6861818,
703,1,1,0,0.5330886,
354,4,0,0,0.8210287,
247,3,0,0,0.7357594,
389,2,0,0,0.6034928,
410,2,0,0,0.8376563,
390,1,0,0,0.80170155,
94,1,0,0,0.7923582,
264,4,0,0,0.784531,
437,1,1,0,0.69582707,
373,3,0,0,0.7961141,
516,1,0,0,0.77642417,
20,1,0,0,0.82645154,
638,1,0,0,0.8395874,
283,1,0,0,0.8264624,
624,1,0,0,0.68713164,
351,3,0,0,0.84270686,
99,1,1,1,0.51682687,
397,1,0,0,0.8139786,
724,2,0,0,0.81318563,
243,5,1,0,0.7906814,
30,2,0,0,0.7888286,
540,1,1,0,0.512392,
772,2,1,0,0.5874804,
342,5,1,0,0.79156125,
392,1,0,0,0.8259583,
632,1,0,0,0.7504405,
313,2,0,0,0.83870625,
158,1,0,0,0.8168741,
663,3,0,0,0.8064078,
754,1,1,0,0.8117899,
54,3,0,0,0.75535357,
230,1,0,0,0.5579608,
668,3,0,0,0.8095793,
253,5,0,0,0.843427,
352,4,0,0,0.82585573,
734,2,1,0,0.7193194,
216,1,1,0,0.5447906,
366,2,1,0,0.66503435,
507,4,0,0,0.7803815,
188,3,0,0,0.76058674,
712,1,0,0,0.8016418,
781,6,1,0,0.7173851,
763,2,0,0,0.84438646,
344,5,0,0,0.6474324,
713,3,0,0,0.7927823,
481,2,0,0,0.8212865,
294,1,0,0,0.7920893,
33,1,0,0,0.7958195,
509,1,0,0,0.8119651,
792,1,0,0,0.79788744,
795,1,0,0,0.81957275,
239,2,0,0,0.8045725,
569,1,1,0,0.6619744,
172,2,0,0,0.82610136,
684,1,0,0,0.72920966,
751,1,0,0,0.77543014,
164,1,1,0,0.5002512,
373,1,1,0,0.7357128,
322,3,0,0,0.72190934,
386,2,1,0,0.75653803,
789,1,0,0,0.75187254,
649,1,0,0,0.76558816,
798,1,0,0,0.827866,
614,3,0,0,0.7589763,
206,1,0,0,0.7535955,
794,4,1,0,0.7737009,
305,2,0,0,0.68297815,
457,2,0,0,0.77516544,
340,4,0,0,0.79594564,
135,1,1,0,0.61778224,
352,5,0,0,0.7982936,
121,5,0,0,0.7646071,
317,1,0,0,0.8542691,
205,1,0,0,0.8055081,
565,1,0,0,0.81660086,
560,3,0,0,0.67945266,
314,2,1,0,0.77188027,
276,1,1,0,0.79960287,
34,4,1,1,0.5139097,
495,2,1,0,0.7522924,
133,1,0,0,0.77793807,
24,1,1,0,0.5574053,
210,3,0,0,0.82897025,
180,1,0,0,0.7732201,
493,4,0,0,0.77464986,
536,1,0,0,0.765977,
247,1,0,0,0.6947522,
503,1,0,0,0.8469425,
344,3,0,0,0.743923,
533,1,0,0,0.7906257,
235,4,0,0,0.792705,
347,2,0,0,0.8271231,
774,8,0,0,0.78450495,
500,1,0,0,0.67634475,
551,1,1,0,0.74181587,
797,3,0,0,0.65633833,
698,1,0,0,0.74686843,
742,1,0,0,0.8420481,
494,5,0,0,0.8477577,
259,2,0,0,0.8289359,
639,1,1,0,0.83568305,
67,1,0,0,0.82509434,
402,1,0,0,0.8330617,
318,10,0,0,0.7573286,
774,5,0,0,0.7146628,
612,1,1,0,0.74684954,
615,1,0,0,0.73621196,
821,2,0,0,0.82140464,
143,2,0,0,0.8360964,
93,1,1,0,0.74133736,
345,1,0,0,0.8021724,
124,2,0,0,0.7978645,
550,1,1,0,0.73518926,
822,1,0,0,0.803277,
317,4,0,0,0.61432666,
192,2,0,0,0.8064154,
516,5,0,0,0.6986379,
523,2,0,0,0.79931796,
401,2,0,0,0.80522394,
291,2,0,0,0.81902325,
635,2,0,0,0.75918454,
596,1,0,0,0.65445745,
128,3,0,0,0.77431685,
787,5,1,0,0.63116896,
514,1,1,0,0.7990638,
259,6,0,0,0.75323147,
226,3,0,0,0.77459735,
393,2,0,0,0.8231761,
595,1,0,0,0.79914904,
681,1,1,0,0.56566316,
304,3,0,0,0.71009314,
599,1,1,0,0.5347896,
613,7,0,0,0.8107262,
320,1,1,1,0.61159974,
659,1,0,0,0.76215273,
445,1,1,0,0.76840806,
83,3,1,0,0.6657435,
153,1,0,0,0.84681666,
233,2,1,0,0.7398582,
252,1,0,0,0.81265324,
159,1,0,0,0.7058132,
775,2,0,0,0.75918925,
232,3,0,0,0.76325136,
662,3,1,0,0.76617295,
478,3,1,0,0.7726441,
794,1,0,0,0.81005555,
394,3,0,0,0.72305137,
462,1,0,0,0.8584561,
364,1,1,0,0.79857826,
802,2,1,0,0.64367205,
219,2,0,0,0.7357757,
755,3,0,0,0.81733006,
275,3,0,0,0.8575583,
87,1,1,0,0.50572056,
250,12,0,0,0.7902351,
742,4,0,0,0.6571977,
268,2,1,0,0.7602943,
299,4,0,0,0.8297132,
182,1,0,0,0.8300672,
575,1,1,0,0.5780574,
809,1,0,0,0.79865384,
394,1,1,0,0.8033283,
797,1,0,0,0.69269663,
101,1,1,0,0.5905868,
4,6,0,0,0.7633803,
138,1,0,0,0.7633809,
635,4,0,0,0.78197664,
717,2,1,0,0.6438696,
628,2,0,0,0.8591549,
239,1,0,0,0.7322364,
264,6,1,0,0.7825253,
333,2,0,0,0.7947055,
632,5,1,0,0.741516,
339,2,1,0,0.6093842,
234,3,0,0,0.7911928,
101,2,0,0,0.7929923,
328,3,1,0,0.60808843,
443,1,0,0,0.8054017,
291,1,0,0,0.8299642,
516,2,0,0,0.7816843,
432,1,0,0,0.7776257,
273,7,1,0,0.81939626,
774,7,0,0,0.8103187,
321,2,1,0,0.7422302,
499,1,0,0,0.8072429,
708,2,0,0,0.79887974,
231,1,0,0,0.72453624,
411,2,1,0,0.6096157,
165,1,1,0,0.62572813,
28,1,0,0,0.77793807,
743,1,0,0,0.8420895,
236,1,1,0,0.82817423,
345,5,1,0,0.7070911,
19,1,0,0,0.82069623,
46,4,0,0,0.8475426,
145,1,0,0,0.8209694,
745,2,0,0,0.68902135,
