comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,1,0.7055903,1.0132920742034912
321,3,0,0,0.9421939,
819,1,1,1,0.7877581,
746,1,0,0,0.74156445,
397,8,1,1,0.52553654,
397,2,0,0,0.84082824,
264,17,1,1,0.8753935,
85,1,0,1,0.7752993,
202,2,1,1,0.54692996,
282,1,0,0,0.93985015,
339,6,1,1,0.7628347,
264,9,0,0,0.6296019,
628,1,0,0,0.88185614,
559,1,0,0,0.785231,
121,2,1,1,0.90732205,
342,4,0,0,0.6240627,
791,1,0,0,0.9062861,
662,1,0,0,0.7944032,
578,1,1,1,0.66624707,
250,10,0,0,0.7071616,
560,4,1,1,0.79079074,
250,11,0,1,0.75082934,
190,3,1,1,0.84988976,
616,2,0,1,0.853903,
48,1,1,1,0.54234123,
50,1,0,0,0.65318215,
685,1,0,0,0.93545204,
174,1,0,0,0.83057994,
244,2,1,1,0.8029998,
622,1,0,0,0.9426351,
354,5,0,1,0.7925886,
164,3,0,1,0.9207339,
663,1,0,0,0.923867,
725,1,0,0,0.9447653,
647,2,0,0,0.7247596,
507,3,0,0,0.78438497,
237,1,1,1,0.6355419,
553,2,0,0,0.9501299,
253,4,0,1,0.7067531,
518,1,0,1,0.63980687,
693,3,0,1,0.80875015,
714,1,0,0,0.9040318,
284,1,0,1,0.5335999,
760,2,0,1,0.6570076,
606,2,0,0,0.54235303,
780,1,0,1,0.84923714,
121,4,0,1,0.54789317,
250,2,0,0,0.8794375,
307,3,0,1,0.7432927,
604,5,1,1,0.8900621,
250,9,0,0,0.79369015,
250,14,0,1,0.5117466,
264,3,0,0,0.9303066,
680,1,0,0,0.7111495,
366,5,0,0,0.69293684,
524,1,0,1,0.54808384,
32,5,0,1,0.82990867,
741,3,1,1,0.7508876,
267,1,1,1,0.88954586,
362,1,0,1,0.6424046,
267,2,0,1,0.631155,
11,2,0,0,0.79665285,
179,1,0,0,0.92048144,
210,1,0,1,0.81118494,
377,1,0,1,0.7869375,
468,1,0,0,0.9157688,
794,2,1,1,0.81716716,
692,1,0,0,0.7777963,
103,1,0,0,0.86091626,
63,1,1,1,0.86253184,
229,1,0,1,0.7197144,
110,3,0,0,0.9323769,
390,6,0,1,0.5527349,
34,3,0,1,0.6735407,
778,3,0,0,0.58728117,
118,3,0,1,0.90031767,
781,3,0,1,0.65389526,
528,2,0,1,0.8900103,
264,12,0,0,0.5874746,
412,4,0,1,0.7217861,
598,2,0,0,0.934405,
718,2,0,1,0.5137099,
127,1,0,1,0.5320333,
188,1,0,0,0.9296048,
666,1,0,0,0.8173646,
318,11,1,1,0.8192111,
288,1,0,0,0.5748724,
162,1,0,0,0.90789306,
8,1,0,0,0.8942817,
412,7,1,1,0.82644194,
824,4,1,0,0.74585986,
561,1,1,0,0.5394309,
539,1,0,0,0.85243344,
816,1,0,0,0.8090946,
584,1,0,1,0.7645599,
419,1,0,0,0.833889,
764,1,1,1,0.90146345,
353,3,0,0,0.62224686,
433,1,0,0,0.951954,
762,1,1,1,0.90721,
250,13,0,1,0.8141411,
288,2,0,1,0.8346958,
327,1,0,0,0.95663095,
264,22,0,0,0.759061,
190,2,0,0,0.9275099,
229,2,0,0,0.72935957,
583,1,0,0,0.89282656,
632,7,1,1,0.8345198,
797,2,0,1,0.77746594,
675,1,0,1,0.5939408,
109,2,0,1,0.7371037,
331,1,1,1,0.73763233,
501,6,0,0,0.9271064,
323,1,0,1,0.66968757,
613,1,1,1,0.8058424,
570,2,1,1,0.64310473,
710,3,1,0,0.60176075,
318,17,1,1,0.8837877,
297,2,0,1,0.6629556,
622,4,0,1,0.5856704,
288,5,0,0,0.89701116,
299,5,0,0,0.9516582,
290,2,0,0,0.8407804,
51,1,0,0,0.7435624,
372,1,0,1,0.51709604,
313,1,0,0,0.89237493,
150,2,1,0,0.65616494,
264,18,0,0,0.9213851,
740,3,0,0,0.7330847,
659,2,1,1,0.8435827,
210,2,0,1,0.67174476,
191,1,0,0,0.8347921,
185,1,0,1,0.8335727,
468,2,1,0,0.57499653,
169,1,1,1,0.81877774,
701,1,0,0,0.9175547,
588,2,1,0,0.5767239,
264,1,0,0,0.70183575,
774,9,0,0,0.6194539,
130,1,0,0,0.6981386,
699,1,0,0,0.8997392,
369,3,0,1,0.63723016,
55,1,0,1,0.5919343,
339,1,1,0,0.905525,
201,1,1,1,0.90856767,
22,2,0,0,0.50927234,
280,3,1,1,0.8568053,
257,3,1,1,0.6718212,
477,1,0,0,0.9283561,
95,3,0,0,0.89192206,
145,2,1,1,0.7680975,
618,4,0,0,0.8042535,
265,1,0,0,0.8355303,
641,1,0,0,0.92648536,
755,1,1,1,0.8580332,
759,2,0,0,0.85956293,
157,1,0,0,0.81436366,
811,2,1,0,0.687424,
793,3,1,0,0.92494386,
37,3,1,0,0.54802024,
264,8,0,0,0.8689747,
596,2,0,0,0.71538186,
374,1,0,0,0.9377791,
35,1,1,1,0.78313684,
321,1,0,0,0.913378,
34,2,0,0,0.83014923,
79,1,0,0,0.831754,
322,4,0,0,0.5628258,
273,4,1,0,0.7854856,
397,6,0,0,0.9137914,
235,2,0,0,0.95388156,
228,1,0,0,0.94183344,
490,1,1,0,0.63818896,
814,4,1,0,0.74094236,
465,2,0,0,0.87488925,
265,2,0,0,0.90726703,
453,7,0,0,0.94810164,
311,5,1,1,0.9021326,
37,1,0,1,0.6083159,
693,1,1,1,0.7391524,
290,4,0,0,0.6365121,
608,2,1,1,0.91152203,
487,4,0,1,0.5407508,
571,1,0,0,0.92694753,
419,2,0,1,0.74691683,
498,3,0,0,0.856122,
787,2,0,1,0.9202763,
202,1,0,0,0.9163347,
484,2,0,0,0.6922589,
784,1,0,1,0.78760177,
493,5,0,1,0.615065,
12,1,0,0,0.81969863,
506,1,1,1,0.786176,
719,1,1,1,0.8370579,
562,1,1,1,0.9201744,
525,2,0,0,0.74509424,
664,1,0,0,0.89508057,
459,2,0,0,0.6712327,
