comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.78428125,1.6621885299682617
321,3,0,0,0.84884757,
819,1,1,0,0.6503148,
746,1,0,0,0.8247149,
397,8,1,0,0.8052206,
397,2,0,0,0.6836651,
264,17,1,0,0.54242593,
85,1,0,0,0.69179505,
202,2,1,0,0.72041184,
282,1,0,0,0.82535964,
339,6,1,0,0.69745374,
264,9,0,0,0.8366172,
628,1,0,0,0.806422,
559,1,0,0,0.6964566,
121,2,1,0,0.5797873,
342,4,0,0,0.8143408,
791,1,0,0,0.7152907,
662,1,0,0,0.83773106,
578,1,1,0,0.697423,
250,10,0,0,0.7214558,
560,4,1,0,0.69187284,
250,11,0,0,0.5900499,
190,3,1,0,0.6999216,
616,2,0,0,0.6579074,
48,1,1,0,0.7525996,
50,1,0,0,0.80674964,
685,1,0,0,0.82426554,
174,1,0,0,0.82033676,
244,2,1,0,0.53661823,
622,1,0,0,0.8452214,
354,5,0,0,0.6602021,
164,3,0,1,0.5910711,
663,1,0,0,0.8358377,
725,1,0,0,0.8605404,
647,2,0,0,0.8086057,
507,3,0,0,0.59731346,
237,1,1,1,0.5263016,
553,2,0,0,0.8463854,
253,4,0,0,0.7375,
518,1,0,0,0.64907354,
693,3,0,0,0.65730304,
714,1,0,0,0.81290334,
284,1,0,0,0.8092816,
760,2,0,0,0.78945243,
606,2,0,0,0.81294745,
780,1,0,0,0.77910185,
121,4,0,0,0.7328327,
250,2,0,0,0.83785903,
307,3,0,0,0.699661,
604,5,1,1,0.5267496,
250,9,0,0,0.77905226,
250,14,0,0,0.73632723,
264,3,0,0,0.8293468,
680,1,0,0,0.78183585,
366,5,0,0,0.5172896,
524,1,0,0,0.69385207,
32,5,0,0,0.7720923,
741,3,1,0,0.7182287,
267,1,1,0,0.66410637,
362,1,0,0,0.60905486,
267,2,0,0,0.66838354,
11,2,0,0,0.776861,
179,1,0,0,0.78236806,
210,1,0,0,0.74152255,
377,1,0,0,0.7243858,
468,1,0,0,0.851554,
794,2,1,0,0.63104886,
692,1,0,0,0.7911017,
103,1,0,0,0.8081168,
63,1,1,0,0.6767521,
229,1,0,0,0.6526479,
110,3,0,0,0.8536948,
390,6,0,0,0.8211991,
34,3,0,0,0.68422765,
778,3,0,0,0.7947117,
118,3,0,1,0.5463193,
781,3,0,0,0.6405344,
528,2,0,1,0.5404868,
264,12,0,0,0.82826704,
412,4,0,0,0.80004483,
598,2,0,0,0.84326094,
718,2,0,0,0.73006755,
127,1,0,0,0.78117526,
188,1,0,0,0.8521488,
666,1,0,0,0.72915745,
318,11,1,0,0.7545507,
288,1,0,0,0.6895664,
162,1,0,0,0.83254695,
8,1,0,0,0.82268757,
412,7,1,0,0.68220776,
824,4,1,0,0.6871603,
561,1,1,0,0.71572405,
539,1,0,0,0.8368851,
816,1,0,0,0.80922896,
584,1,0,0,0.7608629,
419,1,0,0,0.7576603,
764,1,1,1,0.59324247,
353,3,0,0,0.77249515,
433,1,0,0,0.86596644,
762,1,1,0,0.59565496,
250,13,0,0,0.71009743,
288,2,0,0,0.74492794,
327,1,0,0,0.8745242,
264,22,0,0,0.8337003,
190,2,0,0,0.841226,
229,2,0,0,0.7979683,
583,1,0,0,0.7280648,
632,7,1,0,0.6821934,
797,2,0,0,0.727651,
675,1,0,0,0.7375812,
109,2,0,0,0.5489913,
331,1,1,0,0.7329816,
501,6,0,0,0.8452071,
323,1,0,0,0.6878819,
613,1,1,0,0.81221277,
570,2,1,0,0.6737083,
710,3,1,0,0.82493395,
318,17,1,0,0.66553587,
297,2,0,0,0.78072375,
622,4,0,0,0.67147297,
288,5,0,0,0.8127156,
299,5,0,0,0.840401,
290,2,0,0,0.84372723,
51,1,0,0,0.8204543,
372,1,0,0,0.7135689,
313,1,0,0,0.82597166,
150,2,1,0,0.8007191,
264,18,0,0,0.8189303,
740,3,0,0,0.8521409,
659,2,1,0,0.73549473,
210,2,0,0,0.81720847,
