comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.5590838,1.5218491554260254
321,3,0,0,0.7955593,
819,1,1,0,0.5654402,
746,1,0,0,0.7750397,
397,8,1,0,0.7404217,
397,2,0,0,0.75157994,
264,17,1,0,0.7051388,
85,1,0,0,0.6797147,
202,2,1,0,0.7548979,
282,1,0,0,0.8116007,
339,6,1,0,0.64588773,
264,9,0,0,0.82648903,
628,1,0,0,0.7465234,
559,1,0,0,0.6539948,
121,2,1,0,0.66177016,
342,4,0,0,0.67598,
791,1,0,0,0.79564524,
662,1,0,0,0.785577,
578,1,1,0,0.7506983,
250,10,0,0,0.7931789,
560,4,1,0,0.55721337,
250,11,0,0,0.71560293,
190,3,1,1,0.5539608,
616,2,0,0,0.584444,
48,1,1,0,0.6956863,
50,1,0,0,0.83466005,
685,1,0,0,0.78750414,
174,1,0,0,0.795256,
244,2,1,0,0.75392145,
622,1,0,0,0.84232503,
354,5,0,0,0.8084797,
164,3,0,0,0.65049934,
663,1,0,0,0.8299302,
725,1,0,0,0.8212924,
647,2,0,0,0.805453,
507,3,0,0,0.6404919,
237,1,1,0,0.7133218,
553,2,0,0,0.821271,
253,4,0,0,0.7073898,
518,1,0,0,0.66466933,
693,3,0,0,0.65478104,
714,1,0,0,0.78765947,
284,1,0,0,0.8203047,
760,2,0,0,0.7882127,
606,2,0,0,0.78027606,
780,1,0,0,0.6958209,
121,4,0,0,0.7663923,
250,2,0,0,0.7875974,
307,3,0,0,0.73462963,
604,5,1,0,0.7258155,
250,9,0,0,0.7843377,
250,14,0,0,0.71486646,
264,3,0,0,0.7808495,
680,1,0,0,0.7438678,
366,5,0,0,0.6910806,
524,1,0,0,0.77406156,
32,5,0,0,0.7380381,
741,3,1,0,0.53661174,
267,1,1,0,0.5027615,
362,1,0,0,0.63831717,
267,2,0,0,0.7115559,
11,2,0,0,0.7499349,
179,1,0,0,0.7869887,
210,1,0,0,0.7101997,
377,1,0,0,0.52858144,
468,1,0,0,0.8162723,
794,2,1,0,0.73121464,
692,1,0,0,0.86113507,
103,1,0,0,0.8010998,
63,1,1,0,0.73520166,
229,1,0,0,0.6795061,
110,3,0,0,0.7425563,
390,6,0,0,0.7464843,
34,3,0,0,0.6375448,
778,3,0,0,0.75276536,
118,3,0,0,0.64888304,
781,3,0,0,0.6996213,
528,2,0,0,0.6838766,
264,12,0,0,0.7702037,
412,4,0,0,0.6319805,
598,2,0,0,0.7802214,
718,2,0,0,0.79500294,
127,1,0,0,0.7135611,
188,1,0,0,0.7714234,
666,1,0,0,0.6332269,
318,11,1,0,0.6846074,
288,1,0,0,0.76048464,
162,1,0,0,0.83552396,
8,1,0,0,0.77860993,
412,7,1,0,0.76213497,
824,4,1,0,0.7438467,
561,1,1,0,0.7488014,
539,1,0,0,0.7999805,
816,1,0,0,0.8665979,
584,1,0,0,0.6356152,
419,1,0,0,0.71088094,
764,1,1,0,0.66078585,
353,3,0,0,0.67498016,
433,1,0,0,0.8426056,
762,1,1,0,0.61279607,
250,13,0,0,0.65312386,
288,2,0,0,0.6724949,
327,1,0,0,0.86068803,
264,22,0,0,0.809917,
190,2,0,0,0.7549858,
229,2,0,0,0.7366305,
583,1,0,0,0.77707726,
632,7,1,0,0.56042707,
797,2,0,0,0.6796389,
675,1,0,0,0.7706518,
109,2,0,0,0.69473726,
331,1,1,0,0.6682586,
501,6,0,0,0.8460054,
323,1,0,0,0.6627196,
613,1,1,0,0.76281667,
570,2,1,0,0.6229639,
710,3,1,0,0.7838678,
318,17,1,0,0.64125454,
297,2,0,0,0.7220195,
622,4,0,0,0.72662103,
288,5,0,0,0.75818807,
299,5,0,0,0.8474256,
290,2,0,0,0.79639906,
51,1,0,0,0.82454836,
372,1,0,0,0.7366782,
313,1,0,0,0.83553714,
150,2,1,0,0.8194484,
264,18,0,0,0.7951619,
740,3,0,0,0.83756155,
659,2,1,0,0.5899479,
210,2,0,0,0.64845973,
191,1,0,0,0.806864,
