comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,1,0.5003755,-22.61918830871582
321,3,0,1,0.51742625,
819,1,1,0,0.5057076,
746,1,0,1,0.5095676,
397,8,1,0,0.5033922,
397,2,0,1,0.512036,
264,17,1,0,0.5078711,
85,1,0,0,0.5023362,
202,2,1,1,0.5038992,
282,1,0,1,0.5233132,
339,6,1,0,0.5017596,
264,9,0,1,0.52196914,
628,1,0,1,0.50886154,
559,1,0,1,0.50155354,
121,2,1,0,0.5016933,
342,4,0,1,0.5174369,
791,1,0,1,0.5116654,
662,1,0,1,0.5085733,
578,1,1,0,0.50079405,
250,10,0,1,0.5051486,
560,4,1,0,0.505076,
250,11,0,1,0.5013905,
190,3,1,0,0.5087402,
616,2,0,0,0.5062373,
48,1,1,1,0.5074175,
50,1,0,1,0.5214012,
685,1,0,1,0.5251447,
174,1,0,1,0.51917785,
244,2,1,1,0.5014426,
622,1,0,1,0.52423394,
354,5,0,0,0.50001335,
164,3,0,0,0.5080935,
663,1,0,1,0.52717304,
725,1,0,1,0.5266619,
647,2,0,1,0.5080021,
507,3,0,0,0.5044471,
237,1,1,1,0.50683707,
553,2,0,1,0.51611155,
253,4,0,1,0.5004049,
518,1,0,0,0.50261825,
693,3,0,0,0.50135934,
714,1,0,1,0.5093374,
284,1,0,1,0.5055159,
760,2,0,1,0.5025721,
606,2,0,1,0.5006037,
780,1,0,1,0.5060292,
121,4,0,1,0.50436544,
250,2,0,1,0.5233967,
307,3,0,0,0.50220364,
604,5,1,0,0.5044534,
250,9,0,1,0.51500326,
250,14,0,1,0.50156134,
264,3,0,1,0.52372116,
680,1,0,1,0.5124738,
366,5,0,1,0.5047954,
524,1,0,1,0.50609916,
32,5,0,0,0.5009475,
741,3,1,0,0.5032375,
267,1,1,0,0.5047371,
362,1,0,0,0.5048985,
267,2,0,0,0.5119684,
11,2,0,1,0.502866,
179,1,0,1,0.519982,
210,1,0,0,0.5042278,
377,1,0,0,0.50159335,
468,1,0,1,0.523448,
794,2,1,0,0.50252324,
692,1,0,1,0.5089503,
103,1,0,1,0.5141375,
63,1,1,0,0.5025995,
229,1,0,1,0.5031584,
110,3,0,1,0.52161753,
390,6,0,1,0.50409263,
34,3,0,0,0.50062746,
778,3,0,1,0.5086371,
118,3,0,0,0.5027745,
781,3,0,1,0.5049607,
528,2,0,1,0.50177956,
264,12,0,1,0.5024684,
412,4,0,1,0.5016168,
598,2,0,1,0.5274378,
718,2,0,1,0.5159661,
127,1,0,1,0.5018549,
188,1,0,1,0.5219031,
666,1,0,1,0.5025308,
318,11,1,1,0.5002828,
288,1,0,0,0.50196105,
162,1,0,1,0.5146939,
8,1,0,1,0.5078108,
412,7,1,1,0.50697523,
824,4,1,0,0.5077184,
561,1,1,0,0.50203705,
539,1,0,1,0.50594395,
816,1,0,1,0.5123858,
584,1,0,0,0.5049577,
419,1,0,1,0.5088329,
764,1,1,0,0.5052436,
353,3,0,1,0.50286156,
433,1,0,1,0.52643657,
762,1,1,0,0.50119096,
250,13,0,0,0.5002507,
288,2,0,1,0.50456965,
327,1,0,1,0.52450466,
264,22,0,1,0.51741964,
190,2,0,1,0.5233822,
229,2,0,1,0.50270104,
583,1,0,1,0.51674175,
632,7,1,0,0.5007233,
797,2,0,0,0.5086827,
675,1,0,1,0.5040723,
109,2,0,0,0.503977,
331,1,1,0,0.50128317,
501,6,0,1,0.5252893,
323,1,0,0,0.50086516,
613,1,1,0,0.5011614,
570,2,1,1,0.50165796,
710,3,1,1,0.50668293,
318,17,1,0,0.50519544,
297,2,0,0,0.502872,
622,4,0,0,0.5075198,
288,5,0,1,0.5097282,
299,5,0,1,0.5267654,
290,2,0,1,0.5131213,
51,1,0,1,0.50703067,
372,1,0,0,0.5004633,
313,1,0,1,0.51610726,
150,2,1,1,0.5143971,
264,18,0,1,0.51485723,
740,3,0,1,0.5172101,
659,2,1,0,0.5032044,
210,2,0,1,0.5006039,
191,1,0,1,0.5153429,
185,1,0,0,0.5056738,
468,2,1,1,0.50438195,
169,1,1,0,0.50594354,
701,1,0,1,0.5058457,
588,2,1,1,0.50984246,
264,1,0,1,0.50325817,
774,9,0,1,0.5059968,
130,1,0,1,0.5033367,
699,1,0,1,0.51152813,
369,3,0,1,0.5070754,
55,1,0,0,0.5002445,
339,1,1,1,0.508025,
201,1,1,0,0.5107535,
22,2,0,0,0.505395,
280,3,1,0,0.5064159,
257,3,1,1,0.5025144,
477,1,0,1,0.523866,
95,3,0,1,0.5093573,
145,2,1,0,0.50867134,
618,4,0,1,0.5095208,
265,1,0,0,0.5019299,
641,1,0,1,0.5295635,
755,1,1,0,0.5025026,
759,2,0,1,0.51339716,
157,1,0,1,0.5155161,
811,2,1,0,0.5036749,
793,3,1,1,0.5236734,
37,3,1,1,0.5100191,
264,8,0,1,0.516664,
596,2,0,1,0.51287293,
374,1,0,1,0.52635956,
35,1,1,0,0.5017002,
321,1,0,1,0.5051676,
34,2,0,1,0.5159518,
79,1,0,1,0.5206414,
322,4,0,1,0.5073751,
273,4,1,1,0.50187045,
397,6,0,1,0.5118876,
235,2,0,1,0.52868366,
228,1,0,1,0.527078,
490,1,1,1,0.5108144,
814,4,1,0,0.5024666,
465,2,0,1,0.50840473,
265,2,0,1,0.51457477,
453,7,0,1,0.5292577,
311,5,1,0,0.5051698,
37,1,0,0,0.50319284,
693,1,1,1,0.5010665,
290,4,0,1,0.5032229,
608,2,1,0,0.50734586,
487,4,0,0,0.5030866,
571,1,0,1,0.5214676,
419,2,0,1,0.50647426,
498,3,0,1,0.51934576,
787,2,0,0,0.51155865,
202,1,0,1,0.5193176,
484,2,0,1,0.5062282,
784,1,0,0,0.5006771,
