comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.68370783,1.0535675287246704
321,3,0,0,0.97803456,
819,1,1,1,0.64567906,
746,1,0,0,0.7718362,
397,8,1,1,0.5115433,
397,2,0,0,0.9731948,
264,17,1,1,0.6334223,
85,1,0,0,0.7072072,
202,2,1,0,0.7535446,
282,1,0,0,0.96899295,
339,6,1,1,0.60880816,
264,9,0,0,0.92777187,
628,1,0,0,0.97488165,
559,1,0,0,0.8828713,
121,2,1,1,0.6688588,
342,4,0,0,0.9340369,
791,1,0,0,0.9680932,
662,1,0,0,0.958369,
578,1,1,0,0.8990898,
250,10,0,0,0.83449364,
560,4,1,1,0.6689947,
250,11,0,0,0.6515986,
190,3,1,1,0.64054775,
616,2,0,0,0.5683824,
48,1,1,1,0.5266432,
50,1,0,0,0.9649325,
685,1,0,0,0.9779985,
174,1,0,0,0.9701052,
244,2,1,0,0.5689957,
622,1,0,0,0.9554344,
354,5,0,1,0.56230605,
164,3,0,1,0.6367159,
663,1,0,0,0.97331333,
725,1,0,0,0.97757304,
647,2,0,0,0.9650213,
507,3,0,0,0.61215234,
237,1,1,0,0.61581665,
553,2,0,0,0.97436464,
253,4,0,0,0.70840394,
518,1,0,1,0.5762142,
693,3,0,0,0.65665835,
714,1,0,0,0.97582585,
284,1,0,0,0.90566444,
760,2,0,1,0.582777,
606,2,0,0,0.8385532,
780,1,0,0,0.718392,
121,4,0,0,0.8788683,
250,2,0,0,0.9643467,
307,3,0,0,0.52106434,
604,5,1,1,0.5873359,
250,9,0,0,0.9568349,
250,14,0,0,0.9507005,
264,3,0,0,0.9745171,
680,1,0,0,0.93336266,
366,5,0,0,0.8116939,
524,1,0,1,0.59546345,
32,5,0,1,0.5672767,
741,3,1,0,0.6908786,
267,1,1,1,0.58575904,
362,1,0,1,0.6261798,
267,2,0,1,0.5941888,
11,2,0,0,0.81561327,
179,1,0,0,0.96433926,
210,1,0,1,0.52420264,
377,1,0,0,0.9337322,
468,1,0,0,0.9751244,
794,2,1,1,0.63245726,
692,1,0,0,0.95779073,
103,1,0,0,0.96300405,
63,1,1,1,0.6294607,
229,1,0,0,0.51752573,
110,3,0,0,0.9566998,
390,6,0,0,0.631959,
34,3,0,0,0.579898,
778,3,0,0,0.94249344,
118,3,0,0,0.6093211,
781,3,0,0,0.68375707,
528,2,0,0,0.5678281,
264,12,0,0,0.88300395,
412,4,0,0,0.8864863,
598,2,0,0,0.97967243,
718,2,0,0,0.8879983,
127,1,0,0,0.87027496,
188,1,0,0,0.97901523,
666,1,0,0,0.6589347,
318,11,1,0,0.7210147,
288,1,0,0,0.84831744,
162,1,0,0,0.84225035,
8,1,0,0,0.8752225,
412,7,1,0,0.5891397,
824,4,1,0,0.6420281,
561,1,1,0,0.6268568,
539,1,0,0,0.5139984,
816,1,0,0,0.8447548,
584,1,0,0,0.6708839,
419,1,0,0,0.9215682,
764,1,1,1,0.62476337,
353,3,0,0,0.80231947,
433,1,0,0,0.97813076,
762,1,1,1,0.62362117,
250,13,0,0,0.79460895,
288,2,0,0,0.7126353,
327,1,0,0,0.9769,
264,22,0,0,0.90179163,
190,2,0,0,0.9677468,
229,2,0,0,0.90089995,
583,1,0,0,0.9673363,
632,7,1,1,0.64780957,
797,2,0,1,0.5915488,
675,1,0,0,0.639929,
