comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.66081995,1.5000954866409302
321,3,0,0,0.95561355,
819,1,1,1,0.8421916,
746,1,0,0,0.7843113,
397,8,1,0,0.7588304,
397,2,0,0,0.9315638,
264,17,1,0,0.61712956,
85,1,0,0,0.641762,
202,2,1,0,0.9311947,
282,1,0,0,0.9323481,
339,6,1,0,0.7826913,
264,9,0,0,0.87838995,
628,1,0,0,0.9326742,
559,1,0,0,0.9274512,
121,2,1,1,0.7699379,
342,4,0,0,0.8687816,
791,1,0,0,0.9302708,
662,1,0,0,0.83878773,
578,1,1,0,0.83495927,
250,10,0,0,0.90918005,
560,4,1,1,0.8347336,
250,11,0,0,0.7655295,
190,3,1,1,0.7758483,
616,2,0,0,0.7394778,
48,1,1,1,0.7106789,
50,1,0,0,0.92078376,
685,1,0,0,0.95292974,
174,1,0,0,0.94765383,
244,2,1,1,0.6487919,
622,1,0,0,0.9464965,
354,5,0,0,0.7533511,
164,3,0,1,0.7561019,
663,1,0,0,0.94679433,
725,1,0,0,0.9498472,
647,2,0,0,0.9366375,
507,3,0,0,0.88488436,
237,1,1,0,0.92996246,
553,2,0,0,0.9390393,
253,4,0,0,0.84009683,
518,1,0,1,0.61679953,
693,3,0,1,0.5103748,
714,1,0,0,0.94127524,
284,1,0,0,0.8576908,
760,2,0,0,0.64409816,
606,2,0,0,0.7457352,
780,1,0,0,0.86871356,
121,4,0,0,0.8863676,
250,2,0,0,0.9096764,
307,3,0,1,0.61343366,
604,5,1,1,0.6151663,
250,9,0,0,0.91980016,
250,14,0,0,0.86575675,
264,3,0,0,0.94990164,
680,1,0,0,0.9216163,
366,5,0,0,0.91701263,
524,1,0,0,0.8272283,
32,5,0,0,0.87537915,
741,3,1,0,0.69903207,
267,1,1,0,0.65475893,
362,1,0,1,0.74347407,
267,2,0,0,0.56924915,
11,2,0,0,0.77503574,
179,1,0,0,0.9272675,
210,1,0,0,0.60514474,
377,1,0,0,0.8898698,
468,1,0,0,0.9537875,
794,2,1,1,0.8319329,
692,1,0,0,0.91796005,
103,1,0,0,0.88925505,
63,1,1,1,0.5436831,
229,1,0,0,0.5497262,
110,3,0,0,0.92915773,
390,6,0,0,0.57010615,
34,3,0,0,0.590203,
778,3,0,0,0.9209562,
118,3,0,0,0.7053053,
781,3,0,0,0.60608155,
528,2,0,0,0.68171436,
264,12,0,0,0.8871905,
412,4,0,0,0.8927608,
598,2,0,0,0.95301366,
718,2,0,0,0.87767935,
127,1,0,0,0.89304715,
188,1,0,0,0.94045687,
666,1,0,0,0.76958716,
318,11,1,0,0.59892154,
288,1,0,0,0.90332943,
162,1,0,0,0.8937527,
8,1,0,0,0.8928357,
412,7,1,1,0.6566619,
824,4,1,0,0.8372129,
561,1,1,0,0.67640793,
539,1,0,1,0.6439684,
816,1,0,0,0.8718782,
584,1,0,0,0.88627535,
419,1,0,0,0.91391575,
764,1,1,1,0.7620612,
353,3,0,0,0.9012997,
433,1,0,0,0.95203805,
762,1,1,1,0.79650795,
250,13,0,0,0.76913303,
288,2,0,0,0.7464696,
327,1,0,0,0.9564242,
264,22,0,0,0.91969407,
190,2,0,0,0.94762844,
229,2,0,0,0.87800676,
583,1,0,0,0.94236815,
632,7,1,1,0.8263557,
797,2,0,0,0.5406455,
675,1,0,0,0.73716176,
109,2,0,0,0.70848066,
331,1,1,1,0.7270852,
501,6,0,0,0.9297348,
323,1,0,0,0.6836385,
613,1,1,1,0.6565107,
570,2,1,1,0.5247973,
710,3,1,0,0.9377385,
318,17,1,0,0.50477386,
297,2,0,0,0.5729431,
622,4,0,0,0.6818209,
288,5,0,0,0.9449996,
299,5,0,0,0.95168054,
290,2,0,0,0.8848651,
51,1,0,0,0.95154387,
372,1,0,0,0.8438659,
313,1,0,0,0.94772255,
150,2,1,0,0.63345313,
264,18,0,0,0.94015205,
740,3,0,0,0.82568264,
659,2,1,1,0.727719,
210,2,0,0,0.89117265,
191,1,0,0,0.9522665,
185,1,0,0,0.6018728,
468,2,1,0,0.8064744,
169,1,1,0,0.7464221,
701,1,0,0,0.9388563,
588,2,1,0,0.8425074,
264,1,0,0,0.91973656,
774,9,0,0,0.93446654,
130,1,0,0,0.83482087,
699,1,0,0,0.93180895,
369,3,0,0,0.8494087,
55,1,0,0,0.85137707,
339,1,1,0,0.836667,
201,1,1,1,0.7285893,
22,2,0,0,0.7531072,
280,3,1,0,0.8272376,
257,3,1,0,0.69603294,
477,1,0,0,0.9349334,
95,3,0,0,0.95365405,
145,2,1,0,0.77247447,
618,4,0,0,0.6308473,
265,1,0,0,0.9014377,
641,1,0,0,0.95501727,
755,1,1,0,0.6676787,
759,2,0,0,0.8139126,
157,1,0,0,0.89995605,
811,2,1,1,0.5694978,
793,3,1,0,0.87788105,
37,3,1,0,0.7419441,
264,8,0,0,0.84193844,
596,2,0,0,0.88463455,
374,1,0,0,0.9461605,
35,1,1,1,0.5055229,
321,1,0,0,0.9496723,
34,2,0,0,0.8854083,
79,1,0,0,0.9176342,
322,4,0,0,0.5180507,
273,4,1,0,0.8890724,
397,6,0,0,0.9174053,
235,2,0,0,0.9574924,
228,1,0,0,0.93389624,
490,1,1,0,0.8853465,
814,4,1,0,0.8615374,
465,2,0,0,0.88210607,
265,2,0,0,0.95171714,
453,7,0,0,0.94815385,
311,5,1,1,0.52118605,
37,1,0,0,0.69220626,
693,1,1,0,0.89022493,
290,4,0,1,0.5468473,
608,2,1,0,0.51182294,
487,4,0,0,0.8867835,
571,1,0,0,0.93803585,
419,2,0,0,0.83009285,
498,3,0,0,0.93333244,
787,2,0,1,0.66300404,
202,1,0,0,0.9441882,
484,2,0,1,0.5161834,
784,1,0,1,0.5218193,
493,5,0,0,0.7638872,
12,1,0,0,0.8723575,
506,1,1,0,0.5094291,
719,1,1,1,0.76975584,
562,1,1,1,0.538124,
525,2,0,0,0.9303297,
664,1,0,0,0.94669205,
459,2,0,0,0.8654944,
632,6,1,1,0.8129342,
640,2,0,0,0.9529697,
46,3,0,0,0.92848814,
297,1,0,0,0.65954655,
494,4,1,0,0.53766567,
143,1,1,1,0.70222664,
432,3,0,0,0.9204742,
697,1,1,0,0.683043,
708,1,0,0,0.6949839,
83,1,0,0,0.95486724,
664,3,0,0,0.95063126,
108,1,1,1,0.6488668,
355,3,0,0,0.91110295,
412,1,0,0,0.9121683,
790,1,0,0,0.9376587,
515,1,0,0,0.88657504,
655,3,0,0,0.94987947,
361,3,0,1,0.52593637,
129,1,0,0,0.9092313,
371,1,0,0,0.9458139,
13,1,0,1,0.6427984,
607,1,1,1,0.79326534,
703,1,1,1,0.59580433,
354,4,0,0,0.8995402,
247,3,0,0,0.5747247,
389,2,0,1,0.66947645,
410,2,0,0,0.9556848,
390,1,0,0,0.8988856,
94,1,0,0,0.9404891,
264,4,0,0,0.5373068,
437,1,1,1,0.5669855,
373,3,0,0,0.95154124,
516,1,0,0,0.8303524,
20,1,0,0,0.94409424,
638,1,0,0,0.94321394,
283,1,0,0,0.9306843,
624,1,0,0,0.61990345,
351,3,0,0,0.95258963,
99,1,1,1,0.7190309,
397,1,0,0,0.93848985,
724,2,0,0,0.9378688,
243,5,1,0,0.6494011,
30,2,0,0,0.9318375,
540,1,1,1,0.79195046,
772,2,1,1,0.6348685,
342,5,1,1,0.59107953,
392,1,0,0,0.9514788,
632,1,0,0,0.92388237,
313,2,0,0,0.9154841,
158,1,0,0,0.87830836,
663,3,0,0,0.92541116,
754,1,1,0,0.7338509,
54,3,0,0,0.7952778,
230,1,0,0,0.92937106,
668,3,0,0,0.92086965,
253,5,0,0,0.94294524,
352,4,0,0,0.94627047,
734,2,1,1,0.51169115,
216,1,1,1,0.86932355,
366,2,1,0,0.68632764,
507,4,0,0,0.9233626,
188,3,0,0,0.8897126,
712,1,0,0,0.89474267,
781,6,1,1,0.6841021,
763,2,0,0,0.9500417,
344,5,0,0,0.9515483,
713,3,0,0,0.8884569,
481,2,0,0,0.9514506,
294,1,0,0,0.9378926,
33,1,0,0,0.92620814,
509,1,0,0,0.92975205,
792,1,0,0,0.8499407,
795,1,0,0,0.91275567,
239,2,0,0,0.9128576,
569,1,1,1,0.84043753,
172,2,0,0,0.86509925,
684,1,0,0,0.577976,
751,1,0,0,0.90682095,
164,1,1,1,0.83084077,
373,1,1,0,0.9006415,
322,3,0,0,0.7878891,
386,2,1,0,0.774329,
789,1,0,0,0.7554536,
649,1,0,0,0.94709724,
798,1,0,0,0.93421847,
614,3,0,0,0.86517334,
206,1,0,1,0.5858268,
794,4,1,0,0.84586185,
305,2,0,1,0.5518227,
457,2,0,0,0.9476674,
340,4,0,0,0.89506954,
135,1,1,1,0.5566056,
352,5,0,0,0.9054146,
121,5,0,1,0.55606025,
317,1,0,0,0.9553725,
205,1,0,0,0.9505246,
565,1,0,0,0.9458637,
560,3,0,0,0.8447118,
314,2,1,1,0.735082,
276,1,1,0,0.71903676,
34,4,1,1,0.8578723,
495,2,1,1,0.5881125,
133,1,0,0,0.939303,
24,1,1,0,0.5629377,
210,3,0,0,0.92227817,
180,1,0,0,0.8507492,
493,4,0,0,0.9024861,
536,1,0,0,0.9000654,
247,1,0,0,0.8407437,
503,1,0,0,0.924051,
344,3,0,0,0.6178981,
533,1,0,0,0.94287384,
235,4,0,0,0.90851927,
347,2,0,0,0.9335521,
774,8,0,0,0.52686095,
500,1,0,1,0.5869583,
551,1,1,0,0.75982517,
797,3,0,1,0.6171342,
698,1,0,0,0.67425513,
742,1,0,0,0.85768247,
494,5,0,0,0.9447133,
259,2,0,0,0.9223646,
639,1,1,0,0.8882129,
67,1,0,0,0.95254064,
402,1,0,0,0.94096345,
318,10,0,0,0.86146283,
774,5,0,0,0.91812694,
612,1,1,0,0.5809208,
615,1,0,0,0.8811679,
821,2,0,0,0.956254,
143,2,0,0,0.85759836,
93,1,1,1,0.8191786,
345,1,0,0,0.94486547,
124,2,0,0,0.9335497,
550,1,1,1,0.8478053,
822,1,0,0,0.93397534,
317,4,0,1,0.8378457,
192,2,0,0,0.9537438,
516,5,0,1,0.6246918,
523,2,0,0,0.95673037,
401,2,0,0,0.9267499,
291,2,0,0,0.95222545,
635,2,0,0,0.91919625,
596,1,0,0,0.71385014,
128,3,0,0,0.7260562,
787,5,1,1,0.73296756,
514,1,1,0,0.91105044,
259,6,0,0,0.93367225,
226,3,0,0,0.91752267,
393,2,0,0,0.9432831,
595,1,0,0,0.9290736,
681,1,1,1,0.8401142,
304,3,0,0,0.65113884,
599,1,1,1,0.822813,
613,7,0,0,0.94375515,
320,1,1,1,0.87839967,
659,1,0,0,0.58181167,
445,1,1,0,0.8492737,
83,3,1,1,0.597966,
153,1,0,0,0.95102066,
233,2,1,1,0.5745713,
252,1,0,0,0.8271192,
159,1,0,0,0.9051405,
775,2,0,0,0.69475937,
232,3,0,0,0.9369423,
662,3,1,0,0.7441278,
478,3,1,1,0.645352,
794,1,0,0,0.9254995,
394,3,0,0,0.9199843,
462,1,0,0,0.9468643,
364,1,1,0,0.8934458,
802,2,1,0,0.8239065,
219,2,0,0,0.8891305,
755,3,0,0,0.8723467,
275,3,0,0,0.95276284,
87,1,1,1,0.8457062,
250,12,0,0,0.8009122,
742,4,0,0,0.67342925,
268,2,1,0,0.7006358,
299,4,0,0,0.944602,
182,1,0,0,0.9317256,
575,1,1,1,0.71017736,
809,1,0,0,0.9462455,
394,1,1,0,0.9147902,
797,1,0,1,0.55128676,
101,1,1,1,0.76539534,
4,6,0,0,0.58881307,
138,1,0,0,0.8463622,
635,4,0,0,0.76104164,
717,2,1,1,0.7548019,
628,2,0,0,0.9513399,
239,1,0,0,0.7328441,
264,6,1,0,0.69603294,
333,2,0,0,0.9247122,
632,5,1,0,0.87223905,
339,2,1,1,0.8160999,
234,3,0,0,0.68248147,
101,2,0,0,0.9288739,
328,3,1,0,0.6421927,
443,1,0,1,0.579773,
291,1,0,0,0.9519204,
516,2,0,0,0.8067314,
432,1,0,0,0.8501613,
273,7,1,0,0.90298694,
774,7,0,0,0.7898543,
321,2,1,0,0.74066335,
499,1,0,0,0.9323456,
708,2,0,0,0.88780695,
231,1,0,1,0.68834966,
411,2,1,0,0.5986843,
165,1,1,0,0.552963,
28,1,0,0,0.939303,
743,1,0,0,0.9567066,
236,1,1,0,0.7646094,
345,5,1,1,0.61705273,
19,1,0,0,0.9197439,
46,4,0,0,0.95064247,
145,1,0,0,0.9445509,
745,2,0,1,0.76436985,
192,1,0,0,0.9410196,
46,5,0,0,0.7525175,
349,3,0,1,0.5007849,
47,5,0,0,0.9254468,
515,2,0,0,0.936225,
819,2,0,0,0.94739795,
341,3,0,0,0.94180584,
537,1,1,0,0.51182276,
442,3,0,0,0.82197464,
343,2,1,1,0.82876,
397,7,1,0,0.5571356,
235,1,1,0,0.7661473,
434,1,0,0,0.8028146,
510,1,0,0,0.92424065,
56,1,0,0,0.94590074,
591,1,0,0,0.8987034,
707,2,0,0,0.90002555,
469,4,0,0,0.900357,
419,3,0,0,0.95050955,
563,2,1,0,0.74417627,
426,1,0,0,0.93413574,
405,1,0,0,0.5704881,
414,1,0,0,0.6205127,
759,1,0,0,0.79344404,
614,1,0,0,0.83781326,
296,1,0,0,0.9012908,
588,3,0,0,0.94192594,
627,1,0,0,0.92835957,
522,1,0,0,0.9353842,
654,4,1,0,0.9006558,
491,1,0,0,0.9513194,
420,1,0,0,0.9333583,
225,1,1,1,0.7328967,
632,2,1,0,0.90138066,
683,1,1,0,0.6029864,
387,1,0,0,0.6955776,
280,1,1,0,0.85460013,
786,7,0,0,0.9570917,
339,4,1,0,0.5861735,
115,1,0,0,0.94701886,
118,1,0,0,0.61119086,
338,1,1,0,0.65331,
707,4,0,0,0.9404931,
771,2,1,0,0.51861596,
79,2,0,0,0.76264936,
481,3,0,0,0.91877615,
445,2,0,0,0.9504504,
139,1,0,0,0.74736494,
72,1,0,0,0.94461095,
485,1,1,1,0.7964006,
381,1,1,1,0.84683347,
287,1,0,0,0.9551674,
318,9,0,0,0.9091757,
645,2,0,0,0.82049924,
164,2,1,1,0.76704097,
96,1,0,0,0.83704776,
431,1,1,1,0.5404637,
164,5,0,1,0.5460833,
592,1,0,0,0.8893463,
32,3,0,0,0.87281305,
735,1,0,0,0.9009849,
822,2,0,0,0.9433114,
519,1,0,0,0.9335003,
279,4,0,0,0.90618217,
255,1,0,0,0.94673073,
577,1,0,0,0.94503695,
466,2,0,0,0.5939538,
553,1,0,0,0.9372179,
502,3,1,0,0.74578893,
668,2,0,0,0.94489974,
350,1,0,0,0.9533298,
263,1,1,1,0.79981005,
753,1,0,0,0.8206606,
461,1,0,0,0.9005012,
455,2,0,0,0.9190737,
110,1,0,0,0.9535863,
786,6,1,1,0.8500444,
149,2,1,1,0.8248349,
463,2,1,1,0.61516494,
661,1,0,0,0.8880763,
353,6,0,0,0.85079086,
295,3,0,0,0.84697074,
198,2,0,0,0.73900855,
486,2,0,0,0.9350572,
280,2,1,0,0.5604066,
530,2,0,0,0.9424376,
438,1,0,0,0.6746,
251,1,0,0,0.9537753,
674,1,0,0,0.94971204,
293,1,0,0,0.9438667,
740,2,0,0,0.79855365,
805,1,1,1,0.6730894,
383,1,0,0,0.9537731,
493,1,0,0,0.8812985,
413,1,0,0,0.57279116,
339,3,1,1,0.65127313,
821,3,0,0,0.9400081,
713,4,1,0,0.895575,
667,2,0,0,0.9457527,
753,3,1,0,0.8372549,
333,1,0,0,0.9190657,
576,1,1,1,0.5815598,
429,1,0,0,0.9217256,
253,3,0,0,0.5024987,
746,2,0,0,0.91672647,
145,4,0,0,0.945918,
763,3,0,0,0.81837004,
196,1,0,0,0.87503856,
439,1,0,0,0.9343025,
121,1,0,1,0.8135113,
774,4,0,0,0.87407416,
730,1,0,0,0.9530891,
106,1,0,0,0.794525,
740,1,0,0,0.74887294,
637,1,0,0,0.9542175,
30,1,0,0,0.9023479,
653,1,0,0,0.9468295,
648,1,0,0,0.9198861,
200,1,1,1,0.8236493,
398,1,0,0,0.64748865,
270,1,1,0,0.81722206,
687,1,0,0,0.9322288,
660,2,0,0,0.93247026,
592,2,1,1,0.8945837,
318,18,1,0,0.74699783,
354,2,0,1,0.50665975,
317,2,1,1,0.67955285,
53,2,0,0,0.9534905,
497,2,0,0,0.9124844,
411,1,1,0,0.75156343,
260,1,0,0,0.94926924,
259,1,1,0,0.8207083,
38,3,0,1,0.5142085,
621,1,0,0,0.8723858,
365,1,0,0,0.79143536,
209,1,0,0,0.89108074,
702,3,1,0,0.6274695,
39,2,0,0,0.8938702,
697,2,0,0,0.5440511,
178,1,0,1,0.64200133,
402,2,0,0,0.9363411,
632,3,0,0,0.9466775,
301,1,0,0,0.77624184,
341,1,1,1,0.60026073,
421,1,0,0,0.9170763,
243,6,0,0,0.62301505,
252,5,0,0,0.9530968,
606,1,0,0,0.82323605,
149,3,0,0,0.6429008,
667,1,0,0,0.93639475,
820,5,0,0,0.8905747,
542,1,0,1,0.5512472,
608,1,0,0,0.5740605,
488,1,0,0,0.9538038,
404,4,1,0,0.8097243,
817,1,1,0,0.5816911,
787,6,0,0,0.94256204,
785,1,0,1,0.6425407,
177,1,0,0,0.8529468,
799,2,0,0,0.94878954,
676,1,1,0,0.8788571,
412,6,0,0,0.9186909,
469,2,1,0,0.9280405,
327,4,0,0,0.83834714,
89,1,0,0,0.8390543,
554,1,0,0,0.93822974,
280,6,0,0,0.9539564,
40,2,0,0,0.9060715,
566,1,0,0,0.6415583,
782,1,1,1,0.5710017,
245,2,0,0,0.8630454,
27,1,0,0,0.70491886,
614,2,0,0,0.9470561,
111,1,0,0,0.9340629,
50,3,0,0,0.7561995,
656,1,0,0,0.92395747,
602,1,1,0,0.851224,
