comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.2911162
321,3,0,0,0.2689,0.072899826
819,1,1,1,0.9526,0.8678781
746,1,0,0,0.0474,0.09332514
397,8,1,0,0.9526,0.48217383
397,2,0,0,0.0474,0.061679017
264,17,1,0,0.9526,0.22860545
85,1,0,0,0.0474,0.38971525
202,2,1,0,0.9526,0.13323542
282,1,0,0,0.0474,0.23210385
339,6,1,1,0.9526,0.62129176
264,9,0,0,0.0474,0.15964033
628,1,0,0,0.0474,0.07090001
559,1,0,0,0.0474,0.074648984
121,2,1,1,0.9526,0.9447541
342,4,0,0,0.0474,0.092990905
791,1,0,0,0.0474,0.06410226
662,1,0,0,0.2689,0.22435376
578,1,1,0,0.9526,0.26586422
250,10,0,0,0.0474,0.13097979
560,4,1,1,0.9526,0.93478453
250,11,0,1,0.0474,0.5304958
190,3,1,1,0.9526,0.9137592
616,2,0,0,0.2689,0.48422208
48,1,1,1,0.9526,0.9343411
50,1,0,0,0.0474,0.08866554
685,1,0,0,0.0474,0.04116079
174,1,0,0,0.0474,0.055045195
244,2,1,1,0.9526,0.8524021
622,1,0,0,0.0474,0.27147886
354,5,0,1,0.0474,0.5393698
164,3,0,1,0.0474,0.8748618
663,1,0,0,0.0474,0.05944151
725,1,0,0,0.0474,0.14137578
647,2,0,0,0.0474,0.06290719
507,3,0,0,0.0474,0.23743694
237,1,1,0,0.9526,0.078958556
553,2,0,0,0.2689,0.0664763
253,4,0,0,0.0474,0.32250875
518,1,0,1,0.2689,0.9903839
693,3,0,0,0.0474,0.3141902
714,1,0,0,0.0474,0.072118536
284,1,0,0,0.2689,0.16378744
760,2,0,1,0.2689,0.80495197
606,2,0,0,0.2689,0.33248988
780,1,0,0,0.2689,0.3052295
121,4,0,0,0.0474,0.48938778
250,2,0,0,0.0474,0.24890791
307,3,0,1,0.2689,0.725645
604,5,1,1,0.9526,0.9306362
250,9,0,0,0.0474,0.10412423
250,14,0,0,0.0474,0.19560108
264,3,0,0,0.0474,0.08585151
680,1,0,0,0.0474,0.07078718
366,5,0,0,0.0474,0.10585137
524,1,0,1,0.0474,0.56696695
32,5,0,0,0.0474,0.2459465
741,3,1,1,0.9526,0.56158835
267,1,1,1,0.9526,0.75854975
362,1,0,1,0.0474,0.93838805
267,2,0,1,0.0474,0.6246769
11,2,0,0,0.0474,0.1581702
179,1,0,0,0.0474,0.07651307
210,1,0,1,0.0474,0.60679793
377,1,0,0,0.0474,0.150487
468,1,0,0,0.0474,0.056515776
794,2,1,1,0.9526,0.8267112
692,1,0,0,0.2689,0.09069668
103,1,0,0,0.0474,0.08617729
63,1,1,1,0.9526,0.87827903
229,1,0,1,0.0474,0.5878898
110,3,0,0,0.0474,0.030022167
390,6,0,1,0.0474,1.0126902
34,3,0,0,0.0474,0.4112228
778,3,0,0,0.0474,0.07480022
118,3,0,0,0.2689,0.42990655
781,3,0,1,0.2689,0.6187934
528,2,0,0,0.2689,0.29929152
264,12,0,0,0.0474,0.23104003
412,4,0,0,0.2689,0.41661742
598,2,0,0,0.2689,0.061015524
718,2,0,0,0.0474,0.099231035
127,1,0,0,0.0474,0.08852805
188,1,0,0,0.0474,0.07739541
666,1,0,0,0.2689,0.2048604
318,11,1,1,0.9526,0.64056396
288,1,0,0,0.0474,0.16541262
162,1,0,0,0.0474,0.44077906
8,1,0,0,0.0474,0.048347764
412,7,1,1,0.9526,0.74271995
824,4,1,1,0.9526,0.567849
561,1,1,0,0.9526,0.31950644
539,1,0,0,0.0474,0.47605374
816,1,0,0,0.0474,0.17129377
584,1,0,0,0.0474,0.06250091
419,1,0,0,0.2689,0.07687154
764,1,1,1,0.9526,0.934666
353,3,0,0,0.0474,0.14705992
433,1,0,0,0.0474,0.03415856
762,1,1,1,0.9526,0.8634732
250,13,0,0,0.0474,0.42012164
288,2,0,0,0.0474,0.27976635
327,1,0,0,0.0474,0.22751024
264,22,0,0,0.0474,0.310036
190,2,0,0,0.2689,0.07628028
229,2,0,0,0.0474,0.12814929
583,1,0,0,0.0474,0.048098676
632,7,1,1,0.9526,0.92244285
797,2,0,0,0.2689,0.17658855
675,1,0,1,0.2689,0.5162032
109,2,0,0,0.0474,0.30313244
331,1,1,1,0.9526,0.9709925
501,6,0,0,0.0474,0.08334262
323,1,0,0,0.0474,0.31519958
613,1,1,1,0.9526,0.8607169
570,2,1,1,0.9526,0.7238373
710,3,1,0,0.9526,0.06846503
318,17,1,0,0.9526,0.37700513
297,2,0,0,0.0474,0.18975194
622,4,0,0,0.0474,0.14143893
288,5,0,0,0.2689,0.07038701
299,5,0,0,0.0474,0.060103282
290,2,0,0,0.2689,0.08721036
51,1,0,0,0.0474,0.078882545
372,1,0,0,0.0474,0.28414172
313,1,0,0,0.0474,0.06627405
150,2,1,0,0.9526,0.22453848
264,18,0,0,0.0474,0.18538712
740,3,0,0,0.0474,0.14780095
659,2,1,1,0.9526,0.59474576
210,2,0,0,0.0474,0.2089714
191,1,0,0,0.0474,0.043787032
185,1,0,1,0.0474,0.6570696
468,2,1,1,0.9526,0.61455715
169,1,1,0,0.9526,0.090442166
701,1,0,0,0.2689,0.085790396
588,2,1,0,0.9526,0.09187345
264,1,0,0,0.0474,0.23816738
774,9,0,0,0.0474,0.07130385
130,1,0,0,0.2689,0.17200856
699,1,0,0,0.0474,0.07972096
369,3,0,0,0.0474,0.37755772
55,1,0,0,0.0474,0.14980727
339,1,1,0,0.9526,0.37802574
201,1,1,1,0.9526,0.93188506
22,2,0,0,0.0474,0.26166952
280,3,1,0,0.9526,0.21177912
257,3,1,0,0.9526,0.47459632
477,1,0,0,0.0474,0.027281126
95,3,0,0,0.0474,0.078903124
145,2,1,0,0.9526,0.123793155
618,4,0,0,0.0474,0.1888506
265,1,0,0,0.0474,0.14382908
641,1,0,0,0.0474,0.0693358
755,1,1,0,0.9526,0.41829273
759,2,0,0,0.0474,0.14856717
157,1,0,0,0.0474,0.06332718
811,2,1,1,0.9526,0.89364976
793,3,1,0,0.9526,0.2855341
37,3,1,1,0.9526,0.6770691
264,8,0,0,0.2689,0.23832923
596,2,0,0,0.0474,0.07493293
374,1,0,0,0.0474,0.07373888
35,1,1,1,0.9526,0.52851087
321,1,0,0,0.0474,0.14857791
34,2,0,0,0.0474,0.12491599
79,1,0,0,0.0474,0.25913057
322,4,0,0,0.2689,0.32141957
273,4,1,0,0.9526,0.21814106
397,6,0,0,0.0474,0.11181578
235,2,0,0,0.0474,0.063443914
228,1,0,0,0.0474,0.05709076
490,1,1,0,0.9526,0.12786214
814,4,1,0,0.9526,0.07185807
