comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.7355673,1.4118279218673706
321,3,0,0,0.9576395,
819,1,1,1,0.86216116,
746,1,0,0,0.8204897,
397,8,1,0,0.6883111,
397,2,0,0,0.92177004,
264,17,1,0,0.5827801,
85,1,0,0,0.73096025,
202,2,1,0,0.8583452,
282,1,0,0,0.83425677,
339,6,1,0,0.51971424,
264,9,0,0,0.9159168,
628,1,0,0,0.9415016,
559,1,0,0,0.89695436,
121,2,1,1,0.85219,
342,4,0,0,0.87452537,
791,1,0,0,0.9178085,
662,1,0,0,0.90845054,
578,1,1,0,0.7987866,
250,10,0,0,0.8072818,
560,4,1,1,0.8612543,
250,11,0,0,0.7970058,
190,3,1,1,0.68468606,
616,2,0,0,0.6045547,
48,1,1,1,0.75736773,
50,1,0,0,0.91199195,
685,1,0,0,0.9573372,
174,1,0,0,0.94516385,
244,2,1,1,0.61733806,
622,1,0,0,0.9247863,
354,5,0,0,0.6404658,
164,3,0,1,0.7291325,
663,1,0,0,0.9497015,
725,1,0,0,0.94439006,
647,2,0,0,0.91904855,
507,3,0,0,0.84788126,
237,1,1,0,0.8609617,
553,2,0,0,0.9282191,
253,4,0,0,0.76878506,
518,1,0,1,0.7380864,
693,3,0,0,0.68015325,
714,1,0,0,0.92926717,
284,1,0,0,0.88378286,
760,2,0,0,0.5098562,
606,2,0,0,0.75032485,
780,1,0,0,0.90941936,
121,4,0,0,0.8637896,
250,2,0,0,0.91246825,
307,3,0,0,0.51971525,
604,5,1,1,0.87010264,
250,9,0,0,0.8826255,
250,14,0,0,0.8663764,
264,3,0,0,0.95443517,
680,1,0,0,0.8838285,
366,5,0,0,0.9256154,
524,1,0,0,0.65090233,
32,5,0,0,0.8123563,
741,3,1,0,0.7126447,
267,1,1,0,0.5949392,
362,1,0,1,0.70622617,
267,2,0,1,0.57125205,
11,2,0,0,0.8335066,
179,1,0,0,0.9227501,
210,1,0,0,0.63796896,
377,1,0,0,0.8369358,
468,1,0,0,0.95059013,
794,2,1,1,0.83364344,
692,1,0,0,0.8997872,
103,1,0,0,0.9005113,
63,1,1,1,0.7686507,
229,1,0,0,0.65642256,
110,3,0,0,0.9076362,
390,6,0,0,0.81393373,
34,3,0,0,0.6358451,
778,3,0,0,0.9234214,
118,3,0,0,0.6383988,
781,3,0,0,0.68233,
528,2,0,0,0.8389597,
264,12,0,0,0.73858726,
412,4,0,0,0.88031167,
598,2,0,0,0.9431354,
718,2,0,0,0.88272053,
127,1,0,0,0.886992,
188,1,0,0,0.859738,
666,1,0,0,0.7906501,
318,11,1,0,0.6387268,
288,1,0,0,0.92946887,
162,1,0,0,0.9328241,
8,1,0,0,0.8780015,
412,7,1,1,0.6814763,
824,4,1,0,0.85292405,
561,1,1,0,0.59860927,
539,1,0,1,0.5612172,
816,1,0,0,0.8363225,
584,1,0,0,0.8886349,
419,1,0,0,0.89892477,
764,1,1,1,0.8338138,
353,3,0,0,0.89573336,
433,1,0,0,0.9592396,
762,1,1,1,0.6212772,
250,13,0,0,0.73040414,
288,2,0,0,0.8493308,
327,1,0,0,0.9541004,
264,22,0,0,0.92126846,
190,2,0,0,0.9422876,
229,2,0,0,0.8469179,
583,1,0,0,0.93812406,
632,7,1,1,0.86603034,
797,2,0,0,0.5952064,
675,1,0,0,0.50962216,
109,2,0,0,0.91380376,
331,1,1,1,0.62917566,
501,6,0,0,0.93933195,
323,1,0,0,0.6508258,
613,1,1,1,0.77051574,
570,2,1,0,0.57645684,
710,3,1,0,0.89096886,
318,17,1,1,0.5558411,
297,2,0,0,0.8564309,
622,4,0,0,0.7881783,
288,5,0,0,0.94559246,
299,5,0,0,0.9459628,
290,2,0,0,0.8925058,
51,1,0,0,0.9514271,
372,1,0,0,0.84625614,
313,1,0,0,0.94686985,
150,2,1,0,0.6142889,
264,18,0,0,0.94562954,
740,3,0,0,0.8923246,
659,2,1,1,0.7972345,
210,2,0,0,0.821395,
191,1,0,0,0.95616746,
185,1,0,0,0.650285,
468,2,1,0,0.8364253,
169,1,1,0,0.7340525,
701,1,0,0,0.9352992,
588,2,1,0,0.8853628,
264,1,0,0,0.9053246,
774,9,0,0,0.9376299,
130,1,0,0,0.8273221,
699,1,0,0,0.92216676,
369,3,0,0,0.8036372,
55,1,0,0,0.8299129,
339,1,1,0,0.83960426,
201,1,1,1,0.7550093,
22,2,0,0,0.7317249,
280,3,1,0,0.7121303,
257,3,1,0,0.718932,
477,1,0,0,0.94977915,
95,3,0,0,0.953964,
145,2,1,0,0.79815453,
618,4,0,0,0.6335122,
265,1,0,0,0.87071204,
641,1,0,0,0.95369375,
755,1,1,0,0.6378699,
759,2,0,0,0.86011463,
157,1,0,0,0.89203966,
811,2,1,0,0.69482267,
793,3,1,0,0.859134,
37,3,1,0,0.6901796,
264,8,0,0,0.8976061,
596,2,0,0,0.86990196,
374,1,0,0,0.94667387,
35,1,1,0,0.7474879,
321,1,0,0,0.94499,
34,2,0,0,0.89923394,
79,1,0,0,0.9201856,
322,4,0,0,0.75605124,
273,4,1,0,0.7919922,
397,6,0,0,0.9289897,
235,2,0,0,0.95034784,
228,1,0,0,0.9404483,
490,1,1,0,0.8995282,
814,4,1,0,0.8991701,
465,2,0,0,0.87247753,
265,2,0,0,0.94284445,
453,7,0,0,0.9460887,
311,5,1,0,0.6345784,
37,1,0,1,0.5533046,
693,1,1,0,0.8914676,
290,4,0,0,0.82886606,
608,2,1,1,0.8331144,
487,4,0,0,0.89303803,
571,1,0,0,0.9411129,
419,2,0,0,0.74067116,
498,3,0,0,0.9365223,
787,2,0,1,0.69158614,
202,1,0,0,0.94574344,
484,2,0,0,0.54263455,
784,1,0,0,0.78152597,
493,5,0,0,0.8160307,
12,1,0,0,0.77441734,
506,1,1,0,0.5981791,
719,1,1,1,0.8194994,
562,1,1,1,0.6885723,
525,2,0,0,0.91980976,
664,1,0,0,0.94406736,
459,2,0,0,0.79332155,
632,6,1,1,0.73989433,
640,2,0,0,0.95114565,
46,3,0,0,0.9426842,
297,1,0,0,0.7711385,
494,4,1,1,0.68082327,
143,1,1,1,0.85652834,
432,3,0,0,0.9316454,
697,1,1,0,0.6346461,
708,1,0,0,0.7775306,
83,1,0,0,0.94960886,
664,3,0,0,0.95167446,
108,1,1,1,0.65755385,
355,3,0,0,0.9229878,
412,1,0,0,0.88218915,
790,1,0,0,0.9328287,
515,1,0,0,0.88670117,
655,3,0,0,0.94160515,
361,3,0,0,0.5713686,
129,1,0,0,0.9452023,
371,1,0,0,0.9398378,
13,1,0,1,0.5275178,
607,1,1,1,0.81097186,
703,1,1,1,0.5563697,
354,4,0,0,0.86648184,
247,3,0,1,0.640226,
389,2,0,1,0.56365234,
410,2,0,0,0.95580226,
390,1,0,0,0.91751885,
94,1,0,0,0.9252493,
264,4,0,0,0.86102974,
437,1,1,0,0.5551614,
373,3,0,0,0.95170146,
516,1,0,0,0.9060447,
20,1,0,0,0.9496683,
638,1,0,0,0.92070794,
283,1,0,0,0.93283933,
624,1,0,1,0.56964415,
