comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.73917156,1.186138391494751
321,3,0,0,0.9770947,
819,1,1,1,0.87800634,
746,1,0,0,0.9150381,
397,8,1,1,0.81803364,
397,2,0,0,0.9549695,
264,17,1,1,0.715807,
85,1,0,0,0.66137904,
202,2,1,0,0.8106279,
282,1,0,0,0.9655597,
339,6,1,1,0.70926464,
264,9,0,0,0.8631168,
628,1,0,0,0.9603802,
559,1,0,0,0.87669,
121,2,1,1,0.86408466,
342,4,0,0,0.885439,
791,1,0,0,0.8566358,
662,1,0,0,0.8939381,
578,1,1,0,0.87980413,
250,10,0,0,0.71567166,
560,4,1,1,0.91655266,
250,11,0,0,0.600155,
190,3,1,1,0.73758286,
616,2,0,1,0.76726866,
48,1,1,1,0.8627878,
50,1,0,0,0.9470136,
685,1,0,0,0.9729241,
174,1,0,0,0.96041185,
244,2,1,1,0.78924376,
622,1,0,0,0.96733755,
354,5,0,0,0.8147927,
164,3,0,1,0.8825827,
663,1,0,0,0.95541406,
725,1,0,0,0.97105443,
647,2,0,0,0.9635795,
507,3,0,0,0.7122553,
237,1,1,0,0.6927283,
553,2,0,0,0.9640765,
253,4,0,1,0.6237586,
518,1,0,1,0.8147887,
693,3,0,0,0.6858348,
714,1,0,0,0.9635754,
284,1,0,0,0.9342372,
760,2,0,0,0.55044305,
606,2,0,1,0.6282456,
780,1,0,0,0.9249895,
121,4,0,0,0.7538958,
250,2,0,0,0.9163407,
307,3,0,0,0.5273595,
604,5,1,1,0.8220447,
250,9,0,0,0.9429099,
250,14,0,0,0.8816135,
264,3,0,0,0.97305894,
680,1,0,0,0.69963866,
366,5,0,0,0.8737536,
524,1,0,0,0.5166709,
32,5,0,0,0.7144523,
741,3,1,1,0.8356072,
267,1,1,1,0.57099086,
362,1,0,1,0.8512836,
267,2,0,1,0.8401158,
11,2,0,0,0.5965626,
179,1,0,0,0.8651759,
210,1,0,1,0.5262666,
377,1,0,0,0.51931834,
468,1,0,0,0.97475207,
794,2,1,1,0.9274378,
692,1,0,0,0.94896126,
103,1,0,0,0.90963507,
63,1,1,1,0.8865934,
229,1,0,1,0.6673956,
110,3,0,0,0.9369099,
390,6,0,1,0.75119483,
34,3,0,1,0.5556981,
778,3,0,0,0.9712525,
118,3,0,1,0.60409236,
781,3,0,0,0.71848637,
528,2,0,0,0.8241532,
