comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.8063692,1.1904165744781494
321,3,0,0,0.9615718,
819,1,1,1,0.9003305,
746,1,0,0,0.618964,
397,8,1,0,0.73536384,
397,2,0,0,0.9371509,
264,17,1,1,0.90152836,
85,1,0,1,0.59422106,
202,2,1,0,0.87075317,
282,1,0,0,0.92364985,
339,6,1,1,0.6028711,
264,9,0,0,0.8898589,
628,1,0,0,0.9434829,
559,1,0,0,0.87252927,
121,2,1,1,0.8956929,
342,4,0,0,0.5953087,
791,1,0,0,0.91333765,
662,1,0,0,0.75290555,
578,1,1,0,0.6784979,
250,10,0,1,0.61978346,
560,4,1,1,0.904428,
250,11,0,1,0.54040295,
190,3,1,1,0.8560765,
616,2,0,1,0.80556965,
48,1,1,1,0.73235554,
50,1,0,0,0.8662516,
685,1,0,0,0.95316535,
174,1,0,0,0.92343724,
244,2,1,1,0.8605177,
622,1,0,0,0.9366034,
354,5,0,1,0.63388103,
164,3,0,1,0.89426947,
663,1,0,0,0.92575425,
725,1,0,0,0.9292083,
647,2,0,0,0.5570214,
507,3,0,0,0.5011948,
237,1,1,0,0.894588,
553,2,0,0,0.927634,
253,4,0,1,0.8105051,
518,1,0,1,0.6618666,
693,3,0,1,0.65754586,
714,1,0,0,0.895941,
284,1,0,0,0.8507712,
760,2,0,0,0.6714887,
606,2,0,1,0.5034192,
780,1,0,0,0.88594806,
121,4,0,0,0.8030544,
250,2,0,0,0.7211117,
307,3,0,1,0.74839,
604,5,1,1,0.8439247,
250,9,0,0,0.68716615,
250,14,0,1,0.5988576,
264,3,0,0,0.9611302,
680,1,0,0,0.9339904,
366,5,0,0,0.791724,
524,1,0,1,0.8292009,
32,5,0,0,0.5911545,
741,3,1,1,0.7248186,
267,1,1,1,0.69006985,
362,1,0,1,0.86355513,
267,2,0,1,0.7896751,
11,2,0,1,0.5351259,
179,1,0,0,0.8773614,
210,1,0,1,0.57351583,
377,1,0,0,0.5083997,
468,1,0,0,0.95597315,
794,2,1,1,0.90062046,
692,1,0,0,0.83730227,
103,1,0,0,0.7562781,
63,1,1,1,0.858185,
229,1,0,1,0.69995356,
110,3,0,0,0.85965145,
390,6,0,1,0.7620672,
34,3,0,0,0.67493486,
778,3,0,0,0.9316694,
118,3,0,0,0.50741804,
781,3,0,1,0.72853833,
528,2,0,0,0.71783465,
264,12,0,0,0.5584943,
412,4,0,0,0.7468483,
598,2,0,0,0.9319984,
718,2,0,0,0.82317877,
127,1,0,0,0.8229163,
188,1,0,0,0.92971504,
666,1,0,0,0.67685294,
318,11,1,1,0.69952583,
288,1,0,0,0.898822,
162,1,0,0,0.85637975,
8,1,0,1,0.56661963,
412,7,1,1,0.84674567,
824,4,1,1,0.65800345,
561,1,1,1,0.67784584,
539,1,0,1,0.7413678,
816,1,0,0,0.5244581,
584,1,0,0,0.5762381,
419,1,0,0,0.91970843,
764,1,1,1,0.8685578,
353,3,0,0,0.70054114,
433,1,0,0,0.9539154,
762,1,1,1,0.89585346,
250,13,0,1,0.66890514,
288,2,0,0,0.5642211,
327,1,0,0,0.9549731,
264,22,0,0,0.83767825,
190,2,0,0,0.8898549,
229,2,0,0,0.7762811,
583,1,0,0,0.8985502,
632,7,1,1,0.8988543,
797,2,0,1,0.75054705,
675,1,0,1,0.7027406,
109,2,0,1,0.64208657,
331,1,1,1,0.71654415,
501,6,0,0,0.9383393,
323,1,0,0,0.5415491,
613,1,1,1,0.8078844,
570,2,1,1,0.79725707,
710,3,1,0,0.9255664,
318,17,1,1,0.7466111,
297,2,0,1,0.72667277,
622,4,0,1,0.689636,
288,5,0,0,0.8454486,
299,5,0,0,0.9367308,
290,2,0,0,0.676815,
51,1,0,0,0.9502886,
372,1,0,0,0.61686945,
313,1,0,0,0.91959023,
150,2,1,1,0.568968,
264,18,0,0,0.94769067,
740,3,0,0,0.7816785,
659,2,1,1,0.87199974,
210,2,0,0,0.8085263,
191,1,0,0,0.9596171,
185,1,0,1,0.73380697,
468,2,1,1,0.56173795,
169,1,1,0,0.69841856,
701,1,0,0,0.9269902,
588,2,1,0,0.8544173,
264,1,0,0,0.864209,
774,9,0,0,0.94084555,
130,1,0,1,0.7567149,
699,1,0,0,0.921525,
369,3,0,0,0.6160026,
55,1,0,0,0.86558837,
339,1,1,0,0.7843484,
201,1,1,1,0.90163845,
22,2,0,0,0.54427236,
280,3,1,1,0.6229815,
257,3,1,0,0.58794016,
477,1,0,0,0.93886673,
95,3,0,0,0.9440732,
145,2,1,1,0.6641745,
618,4,0,1,0.6959795,
265,1,0,0,0.92369556,
641,1,0,0,0.94098264,
755,1,1,1,0.6967576,
759,2,0,1,0.7034123,
157,1,0,0,0.75038344,
811,2,1,1,0.80220836,
793,3,1,0,0.78362983,
37,3,1,0,0.81464785,
264,8,0,1,0.5156032,
596,2,0,0,0.6801125,
374,1,0,0,0.9448674,
35,1,1,1,0.80131924,
321,1,0,0,0.95767343,
34,2,0,0,0.86622673,
79,1,0,0,0.9411616,
322,4,0,0,0.73753846,
273,4,1,0,0.8264462,
397,6,0,0,0.9202163,
235,2,0,0,0.94936746,
228,1,0,0,0.9139732,
490,1,1,0,0.7762326,
814,4,1,1,0.52185297,
465,2,0,0,0.8764845,
265,2,0,0,0.94255656,
453,7,0,0,0.94516426,
311,5,1,1,0.78292227,
37,1,0,1,0.8098476,
