comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.15569569
321,3,0,0,0.2689,0.055252597
819,1,1,1,0.9526,0.8342851
746,1,0,0,0.0474,0.15045673
397,8,1,1,0.9526,0.76364154
397,2,0,0,0.0474,0.07382741
264,17,1,0,0.9526,0.3473497
85,1,0,0,0.0474,0.13336028
202,2,1,0,0.9526,0.06296766
282,1,0,0,0.0474,0.11435607
339,6,1,1,0.9526,0.91621464
264,9,0,0,0.0474,0.06824809
628,1,0,0,0.0474,0.05763839
559,1,0,0,0.0474,0.042934865
121,2,1,1,0.9526,0.97360474
342,4,0,0,0.0474,0.15574393
791,1,0,0,0.0474,0.04967369
662,1,0,0,0.2689,0.15221807
578,1,1,0,0.9526,0.051538263
250,10,0,0,0.0474,0.21524361
560,4,1,1,0.9526,0.9662729
250,11,0,0,0.0474,0.37064633
190,3,1,1,0.9526,0.84523207
616,2,0,1,0.2689,0.9379579
48,1,1,1,0.9526,0.9550307
50,1,0,0,0.0474,0.16538283
685,1,0,0,0.0474,0.03987055
174,1,0,0,0.0474,-0.016024293
244,2,1,1,0.9526,0.90141255
622,1,0,0,0.0474,0.028347606
354,5,0,1,0.0474,0.5463075
164,3,0,1,0.0474,0.98922217
663,1,0,0,0.0474,0.04176223
725,1,0,0,0.0474,0.06083833
647,2,0,0,0.0474,0.009375385
507,3,0,0,0.0474,0.44469017
237,1,1,0,0.9526,0.47865164
553,2,0,0,0.2689,0.0474354
253,4,0,1,0.0474,0.72316206
518,1,0,1,0.2689,0.9444925
693,3,0,0,0.0474,0.24256453
714,1,0,0,0.0474,0.08142987
284,1,0,0,0.2689,0.13152067
760,2,0,0,0.2689,0.37147915
606,2,0,0,0.2689,0.3259452
780,1,0,0,0.2689,0.31831592
121,4,0,0,0.0474,0.23829192
250,2,0,0,0.0474,0.19292298
307,3,0,1,0.2689,0.80679053
604,5,1,1,0.9526,0.7160455
250,9,0,0,0.0474,0.045006156
250,14,0,0,0.0474,0.17955536
264,3,0,0,0.0474,0.07115683
680,1,0,0,0.0474,0.12257148
366,5,0,0,0.0474,0.23947984
524,1,0,1,0.0474,0.73712325
32,5,0,0,0.0474,0.19756326
741,3,1,1,0.9526,0.7566748
267,1,1,1,0.9526,0.73056394
362,1,0,1,0.0474,0.8691717
267,2,0,1,0.0474,0.7273168
11,2,0,1,0.0474,0.911861
179,1,0,0,0.0474,0.1602357
210,1,0,0,0.0474,0.33579314
377,1,0,0,0.0474,0.23334475
468,1,0,0,0.0474,0.070733644
794,2,1,1,0.9526,0.993407
692,1,0,0,0.2689,0.07884675
103,1,0,0,0.0474,0.020285593
63,1,1,1,0.9526,0.9993286
229,1,0,1,0.0474,0.6448421
110,3,0,0,0.0474,0.0383286
390,6,0,0,0.0474,0.47217774
34,3,0,0,0.0474,0.32610467
778,3,0,0,0.0474,0.07378025
118,3,0,0,0.2689,0.33809412
781,3,0,0,0.2689,0.18261808
528,2,0,0,0.2689,0.23677011
264,12,0,0,0.0474,0.21752776
412,4,0,0,0.2689,0.3747231
598,2,0,0,0.2689,0.05088367
718,2,0,0,0.0474,0.2677433
127,1,0,0,0.0474,0.11706677
188,1,0,0,0.0474,0.099232115
666,1,0,0,0.2689,0.16376157
318,11,1,0,0.9526,0.4837553
288,1,0,0,0.0474,0.29166487
162,1,0,0,0.0474,0.13665375
8,1,0,0,0.0474,0.028238688
412,7,1,1,0.9526,0.8303632
824,4,1,1,0.9526,0.6552351
561,1,1,0,0.9526,0.35495022
539,1,0,0,0.0474,0.12067929
816,1,0,0,0.0474,0.100733325
584,1,0,0,0.0474,0.11597986
419,1,0,0,0.2689,0.06694494
764,1,1,1,0.9526,0.8539364
353,3,0,0,0.0474,0.20373318
433,1,0,0,0.0474,0.017433517
762,1,1,1,0.9526,0.8504679
250,13,0,0,0.0474,0.33297184
288,2,0,0,0.0474,0.3284518
327,1,0,0,0.0474,0.102308825
264,22,0,0,0.0474,0.089261234
190,2,0,0,0.2689,0.046544313
229,2,0,0,0.0474,0.12567425
583,1,0,0,0.0474,0.077893734
632,7,1,1,0.9526,0.88965064
797,2,0,1,0.2689,0.62107956
675,1,0,1,0.2689,0.60827327
109,2,0,0,0.0474,0.38324034
331,1,1,1,0.9526,0.86798877
501,6,0,0,0.0474,0.02216669
323,1,0,0,0.0474,0.28429258
613,1,1,1,0.9526,0.7932028
570,2,1,1,0.9526,0.73029774
710,3,1,0,0.9526,0.16440874
318,17,1,1,0.9526,0.77608943
297,2,0,1,0.0474,0.60659146
622,4,0,0,0.0474,0.312703
288,5,0,0,0.2689,0.11236355
299,5,0,0,0.0474,0.059058182
290,2,0,0,0.2689,0.15118697
51,1,0,0,0.0474,0.10004869
372,1,0,0,0.0474,0.3363478
313,1,0,0,0.0474,0.16507335
150,2,1,0,0.9526,0.34098205
264,18,0,0,0.0474,0.20243382
740,3,0,0,0.0474,0.013803042
659,2,1,1,0.9526,0.6967729
210,2,0,0,0.0474,0.30112422
191,1,0,0,0.0474,0.038792558
185,1,0,1,0.0474,0.72166747
468,2,1,0,0.9526,0.30363092
169,1,1,0,0.9526,0.119835086
701,1,0,0,0.2689,0.078441426
588,2,1,0,0.9526,0.039497633
264,1,0,0,0.0474,0.23276582
774,9,0,0,0.0474,0.006612993
130,1,0,1,0.2689,0.5480966
699,1,0,0,0.0474,0.09289528
369,3,0,0,0.0474,0.3081255
55,1,0,0,0.0474,0.22823146
339,1,1,1,0.9526,0.61288315
201,1,1,1,0.9526,1.0608217
22,2,0,0,0.0474,0.36087775
280,3,1,1,0.9526,0.62871
257,3,1,0,0.9526,0.32233563
477,1,0,0,0.0474,0.062914416
95,3,0,0,0.0474,0.063496724
145,2,1,0,0.9526,0.25902197
618,4,0,0,0.0474,0.27638713
265,1,0,0,0.0474,0.12181625
641,1,0,0,0.0474,0.04299773
755,1,1,1,0.9526,0.50605124
759,2,0,0,0.0474,0.14881313
157,1,0,0,0.0474,0.096311584
811,2,1,1,0.9526,0.84433794
793,3,1,0,0.9526,0.078648515
37,3,1,1,0.9526,0.5638256
264,8,0,1,0.2689,0.5205966
596,2,0,0,0.0474,0.22366565
374,1,0,0,0.0474,0.20606017
35,1,1,1,0.9526,0.73584074
321,1,0,0,0.0474,0.28293157
34,2,0,0,0.0474,0.050235547
79,1,0,0,0.0474,0.25594836
322,4,0,0,0.2689,0.24119505
273,4,1,1,0.9526,0.5554508
397,6,0,0,0.0474,0.06490376
235,2,0,0,0.0474,0.037050564
228,1,0,0,0.0474,0.054738373
490,1,1,0,0.9526,0.119395666
814,4,1,0,0.9526,0.13403447
465,2,0,0,0.2689,0.26942527
265,2,0,0,0.0474,0.0503511
453,7,0,0,0.0474,0.056265727
311,5,1,1,0.9526,0.7048499
37,1,0,1,0.2689,0.8123476
693,1,1,0,0.9526,0.22631186
290,4,0,0,0.2689,0.35353565
608,2,1,1,0.9526,0.9330678
487,4,0,0,0.0474,0.20340075
571,1,0,0,0.2689,0.10542123
419,2,0,0,0.0474,0.12483367
498,3,0,0,0.0474,0.083204366
787,2,0,1,0.0474,0.8645274
202,1,0,0,0.0474,0.122833304
484,2,0,1,0.0474,0.6929508
784,1,0,0,0.2689,0.44065133
493,5,0,0,0.0474,0.47609147
12,1,0,0,0.0474,0.31585655
506,1,1,1,0.9526,0.7551901
719,1,1,1,0.9526,0.8572497
562,1,1,1,0.9526,0.65663457
525,2,0,0,0.0474,0.045709148
664,1,0,0,0.0474,0.008451807
459,2,0,0,0.0474,0.34740815
632,6,1,1,0.9526,0.7642229
640,2,0,0,0.0474,0.0022004647
46,3,0,0,0.0474,-0.032914825
297,1,0,1,0.0474,0.5578286
494,4,1,1,0.9526,0.9798431
143,1,1,1,0.9526,0.8038014
432,3,0,0,0.0474,0.064983696
697,1,1,0,0.9526,0.49042493
708,1,0,0,0.0474,0.30048436
83,1,0,0,0.0474,0.035122298
664,3,0,0,0.0474,0.025178188
108,1,1,1,0.9526,0.76570886
355,3,0,0,0.0474,0.04046951
412,1,0,0,0.0474,0.21680164
790,1,0,0,0.0474,0.083334655
515,1,0,0,0.2689,0.11271183
655,3,0,0,0.0474,0.08949533
361,3,0,1,0.0474,0.6308575
129,1,0,0,0.0474,0.037944283
371,1,0,0,0.0474,0.040532574
13,1,0,1,0.0474,0.89182115
607,1,1,1,0.9526,0.9499876
703,1,1,1,0.9526,0.5319844
354,4,0,0,0.0474,0.10996615
247,3,0,0,0.2689,0.4128396
389,2,0,1,0.0474,0.662251
410,2,0,0,0.0474,0.061619718
390,1,0,0,0.0474,0.33191848
94,1,0,0,0.0474,0.18580014
264,4,0,0,0.0474,0.4139301
437,1,1,1,0.9526,1.0633298
373,3,0,0,0.0474,0.032696806
516,1,0,0,0.2689,0.30391893
20,1,0,0,0.0474,0.04268798
638,1,0,0,0.0474,0.11356389
283,1,0,0,0.0474,0.044826545
