model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
all_ones,0.000,0.424,0.500,0.000,0.000,0.269,0.000,1.000,0.269,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all_zeros,0.844,0.000,0.500,0.000,0.731,0.000,1.000,0.000,0.731,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
random_classifier,0.752,0.254,0.504,0.009,0.733,0.276,0.773,0.236,0.628,0.230,0.237,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tfidf+svc_1_gram,0.867,0.480,0.654,0.396,0.801,0.708,0.945,0.363,0.788,0.655,0.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tfidf+svc_3_gram,0.869,0.501,0.665,0.413,0.807,0.711,0.942,0.387,0.792,0.667,0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
fast_text+svc,0.848,0.466,0.643,0.335,0.799,0.594,0.903,0.383,0.763,0.575,0.342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s42_max_tokens_512,0.880,0.652,0.758,0.534,0.865,0.687,0.896,0.621,0.822,0.782,0.586,0.838,0.138,0.883,0.117,0.702,0.121,0.752,0.143,0.774,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s43_max_tokens_512,0.877,0.654,0.761,0.532,0.868,0.674,0.887,0.635,0.819,0.793,0.601,0.842,0.135,0.886,0.114,0.707,0.123,0.768,0.135,0.781,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s44_max_tokens_512,0.879,0.667,0.771,0.546,0.876,0.674,0.882,0.660,0.822,0.805,0.628,0.837,0.142,0.883,0.123,0.695,0.125,0.754,0.143,0.779,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s45_max_tokens_512,0.880,0.634,0.744,0.519,0.855,0.696,0.906,0.582,0.819,0.736,0.549,0.842,0.139,0.889,0.114,0.702,0.126,0.742,0.147,0.776,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s46_max_tokens_512,0.873,0.652,0.761,0.524,0.871,0.656,0.875,0.648,0.813,0.805,0.613,0.841,0.139,0.892,0.113,0.689,0.123,0.755,0.141,0.780,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s47_max_tokens_512,0.884,0.650,0.754,0.539,0.860,0.710,0.910,0.598,0.826,0.759,0.564,0.841,0.137,0.886,0.114,0.698,0.128,0.753,0.144,0.775,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s48_max_tokens_512,0.879,0.643,0.752,0.525,0.861,0.685,0.897,0.607,0.819,0.747,0.576,0.832,0.140,0.881,0.116,0.681,0.119,0.749,0.136,0.756,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s49_max_tokens_512,0.881,0.663,0.767,0.545,0.871,0.686,0.892,0.641,0.825,0.770,0.613,0.839,0.139,0.886,0.119,0.697,0.127,0.756,0.134,0.775,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s50_max_tokens_512,0.887,0.669,0.769,0.558,0.870,0.709,0.904,0.633,0.831,0.747,0.608,0.840,0.140,0.885,0.121,0.701,0.125,0.760,0.142,0.769,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s51_max_tokens_512,0.881,0.653,0.758,0.536,0.865,0.691,0.898,0.619,0.823,0.747,0.591,0.840,0.140,0.888,0.115,0.692,0.121,0.749,0.140,0.774,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s52_max_tokens_512,0.883,0.621,0.734,0.517,0.846,0.726,0.924,0.543,0.822,0.713,0.506,0.835,0.142,0.886,0.115,0.681,0.114,0.741,0.145,0.737,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s53_max_tokens_512,0.870,0.640,0.753,0.510,0.865,0.650,0.875,0.631,0.809,0.782,0.599,0.830,0.141,0.879,0.119,0.689,0.124,0.732,0.145,0.779,0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s54_max_tokens_512,0.882,0.655,0.760,0.539,0.865,0.693,0.899,0.621,0.824,0.805,0.581,0.837,0.139,0.884,0.116,0.693,0.123,0.753,0.143,0.767,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-0_no_context_hard_s55_max_tokens_512,0.877,0.663,0.769,0.541,0.875,0.669,0.880,0.658,0.820,0.782,0.631,0.836,0.142,0.884,0.121,0.701,0.129,0.748,0.144,0.776,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
