model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,accuracy_no_contextual,accuracy_contextual,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
all_ones,0.000,0.500,0.500,0.000,0.000,0.333,0.000,1.000,0.333,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all_zeros,0.800,0.000,0.500,0.000,0.667,0.000,1.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
random_classifier,0.677,0.278,0.480,-0.042,0.654,0.302,0.702,0.258,0.554,0.275,0.192,0.259,0.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tfidf+svc_1_gram,0.840,0.590,0.702,0.452,0.783,0.724,0.905,0.499,0.770,0.528,0.384,0.603,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tfidf+svc_3_gram,0.839,0.561,0.686,0.437,0.771,0.742,0.922,0.451,0.765,0.482,0.329,0.543,0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
fast_text+svc,0.805,0.558,0.675,0.368,0.775,0.612,0.838,0.513,0.729,0.525,0.466,0.582,0.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s42_max_tokens_512,0.843,0.537,0.676,0.438,0.761,0.785,0.944,0.408,0.765,0.447,0.257,0.472,0.288,0.720,0.072,0.740,0.055,0.656,0.078,0.691,0.078,0.688,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s43_max_tokens_512,0.813,0.490,0.644,0.337,0.746,0.650,0.894,0.394,0.727,0.440,0.216,0.511,0.176,0.727,0.127,0.779,0.113,0.590,0.072,0.677,0.116,0.644,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s44_max_tokens_512,0.840,0.617,0.717,0.469,0.796,0.712,0.889,0.545,0.774,0.577,0.419,0.609,0.424,0.750,0.130,0.793,0.115,0.656,0.102,0.672,0.120,0.715,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s45_max_tokens_512,0.812,0.422,0.615,0.299,0.727,0.661,0.920,0.310,0.716,0.345,0.176,0.403,0.136,0.734,0.129,0.788,0.114,0.576,0.062,0.672,0.109,0.637,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s46_max_tokens_512,0.829,0.593,0.701,0.433,0.786,0.681,0.877,0.525,0.759,0.577,0.324,0.597,0.392,0.740,0.134,0.789,0.123,0.617,0.091,0.677,0.116,0.688,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s47_max_tokens_512,0.838,0.622,0.720,0.469,0.799,0.702,0.881,0.559,0.773,0.609,0.365,0.665,0.360,0.767,0.133,0.814,0.117,0.664,0.102,0.696,0.123,0.717,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s48_max_tokens_512,0.840,0.537,0.675,0.430,0.761,0.767,0.937,0.413,0.762,0.451,0.270,0.481,0.288,0.740,0.123,0.784,0.104,0.622,0.097,0.666,0.108,0.681,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s49_max_tokens_512,0.827,0.578,0.692,0.420,0.779,0.679,0.881,0.503,0.755,0.563,0.270,0.597,0.328,0.762,0.129,0.804,0.113,0.665,0.116,0.684,0.118,0.740,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s50_max_tokens_512,0.833,0.647,0.736,0.481,0.818,0.674,0.849,0.623,0.773,0.676,0.419,0.725,0.432,0.773,0.138,0.817,0.123,0.678,0.118,0.705,0.127,0.743,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s51_max_tokens_512,0.825,0.506,0.656,0.375,0.751,0.700,0.915,0.397,0.742,0.461,0.149,0.528,0.152,0.741,0.127,0.788,0.110,0.598,0.090,0.688,0.113,0.668,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s52_max_tokens_512,0.823,0.614,0.713,0.440,0.800,0.655,0.847,0.578,0.757,0.644,0.324,0.678,0.392,0.759,0.135,0.804,0.119,0.666,0.103,0.672,0.131,0.742,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s53_max_tokens_512,0.812,0.619,0.714,0.431,0.807,0.626,0.817,0.612,0.748,0.658,0.432,0.708,0.432,0.762,0.135,0.804,0.117,0.687,0.134,0.677,0.124,0.749,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s54_max_tokens_512,0.780,0.654,0.738,0.453,0.856,0.574,0.717,0.760,0.731,0.824,0.514,0.858,0.576,0.697,0.112,0.725,0.119,0.640,0.086,0.668,0.114,0.697,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s55_max_tokens_512,0.828,0.677,0.757,0.506,0.845,0.651,0.811,0.704,0.775,0.761,0.486,0.794,0.536,0.763,0.141,0.808,0.136,0.670,0.112,0.690,0.132,0.741,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s56_max_tokens_512,0.828,0.620,0.717,0.451,0.802,0.668,0.856,0.578,0.763,0.641,0.338,0.717,0.320,0.763,0.130,0.805,0.118,0.676,0.116,0.699,0.123,0.731,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s57_max_tokens_512,0.818,0.514,0.656,0.361,0.754,0.664,0.894,0.419,0.735,0.472,0.216,0.536,0.200,0.753,0.138,0.808,0.118,0.601,0.085,0.689,0.127,0.685,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s58_max_tokens_512,0.817,0.536,0.667,0.373,0.762,0.656,0.881,0.453,0.738,0.514,0.216,0.597,0.184,0.748,0.140,0.815,0.114,0.587,0.075,0.691,0.128,0.639,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s59_max_tokens_512,0.787,0.615,0.708,0.405,0.815,0.579,0.761,0.656,0.726,0.711,0.446,0.777,0.432,0.705,0.112,0.744,0.114,0.641,0.084,0.651,0.104,0.689,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s60_max_tokens_512,0.818,0.477,0.640,0.343,0.742,0.677,0.912,0.369,0.730,0.412,0.203,0.502,0.120,0.742,0.133,0.799,0.112,0.586,0.083,0.667,0.118,0.665,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s61_max_tokens_512,0.838,0.665,0.748,0.503,0.828,0.682,0.849,0.648,0.782,0.704,0.432,0.755,0.448,0.778,0.140,0.821,0.128,0.688,0.110,0.714,0.131,0.741,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s62_max_tokens_512,0.801,0.606,0.704,0.406,0.803,0.602,0.798,0.609,0.735,0.662,0.405,0.717,0.408,0.705,0.114,0.747,0.117,0.628,0.073,0.670,0.105,0.670,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s63_max_tokens_512,0.829,0.509,0.658,0.387,0.752,0.719,0.923,0.394,0.746,0.451,0.176,0.545,0.112,0.725,0.126,0.773,0.116,0.588,0.065,0.673,0.105,0.631,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s64_max_tokens_512,0.819,0.465,0.635,0.339,0.739,0.685,0.919,0.352,0.729,0.398,0.176,0.455,0.160,0.743,0.134,0.797,0.117,0.597,0.078,0.675,0.122,0.653,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s65_max_tokens_512,0.844,0.631,0.726,0.486,0.802,0.720,0.891,0.561,0.781,0.602,0.405,0.644,0.408,0.757,0.135,0.807,0.117,0.647,0.104,0.690,0.125,0.693,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s66_max_tokens_512,0.835,0.648,0.737,0.485,0.817,0.679,0.853,0.620,0.775,0.651,0.500,0.682,0.504,0.763,0.134,0.812,0.118,0.661,0.107,0.678,0.124,0.730,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
