index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.5959963,1.78950834274292
7340,1,1,0.81738716,
8347,0,0,0.6661358,
5203,0,0,0.96031183,
5591,0,0,0.54490113,
5138,1,0,0.8732739,
4039,0,0,0.63936126,
5673,0,0,0.8683846,
7308,1,0,0.8313512,
7454,1,0,0.85552096,
7430,1,1,0.8491942,
7702,1,1,0.6316478,
70,0,0,0.88496566,
5563,0,0,0.94192004,
51,0,0,0.74631494,
7561,0,0,0.9626042,
4342,1,1,0.6766579,
5558,0,1,0.5182138,
7697,0,0,0.9486638,
7731,1,1,0.6812408,
7733,1,0,0.5627564,
998,0,0,0.7932147,
5676,0,0,0.7524446,
4178,0,0,0.75569296,
7617,1,0,0.7355664,
7311,1,0,0.6044301,
5652,1,1,0.8360885,
5199,0,1,0.5494018,
7462,0,0,0.8629347,
4314,1,0,0.5230161,
7738,0,0,0.8271736,
7532,0,0,0.54725164,
5546,0,0,0.96489346,
965,0,1,0.50586134,
7665,1,1,0.7367231,
5642,1,1,0.8357253,
5696,0,0,0.8244404,
4270,0,1,0.5199304,
4274,0,0,0.8884071,
7514,1,0,0.9655353,
31,0,0,0.67631537,
7437,0,0,0.6291608,
5794,0,0,0.7341892,
7720,1,1,0.57897675,
4148,0,1,0.708524,
7445,1,1,0.6155951,
5765,0,0,0.85444564,
7629,0,0,0.9150264,
4307,0,0,0.9277181,
4190,1,0,0.5137454,
4158,0,0,0.6725408,
5608,0,0,0.6256879,
7457,0,0,0.8660198,
5188,0,1,0.5634227,
7510,1,1,0.57488793,
5659,0,0,0.89573467,
967,0,0,0.7744556,
5649,0,0,0.87897825,
5745,0,0,0.9161254,
4266,1,1,0.6103763,
5767,0,0,0.9163658,
4286,0,0,0.83934236,
3891,0,1,0.7557197,
7735,1,1,0.70590323,
4240,1,1,0.60822874,
8215,0,0,0.86486006,
4316,0,1,0.50515544,
4269,1,0,0.5902072,
3893,0,0,0.59497684,
4287,1,0,0.81079787,
7465,1,0,0.92635554,
5598,0,0,0.94252264,
7602,1,0,0.93897337,
5566,0,0,0.85915154,
4303,0,0,0.94050443,
5623,0,0,0.6626268,
59,0,0,0.7001829,
5169,0,0,0.6179318,
4257,0,1,0.54241955,
5807,0,0,0.92545855,
5133,1,1,0.53835124,
4138,1,0,0.96969706,
23,1,1,0.6557713,
5692,0,0,0.74628884,
7416,0,0,0.969911,
5592,0,0,0.6611591,
5155,0,0,0.54820704,
4211,1,1,0.7176894,
5731,0,0,0.5798772,
4331,0,1,0.64655715,
5533,1,1,0.7520487,
5688,0,0,0.8967718,
4119,0,0,0.95409095,
