index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.6823655,1.9906715154647827
7340,1,1,0.9071767,
8347,0,0,0.6075989,
5203,0,0,0.7708519,
5591,0,1,0.5697088,
5138,1,0,0.8063344,
4039,0,0,0.54559237,
5673,0,0,0.6130817,
7308,1,0,0.6481325,
7454,1,0,0.8565701,
7430,1,1,0.91079426,
7702,1,1,0.57868326,
70,0,0,0.795107,
5563,0,0,0.8224643,
51,0,0,0.7166766,
7561,0,0,0.8363231,
4342,1,1,0.62776035,
5558,0,0,0.5262133,
7697,0,0,0.83848614,
7731,1,1,0.63706535,
7733,1,0,0.64987624,
998,0,0,0.72102165,
5676,0,0,0.77740055,
4178,0,0,0.566252,
7617,1,0,0.71863997,
7311,1,0,0.6071085,
5652,1,1,0.62816787,
5199,0,1,0.605629,
7462,0,0,0.82250124,
4314,1,0,0.59211826,
7738,0,0,0.8296469,
7532,0,0,0.6827072,
5546,0,0,0.91174525,
965,0,0,0.60895276,
7665,1,1,0.582865,
5642,1,1,0.6122141,
5696,0,0,0.8330966,
4270,0,1,0.58505714,
4274,0,0,0.6637272,
7514,1,0,0.7928601,
31,0,0,0.71090996,
7437,0,0,0.61255264,
5794,0,0,0.6598353,
7720,1,0,0.5113935,
4148,0,0,0.5412332,
7445,1,0,0.56279165,
5765,0,0,0.71322024,
7629,0,0,0.67304885,
4307,0,0,0.8512067,
4190,1,0,0.60064775,
4158,0,0,0.6713541,
5608,0,0,0.7418136,
7457,0,0,0.7666586,
5188,0,0,0.5279294,
7510,1,0,0.5440106,
5659,0,0,0.8992956,
967,0,0,0.81504995,
5649,0,0,0.69560975,
5745,0,0,0.8255319,
4266,1,0,0.54242665,
5767,0,0,0.757225,
4286,0,0,0.90181303,
3891,0,1,0.58935004,
7735,1,1,0.60579365,
4240,1,0,0.6443927,
8215,0,0,0.7442979,
4316,0,0,0.52926165,
4269,1,0,0.6247317,
3893,0,0,0.6382529,
4287,1,0,0.6967966,
7465,1,0,0.79803044,
5598,0,0,0.863443,
7602,1,0,0.69698143,
5566,0,0,0.65401185,
4303,0,0,0.8810204,
5623,0,0,0.7064422,
59,0,0,0.7992205,
5169,0,0,0.7718056,
4257,0,0,0.60606897,
5807,0,0,0.7925448,
5133,1,0,0.6599797,
4138,1,0,0.71610445,
23,1,0,0.5610769,
5692,0,0,0.72496927,
7416,0,0,0.9040865,
5592,0,0,0.63605994,
5155,0,0,0.66797876,
4211,1,1,0.7479014,
5731,0,0,0.7918903,
4331,0,1,0.6791071,
5533,1,1,0.6482089,
5688,0,0,0.79591024,
4119,0,0,0.6719595,
5632,0,0,0.6855739,
8223,0,0,0.826714,
7415,0,0,0.75619644,
7493,1,0,0.58429134,
5813,1,0,0.6457217,
8232,0,0,0.8992191,
4339,0,0,0.77832156,
49,1,1,0.61094594,
4109,1,1,0.59378934,
7714,1,0,0.5684367,
7451,0,0,0.5656793,
955,0,0,0.8095213,
5684,1,0,0.8583607,
10,1,0,0.7215854,
5640,1,0,0.56697583,
4172,1,0,0.55996615,
5785,0,0,0.62750065,
5650,0,0,0.8285319,
7741,1,1,0.76514506,
5165,1,1,0.6370063,
7352,0,0,0.6111512,
7639,0,0,0.6802113,
7581,1,0,0.6321125,
7613,1,0,0.829898,
975,1,1,0.57615316,
962,0,0,0.74073,
5550,0,0,0.7700549,
7695,1,0,0.77773833,
7328,0,0,0.69446146,
7706,1,1,0.52786887,
5695,0,0,0.76532626,
4272,1,0,0.81179804,
4245,0,0,0.5477294,
7507,0,0,0.8368928,
4279,0,0,0.8746973,
4289,0,0,0.81329376,
5156,0,0,0.6298972,
5768,0,0,0.68977404,
5541,0,0,0.54035646,
5554,0,0,0.6823354,
4288,0,0,0.7079335,
5200,0,0,0.70492035,
957,1,0,0.6761452,
7356,1,1,0.9004022,
5163,0,0,0.7913122,
4276,0,0,0.71540993,
5600,0,0,0.85882336,
4198,1,0,0.62201756,
39,0,0,0.5539899,
30,0,0,0.8652425,
7358,1,1,0.6267284,
4101,0,0,0.60078275,
54,0,0,0.6655723,
7644,0,0,0.63751876,
7654,1,1,0.50911605,
5634,1,0,0.6229937,
7732,0,0,0.6294235,
7670,1,1,0.5743151,
3,1,1,0.62035054,
7678,1,1,0.589357,
4224,0,0,0.6560555,
7679,1,0,0.66323364,
7540,1,1,0.5809012,
7324,0,0,0.91084397,
7417,1,1,0.58567476,
4154,0,0,0.68470806,
58,1,1,0.67124134,
63,0,0,0.8133499,
5531,0,0,0.77477527,
4313,0,1,0.5671576,
997,1,1,0.61875165,
5607,0,0,0.6635184,
8251,0,0,0.581129,
4195,0,0,0.73357975,
5583,0,0,0.9042769,
4322,0,0,0.8031943,
5804,0,0,0.7644484,
4217,0,0,0.7818092,
4299,1,1,0.6259671,
4312,0,1,0.51695377,
4330,0,1,0.5962612,
4253,0,0,0.8877031,
66,0,0,0.84462935,
4260,0,0,0.78310835,
67,1,0,0.7179437,
5624,0,0,0.5620507,
12,0,0,0.8225111,
7333,1,1,0.5470252,
5679,0,1,0.75231344,
5537,1,0,0.86802775,
5637,1,0,0.71747756,
5702,0,0,0.7350127,
5805,0,0,0.60567105,
4164,1,1,0.6082409,
4292,1,0,0.5890931,
7359,1,0,0.6968054,
5751,0,0,0.7795283,
7685,0,1,0.5230261,
4179,1,1,0.6687337,
7317,0,0,0.8691045,
7335,0,0,0.5560309,
7472,1,1,0.5824276,
4326,1,1,0.61510265,
5729,0,0,0.7840557,
2,0,0,0.57567215,
5586,0,0,0.8556534,
5655,0,0,0.52963215,
5661,0,0,0.78701365,
7490,1,0,0.53201705,
4188,1,0,0.77223504,
7516,0,0,0.7023726,
8218,0,0,0.8484058,
7468,0,0,0.69095516,
8217,0,0,0.87969244,
5152,0,0,0.55295354,
5180,0,0,0.6426958,
5268,1,1,0.60989165,
5735,0,0,0.8498137,
5587,0,0,0.67961895,
4278,1,1,0.5561419,
5683,0,0,0.73067045,
5677,1,1,0.82768553,
8230,0,0,0.7252562,
8233,0,1,0.5461712,
4223,0,0,0.72140557,
7439,1,1,0.5743022,
7526,1,0,0.63540745,
7650,0,0,0.6320092,
4227,0,0,0.85489345,
7683,1,0,0.67528355,
7707,1,0,0.68240803,
3890,1,0,0.65101385,
5697,0,0,0.7151703,
55,0,1,0.62216985,
4193,0,0,0.5920959,
4046,0,0,0.5807888,
5179,1,1,0.6518204,
25,0,0,0.87815183,
951,1,1,0.86558807,
7511,0,0,0.77640337,
44,1,0,0.7111255,
5694,0,0,0.6043434,
5778,0,0,0.63725704,
7500,1,0,0.59185153,
5809,0,0,0.54506147,
