index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,1,0.5865453,1.7596794366836548
7340,1,1,0.74686337,
8347,0,0,0.67356175,
5203,0,0,0.85773844,
5591,0,1,0.5265233,
5138,1,0,0.87327254,
4039,0,0,0.57446414,
5673,0,0,0.7210355,
7308,1,0,0.7502022,
7454,1,0,0.798515,
7430,1,1,0.8092421,
7702,1,1,0.5936431,
70,0,0,0.7459882,
5563,0,0,0.84337884,
51,0,0,0.6498236,
7561,0,0,0.8871465,
4342,1,1,0.70970964,
5558,0,1,0.64522284,
7697,0,0,0.8842728,
7731,1,1,0.70417786,
7733,1,1,0.51698595,
998,0,0,0.7664669,
5676,0,0,0.8324042,
4178,0,0,0.79076296,
7617,1,0,0.61403966,
7311,1,0,0.7792789,
5652,1,1,0.6453112,
5199,0,1,0.67785364,
7462,0,0,0.74039876,
4314,1,0,0.51151466,
7738,0,0,0.75198704,
7532,0,0,0.60915637,
5546,0,0,0.8776865,
965,0,0,0.61782235,
7665,1,1,0.7221464,
5642,1,1,0.6322369,
5696,0,0,0.7364401,
4270,0,1,0.6597515,
4274,0,0,0.8803145,
7514,1,0,0.8801671,
31,0,0,0.7076709,
7437,0,1,0.5272534,
5794,0,0,0.7048565,
7720,1,1,0.67957705,
4148,0,0,0.6243465,
7445,1,1,0.5256287,
5765,0,0,0.82967955,
7629,0,0,0.8323801,
4307,0,0,0.8702082,
4190,1,0,0.6308209,
4158,0,0,0.73619115,
5608,0,0,0.76883423,
7457,0,0,0.69263506,
5188,0,1,0.5425668,
7510,1,1,0.52626157,
5659,0,0,0.9075885,
967,0,0,0.9076569,
5649,0,0,0.80615246,
5745,0,0,0.8523326,
4266,1,0,0.5539539,
5767,0,0,0.8449274,
4286,0,0,0.84833527,
3891,0,1,0.70000494,
7735,1,1,0.74742436,
4240,1,0,0.6560909,
8215,0,0,0.81013066,
4316,0,0,0.54699904,
4269,1,0,0.6184588,
3893,0,0,0.6463406,
4287,1,0,0.7525158,
7465,1,0,0.73390126,
5598,0,0,0.83347905,
7602,1,0,0.85952026,
5566,0,0,0.6984032,
4303,0,0,0.8793687,
5623,0,0,0.76154506,
59,0,0,0.5511864,
5169,0,0,0.56105113,
4257,0,0,0.6918647,
5807,0,0,0.73567647,
5133,1,1,0.5610245,
4138,1,0,0.8829636,
23,1,0,0.50957215,
5692,0,0,0.65272504,
7416,0,0,0.9147886,
5592,0,0,0.6189437,
