index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.8350361,3.176304340362549
7340,1,1,0.7077543,
8347,0,0,0.7049873,
5203,0,0,0.84737015,
5591,0,0,0.5888135,
5138,1,0,0.8471672,
4039,0,0,0.68495804,
5673,0,0,0.78991944,
7308,1,0,0.86138374,
7454,1,0,0.8550864,
7430,1,1,0.80087775,
7702,1,1,0.5311986,
70,0,0,0.8576078,
5563,0,0,0.85412467,
51,0,0,0.8292708,
7561,0,0,0.86139005,
4342,1,1,0.5423991,
5558,0,1,0.5248213,
7697,0,0,0.8502997,
7731,1,1,0.52487785,
7733,1,0,0.53840184,
998,0,0,0.8609654,
5676,0,0,0.85239184,
4178,0,0,0.74537593,
7617,1,0,0.7842409,
7311,1,0,0.85369545,
5652,1,0,0.50423765,
5199,0,0,0.5302138,
7462,0,0,0.8582925,
4314,1,0,0.5619036,
7738,0,0,0.751688,
7532,0,0,0.67080665,
5546,0,0,0.85446006,
965,0,0,0.74924064,
7665,1,1,0.5526658,
5642,1,1,0.5302378,
5696,0,0,0.85826254,
4270,0,1,0.5173775,
4274,0,0,0.8508819,
7514,1,0,0.848381,
31,0,0,0.84679914,
7437,0,0,0.6300505,
5794,0,0,0.85152465,
7720,1,0,0.6231706,
4148,0,0,0.57159567,
7445,1,0,0.55674154,
5765,0,0,0.8479402,
7629,0,0,0.8580327,
4307,0,0,0.848873,
4190,1,0,0.61304253,
4158,0,0,0.7974517,
5608,0,0,0.82808197,
7457,0,0,0.54145104,
5188,0,1,0.5006696,
7510,1,0,0.54679894,
5659,0,0,0.8562197,
967,0,0,0.86122835,
5649,0,0,0.8410349,
5745,0,0,0.8612177,
4266,1,0,0.6314955,
5767,0,0,0.8523545,
4286,0,0,0.85468036,
3891,0,1,0.5519623,
7735,1,1,0.60582876,
4240,1,0,0.6290225,
8215,0,0,0.86284196,
4316,0,0,0.55241466,
4269,1,0,0.7635148,
3893,0,0,0.77621245,
4287,1,0,0.7880662,
7465,1,0,0.8482703,
5598,0,0,0.8587082,
7602,1,0,0.8517461,
5566,0,0,0.85159755,
4303,0,0,0.8456332,
5623,0,0,0.82674015,
59,0,0,0.84565777,
5169,0,0,0.6844496,
4257,0,0,0.7501111,
5807,0,0,0.8450787,
5133,1,0,0.8361213,
4138,1,0,0.86383533,
23,1,0,0.5680974,
5692,0,0,0.84269047,
7416,0,0,0.8357442,
5592,0,0,0.7151119,
5155,0,0,0.7397795,
4211,1,1,0.59925586,
5731,0,0,0.8370665,
4331,0,1,0.59133863,
5533,1,0,0.53566456,
5688,0,0,0.85082185,
4119,0,0,0.84940004,
5632,0,0,0.7520376,
8223,0,0,0.86059,
7415,0,0,0.80701524,
7493,1,0,0.76261723,
5813,1,0,0.7705068,
8232,0,0,0.8573269,
4339,0,0,0.85647094,
49,1,0,0.68786997,
4109,1,0,0.56830996,
7714,1,1,0.52845174,
7451,0,0,0.8576612,
955,0,0,0.86148256,
5684,1,0,0.85300195,
10,1,0,0.83947814,
5640,1,1,0.5656536,
4172,1,0,0.77591085,
5785,0,0,0.857014,
5650,0,0,0.8561404,
7741,1,1,0.7608595,
5165,1,1,0.540654,
7352,0,1,0.5132372,
7639,0,0,0.83930874,
7581,1,0,0.8555067,
7613,1,0,0.8625339,
975,1,0,0.6381869,
962,0,0,0.86090124,
5550,0,0,0.8565607,
7695,1,0,0.840368,
7328,0,0,0.8183013,
7706,1,0,0.5345569,
5695,0,0,0.8235581,
4272,1,0,0.85611546,
4245,0,0,0.7666248,
7507,0,0,0.86209476,
4279,0,0,0.8495153,
4289,0,0,0.8464501,
