index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.6437044,1.5006160736083984
7340,1,1,0.9224659,
8347,0,0,0.64163697,
5203,0,0,0.6445983,
5591,0,0,0.6372423,
5138,1,0,0.6896781,
4039,0,0,0.6119713,
5673,0,0,0.6330789,
7308,1,0,0.6683757,
7454,1,0,0.67157483,
7430,1,1,0.95203596,
7702,1,0,0.6465613,
70,0,0,0.64836246,
5563,0,0,0.6592063,
51,0,0,0.64171946,
7561,0,0,0.6597183,
4342,1,1,0.82888466,
5558,0,0,0.6076775,
7697,0,0,0.688708,
7731,1,0,0.5857113,
7733,1,0,0.63363695,
998,0,0,0.6412938,
5676,0,0,0.65854895,
4178,0,0,0.60597724,
7617,1,0,0.6431847,
7311,1,0,0.64946467,
5652,1,1,0.72567934,
5199,0,0,0.5872419,
7462,0,0,0.6748427,
4314,1,0,0.58246017,
7738,0,0,0.64411706,
7532,0,0,0.6361398,
5546,0,0,0.65321475,
965,0,0,0.6251375,
7665,1,1,0.58449394,
5642,1,0,0.50285906,
5696,0,0,0.632335,
4270,0,0,0.53235424,
4274,0,0,0.6499076,
7514,1,0,0.6692877,
31,0,0,0.6398707,
7437,0,0,0.6962419,
5794,0,0,0.69193786,
7720,1,0,0.6390235,
4148,0,1,0.8711912,
7445,1,0,0.6264849,
5765,0,0,0.6731685,
7629,0,0,0.68623096,
4307,0,0,0.6461021,
4190,1,0,0.63185716,
4158,0,0,0.6463691,
5608,0,0,0.6382242,
7457,0,0,0.6614292,
5188,0,0,0.5240919,
7510,1,0,0.61032426,
5659,0,0,0.65951276,
967,0,0,0.6493827,
5649,0,0,0.6644494,
5745,0,0,0.6468796,
4266,1,0,0.6354302,
5767,0,0,0.6538981,
4286,0,0,0.6648191,
3891,0,0,0.629284,
7735,1,1,0.7133312,
4240,1,0,0.6585733,
8215,0,0,0.64696157,
4316,0,0,0.5655353,
4269,1,0,0.64056337,
3893,0,0,0.6336427,
4287,1,0,0.62351406,
7465,1,0,0.6372268,
5598,0,0,0.6455939,
7602,1,0,0.6693805,
5566,0,0,0.65524703,
4303,0,0,0.66467935,
5623,0,0,0.63571,
59,0,0,0.6457757,
5169,0,0,0.62282443,
4257,0,0,0.6008665,
5807,0,0,0.66032165,
5133,1,0,0.6670815,
4138,1,0,0.64389366,
23,1,0,0.6469444,
5692,0,0,0.64301795,
7416,0,0,0.68113625,
5592,0,1,0.51282483,
5155,0,0,0.6677068,
4211,1,1,0.82144445,
5731,0,0,0.64066434,
4331,0,0,0.5779207,
5533,1,0,0.58918065,
5688,0,0,0.65079105,
4119,0,0,0.64576936,
5632,0,0,0.67044777,
8223,0,0,0.6651748,
7415,0,0,0.6314091,
7493,1,0,0.6535775,
5813,1,0,0.6678781,
8232,0,0,0.656877,
4339,0,0,0.68075174,
49,1,0,0.6218395,
4109,1,0,0.61741984,
7714,1,0,0.6558081,
7451,0,0,0.6728394,
955,0,0,0.6547084,
5684,1,0,0.67378205,
10,1,0,0.58682394,
5640,1,1,0.5207457,
4172,1,0,0.63001764,
5785,0,0,0.6799792,
5650,0,0,0.69396436,
7741,1,1,0.9639403,
5165,1,0,0.56439734,
7352,0,1,0.77015823,
7639,0,0,0.6600468,
7581,1,0,0.64555556,
7613,1,0,0.6509088,
975,1,0,0.54398674,
962,0,0,0.6499142,
5550,0,0,0.67780864,
7695,1,0,0.65851706,
7328,0,0,0.5607113,
7706,1,0,0.6767772,
5695,0,0,0.6460896,
4272,1,0,0.664583,
4245,0,0,0.64923525,
7507,0,0,0.6731451,
4279,0,0,0.680572,
4289,0,0,0.69273734,
5156,0,0,0.6280127,
5768,0,0,0.66029483,
5541,0,0,0.5388671,
5554,0,0,0.6359836,
4288,0,0,0.6697905,
5200,0,0,0.6349083,
957,1,1,0.7178771,
7356,1,1,0.90196216,
5163,0,0,0.6732671,
4276,0,0,0.6446996,
5600,0,0,0.6777911,
4198,1,0,0.6346821,
39,0,0,0.6210555,
30,0,0,0.64866054,
7358,1,0,0.5911953,
4101,0,0,0.62175965,
54,0,0,0.5499058,
7644,0,0,0.64207155,
7654,1,0,0.59541684,
5634,1,0,0.6634562,
7732,0,0,0.6719066,
7670,1,0,0.6153923,
3,1,1,0.7302488,
7678,1,0,0.6078252,
4224,0,0,0.64226526,
7679,1,0,0.65839106,
7540,1,0,0.6307994,
7324,0,0,0.65792614,
7417,1,0,0.53852403,
4154,0,0,0.6489114,
58,1,1,0.51286936,
63,0,0,0.66859204,
5531,0,0,0.63285404,
4313,0,0,0.555542,
997,1,1,0.5760231,
5607,0,0,0.6405711,
8251,0,0,0.6036372,
4195,0,0,0.6707969,
5583,0,0,0.67463636,
4322,0,0,0.6755811,
5804,0,0,0.6528365,
4217,0,0,0.66567516,
4299,1,1,0.79162085,
4312,0,0,0.5709325,
4330,0,0,0.5708271,
4253,0,0,0.66148126,
66,0,0,0.6862746,
4260,0,0,0.6452754,
67,1,0,0.60097474,
5624,0,0,0.61143684,
12,0,0,0.66324997,
7333,1,0,0.5025423,
5679,0,1,0.9239494,
5537,1,0,0.6391473,
5637,1,0,0.6670329,
5702,0,0,0.6610421,
5805,0,0,0.6438471,
4164,1,1,0.72395295,
4292,1,0,0.6130037,
7359,1,0,0.6479188,
5751,0,0,0.65349114,
7685,0,1,0.5314954,
4179,1,1,0.9066842,
7317,0,0,0.68350124,
7335,0,1,0.71110034,
7472,1,0,0.6150795,
4326,1,0,0.6122082,
5729,0,0,0.6642125,
2,0,0,0.5916241,
5586,0,0,0.6365739,
5655,0,0,0.6255028,
5661,0,0,0.65851265,
7490,1,0,0.6591389,
4188,1,0,0.64171433,
7516,0,0,0.66771585,
8218,0,0,0.6858226,
7468,0,0,0.6226949,
8217,0,0,0.6586109,
5152,0,0,0.5867901,
5180,0,0,0.61143655,
5268,1,0,0.55611,
5735,0,0,0.68942577,
5587,0,0,0.6606145,
4278,1,0,0.6127536,
5683,0,0,0.6395772,
5677,1,1,0.8294069,
8230,0,0,0.6359075,
8233,0,0,0.6322307,
4223,0,0,0.6651856,
7439,1,1,0.5306314,
7526,1,0,0.6350963,
7650,0,1,0.5765898,
4227,0,0,0.6887323,
7683,1,0,0.6153095,
7707,1,0,0.67455053,
3890,1,0,0.6438735,
5697,0,0,0.60842115,
55,0,0,0.57903194,
4193,0,0,0.6417146,
4046,0,0,0.609733,
5179,1,0,0.6164134,
25,0,0,0.68038005,
951,1,1,0.9383063,
7511,0,0,0.63200104,
44,1,0,0.6409468,
5694,0,0,0.6203175,
5778,0,0,0.6800734,
7500,1,1,0.67751646,
5809,0,0,0.64827114,
7708,1,0,0.647249,
7460,0,0,0.6450087,
5646,0,0,0.6271751,
7414,0,0,0.66578317,
4324,0,0,0.54397297,
4301,1,0,0.6013366,
7649,0,0,0.64937097,
5205,0,0,0.6369959,
7674,0,0,0.5767956,
4236,0,0,0.6314311,
5582,0,0,0.65315086,
7401,0,0,0.6716944,
4189,0,0,0.66407496,
4334,0,0,0.5948585,
8231,1,0,0.61706406,
7698,0,0,0.6487109,
5820,1,0,0.6425468,
5771,0,0,0.6605865,
60,0,0,0.57457745,
5196,1,0,0.51556027,
971,0,0,0.6268358,
7353,0,1,0.5944284,
4255,0,0,0.68149245,
7622,1,0,0.64160514,
5795,0,0,0.6866727,
5703,0,0,0.65509576,
5551,0,0,0.64573526,
4162,0,0,0.6086706,
5717,0,0,0.65983814,
4332,1,1,0.9057918,
3894,0,0,0.6217762,
5135,0,0,0.65710264,
5780,0,0,0.6805847,
7662,1,0,0.61585873,
5543,0,0,0.61070746,
4298,1,0,0.5974806,
4308,0,0,0.61749804,
4241,0,0,0.6497945,
5736,0,0,0.6590566,
5619,0,0,0.59766257,
5635,1,0,0.5925061,
7458,1,1,0.9638026,
4102,1,0,0.6031952,
4311,0,0,0.58583057,
7483,1,1,0.869508,
5615,0,0,0.61661726,
5727,0,0,0.6264899,
5706,1,0,0.6455819,
29,0,0,0.6304023,
4145,0,0,0.6454422,
4228,0,0,0.6312031,
8213,0,0,0.65998155,
7339,1,1,0.9440573,
7310,1,0,0.5339163,
5186,0,0,0.5860511,
8228,0,0,0.6465284,
7742,0,0,0.6447467,
5690,1,0,0.638673,
65,0,0,0.67958343,
7675,0,0,0.6178095,
7659,1,1,0.7547862,
4234,1,1,0.7125012,
7344,1,1,0.9224659,
4335,1,0,0.6492205,
4201,1,0,0.6356381,
4215,0,0,0.6351382,
7330,0,0,0.660925,
5669,0,0,0.64154124,
4285,0,0,0.67419165,
5596,0,0,0.6595085,
5715,0,0,0.677491,
7745,1,0,0.5080613,
4229,0,0,0.6351863,
7350,1,0,0.65928125,
5549,0,0,0.64902407,
71,0,0,0.68763894,
973,0,0,0.6286681,
33,0,0,0.67949617,
5776,0,0,0.6839373,
4239,1,0,0.64745647,
4184,0,0,0.6688588,
5648,0,0,0.63385516,
5750,0,0,0.6657804,
5756,0,0,0.6635202,
956,0,0,0.63094676,
963,0,0,0.66993284,
5139,1,0,0.5977388,
961,0,0,0.66991645,
5552,0,0,0.62639165,
7700,0,0,0.6347953,
5737,1,0,0.6160732,
5686,0,0,0.6000707,
5617,0,0,0.63068306,
5653,0,0,0.62096685,
4341,1,0,0.6531525,
5,1,1,0.63570964,
4290,0,0,0.5413236,
5798,0,0,0.5343225,
3877,0,0,0.6277887,
976,0,0,0.6463538,
7471,1,0,0.62403315,
5579,0,0,0.6497029,
4294,0,0,0.685108,
5568,0,0,0.6189096,
5565,0,0,0.6560004,
7703,1,0,0.64705765,
4261,0,0,0.6833438,
5691,0,0,0.645486,
4246,0,0,0.64997923,
5630,0,0,0.6633426,
5594,0,0,0.6536593,
7473,1,0,0.631742,
5595,0,0,0.612399,
7711,1,0,0.61564946,
5689,0,1,0.5048231,
4044,1,1,0.80303746,
5576,0,0,0.6399681,
4230,1,0,0.66417485,
5671,1,0,0.52366,
4265,0,0,0.65210813,
5206,1,0,0.54524773,
9,0,0,0.63997394,
8222,0,0,0.64130336,
4176,0,1,0.6215139,
7466,1,0,0.63307965,
960,0,0,0.6596079,
5712,0,0,0.6660491,
5658,0,0,0.66203624,
8240,0,0,0.5781037,
4219,0,0,0.6346938,
7522,0,0,0.67169803,
4191,0,0,0.6482214,
7446,1,0,0.64035344,
8349,0,1,0.60579234,
5644,1,0,0.64596206,
4207,1,0,0.6667384,
7691,1,0,0.64483833,
7351,1,1,0.93580306,
7325,0,0,0.6284115,
7538,1,0,0.67346215,
4157,0,0,0.6784595,
8226,0,0,0.64585686,
5685,0,0,0.64217925,
7607,0,0,0.64779097,
7544,1,0,0.6105939,
5184,0,0,0.57686704,
5580,0,0,0.64766103,
5578,0,0,0.6716157,
7,1,0,0.5218677,
5173,0,0,0.68515545,
4135,1,0,0.6475345,
4337,0,0,0.6622881,
7452,0,1,0.5975343,
