index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.7524948,1.8609955310821533
7340,1,1,0.91518486,
8347,0,0,0.6918398,
5203,0,0,0.9071123,
5591,0,0,0.7784474,
5138,1,0,0.74363333,
4039,0,0,0.7176337,
5673,0,0,0.7855616,
7308,1,0,0.7645152,
7454,1,0,0.7171948,
7430,1,1,0.8467969,
7702,1,0,0.5518295,
70,0,0,0.89972246,
5563,0,0,0.9013669,
51,0,0,0.8977242,
7561,0,0,0.8855113,
4342,1,1,0.6764233,
5558,0,0,0.7695668,
7697,0,0,0.9094674,
7731,1,0,0.6411445,
7733,1,0,0.62973046,
998,0,0,0.81991655,
5676,0,0,0.88971025,
4178,0,0,0.7757761,
7617,1,0,0.9003163,
7311,1,0,0.69267094,
5652,1,1,0.74596804,
5199,0,0,0.7898984,
7462,0,0,0.8737902,
4314,1,1,0.64048755,
7738,0,0,0.854487,
7532,0,0,0.76580435,
5546,0,0,0.7916008,
965,0,0,0.7616362,
7665,1,1,0.6383932,
5642,1,1,0.62452424,
5696,0,0,0.8646092,
4270,0,1,0.69973344,
4274,0,0,0.8406632,
7514,1,0,0.69980884,
31,0,0,0.817467,
7437,0,0,0.6367839,
5794,0,0,0.88955534,
7720,1,1,0.5475631,
4148,0,0,0.7355567,
7445,1,0,0.53439176,
5765,0,0,0.8867949,
7629,0,0,0.8771542,
4307,0,0,0.82122844,
4190,1,0,0.8514816,
4158,0,0,0.9152968,
5608,0,0,0.55596894,
7457,0,0,0.82001835,
5188,0,0,0.5462246,
7510,1,0,0.56534195,
5659,0,0,0.820013,
967,0,0,0.74702054,
5649,0,0,0.8657913,
5745,0,0,0.836471,
4266,1,0,0.7275685,
5767,0,0,0.9030891,
4286,0,0,0.69889086,
3891,0,1,0.5503879,
7735,1,1,0.8272833,
4240,1,0,0.7535545,
8215,0,0,0.8785874,
4316,0,0,0.63005644,
4269,1,0,0.5894152,
3893,0,0,0.610984,
4287,1,0,0.5741587,
7465,1,0,0.8125288,
5598,0,0,0.6965159,
7602,1,0,0.8143639,
5566,0,0,0.84888315,
4303,0,0,0.85049653,
5623,0,0,0.7603421,
59,0,0,0.9298996,
5169,0,0,0.81113505,
4257,0,1,0.61716765,
5807,0,0,0.8286131,
5133,1,0,0.6886797,
4138,1,0,0.85016596,
23,1,0,0.59085464,
5692,0,0,0.9137718,
7416,0,0,0.9356872,
5592,0,0,0.5988148,
5155,0,0,0.839554,
4211,1,1,0.87792337,
5731,0,0,0.7576479,
4331,0,1,0.72769076,
5533,1,1,0.6612211,
5688,0,0,0.87113386,
4119,0,0,0.869126,
5632,0,0,0.79681545,
8223,0,0,0.9437148,
7415,0,0,0.7715719,
7493,1,0,0.63943195,
5813,1,0,0.81386405,
8232,0,0,0.91516244,
4339,0,0,0.7930004,
49,1,0,0.6800303,
4109,1,1,0.5365533,
7714,1,1,0.51989836,
7451,0,0,0.8321104,
955,0,0,0.896402,
5684,1,0,0.68475616,
10,1,0,0.7408428,
5640,1,1,0.8397661,
4172,1,0,0.8181364,
5785,0,0,0.8787772,
5650,0,0,0.825274,
7741,1,1,0.8223174,
5165,1,1,0.6395746,
7352,0,0,0.5854573,
