index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
7724,1,0,0.7311,0.3157846
7340,1,1,0.9526,1.0148985
8347,0,0,0.0474,0.2986314
5203,0,0,0.0474,0.10405025
5591,0,0,0.0474,0.4004304
5138,1,0,0.9526,0.30379933
4039,0,0,0.2689,0.33325836
5673,0,1,0.2689,0.6428551
7308,1,0,0.9526,0.41465655
7454,1,0,0.7311,0.3056734
7430,1,1,0.9526,1.0403328
7702,1,1,0.9526,0.6617647
70,0,0,0.2689,0.13188994
5563,0,0,0.0474,0.19068712
51,0,0,0.0474,0.11267917
7561,0,0,0.0474,0.1654622
4342,1,1,0.9526,0.91100466
5558,0,0,0.0474,0.27211687
7697,0,0,0.0474,0.073044226
7731,1,1,0.9526,0.5555959
7733,1,0,0.9526,0.36568123
998,0,0,0.2689,0.16007465
5676,0,0,0.0474,0.18136467
4178,0,0,0.2689,0.3617216
7617,1,0,0.9526,0.34178677
7311,1,0,0.9526,0.39695916
5652,1,1,0.9526,1.1270032
5199,0,0,0.0474,0.2918515
7462,0,0,0.0474,0.29462725
4314,1,1,0.9526,0.9077511
7738,0,0,0.0474,0.4351423
7532,0,0,0.0474,0.2453792
5546,0,0,0.0474,0.21805558
965,0,0,0.0474,0.44552994
7665,1,1,0.9526,0.96651363
5642,1,1,0.9526,1.018888
5696,0,0,0.0474,0.10370804
4270,0,1,0.2689,0.7816519
4274,0,0,0.0474,0.25398496
7514,1,1,0.7311,0.6332451
31,0,0,0.0474,0.25848407
7437,0,1,0.2689,0.5816571
5794,0,0,0.0474,0.17173684
7720,1,1,0.9526,0.8164491
4148,0,0,0.0474,0.20542681
7445,1,1,0.9526,0.5611099
5765,0,0,0.0474,0.12931941
7629,0,0,0.0474,0.123062775
4307,0,0,0.2689,0.21686333
4190,1,0,0.9526,0.15989365
4158,0,0,0.2689,0.33962533
5608,0,0,0.0474,0.3678377
7457,0,1,0.0474,0.5083232
5188,0,1,0.0474,0.6933515
7510,1,1,0.9526,0.62559825
5659,0,0,0.0474,0.27576175
967,0,0,0.0474,0.3149877
5649,0,0,0.0474,0.2977848
5745,0,0,0.0474,0.31820026
4266,1,1,0.7311,0.7252047
5767,0,0,0.0474,0.25840637
4286,0,1,0.0474,0.5045094
3891,0,1,0.2689,0.78609806
7735,1,1,0.7311,0.93800044
4240,1,1,0.7311,0.52331257
8215,0,0,0.0474,0.11084009
4316,0,0,0.2689,0.45673963
4269,1,1,0.9526,0.5723158
3893,0,0,0.2689,0.46872327
4287,1,1,0.9526,0.5714211
7465,1,0,0.7311,0.18065143
5598,0,0,0.0474,0.36174777
7602,1,0,0.7311,0.3147599
5566,0,0,0.0474,0.17307165
4303,0,0,0.0474,0.26081833
5623,0,0,0.0474,0.2426512
59,0,0,0.0474,0.07460623
5169,0,0,0.0474,0.22223791
4257,0,0,0.2689,0.44161588
5807,0,0,0.0474,0.30379948
5133,1,0,0.9526,0.33806428
4138,1,0,0.9526,0.13823922
23,1,0,0.7311,0.48369822
5692,0,0,0.2689,0.03854014
7416,0,0,0.0474,0.10505268
5592,0,0,0.0474,0.4537218
5155,0,0,0.0474,0.35695878
4211,1,1,0.9526,0.9195343
5731,0,1,0.0474,0.5140693
4331,0,1,0.2689,0.8270962
5533,1,1,0.9526,0.9935479
5688,0,0,0.0474,0.30422446
