index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.8127551,2.1376731395721436
7340,1,1,0.83155817,
8347,0,0,0.73542285,
5203,0,0,0.88989854,
5591,0,0,0.76984066,
5138,1,0,0.6545793,
4039,0,1,0.5024061,
5673,0,0,0.6965175,
7308,1,0,0.5746248,
7454,1,0,0.70831937,
7430,1,1,0.83834726,
7702,1,1,0.55965316,
70,0,0,0.8510586,
5563,0,0,0.83472455,
51,0,0,0.86185455,
7561,0,0,0.78862625,
4342,1,1,0.7279415,
5558,0,0,0.81090456,
7697,0,0,0.79187834,
7731,1,0,0.53179145,
7733,1,0,0.6573215,
998,0,0,0.76104575,
5676,0,0,0.84799385,
4178,0,0,0.7630856,
7617,1,0,0.87498015,
7311,1,0,0.6620074,
5652,1,1,0.6388448,
5199,0,0,0.80733705,
7462,0,0,0.8855371,
4314,1,1,0.73504996,
7738,0,0,0.76860416,
7532,0,0,0.772421,
5546,0,0,0.71552193,
965,0,0,0.75838655,
7665,1,1,0.7159591,
5642,1,0,0.63088864,
5696,0,0,0.8322139,
4270,0,1,0.7409036,
4274,0,0,0.8085917,
7514,1,0,0.6482387,
31,0,0,0.74056214,
7437,0,0,0.6095526,
5794,0,0,0.8702668,
7720,1,1,0.61880535,
4148,0,0,0.84921116,
7445,1,0,0.5500704,
5765,0,0,0.8877987,
7629,0,0,0.775974,
4307,0,0,0.80799115,
4190,1,0,0.7115354,
4158,0,0,0.79022634,
5608,0,0,0.7365993,
7457,0,0,0.53981936,
5188,0,0,0.66056067,
7510,1,0,0.6742579,
5659,0,0,0.7778444,
967,0,0,0.7503316,
5649,0,0,0.8244371,
5745,0,0,0.7971827,
4266,1,0,0.68713194,
5767,0,0,0.80349636,
4286,0,0,0.79111713,
3891,0,1,0.74274707,
7735,1,1,0.78994673,
4240,1,0,0.758497,
8215,0,0,0.8833528,
4316,0,1,0.53991586,
4269,1,1,0.53991944,
3893,0,0,0.7031564,
4287,1,0,0.5224424,
7465,1,0,0.8391732,
5598,0,0,0.7062282,
7602,1,0,0.8095719,
5566,0,0,0.84666944,
4303,0,0,0.87871933,
5623,0,0,0.80518275,
59,0,0,0.890802,
5169,0,0,0.84226835,
4257,0,0,0.65573204,
5807,0,0,0.8520823,
5133,1,0,0.69246817,
4138,1,0,0.7202973,
23,1,0,0.5763745,
5692,0,0,0.87627923,
7416,0,0,0.8800491,
5592,0,0,0.74685574,
5155,0,0,0.84220666,
4211,1,1,0.7014135,
5731,0,0,0.6670207,
4331,0,1,0.8436469,
5533,1,1,0.7518005,
5688,0,0,0.84756434,
4119,0,0,0.7935161,
5632,0,0,0.74301475,
8223,0,0,0.88391256,
7415,0,0,0.7870421,
7493,1,0,0.6272183,
5813,1,0,0.71005917,
8232,0,0,0.8113652,
4339,0,0,0.6931565,
49,1,0,0.6232377,
4109,1,1,0.69555956,
7714,1,0,0.6434104,
7451,0,0,0.8341644,
955,0,0,0.8354943,
5684,1,0,0.77393144,
10,1,0,0.7765714,
5640,1,1,0.52482384,
4172,1,0,0.7666476,
5785,0,0,0.77064574,
5650,0,0,0.74953806,
7741,1,1,0.741977,
5165,1,1,0.51218325,
7352,0,0,0.5220824,
7639,0,0,0.77581376,
7581,1,0,0.8203866,
7613,1,0,0.7471017,
975,1,1,0.5038564,
962,0,0,0.7864493,
5550,0,0,0.7615776,
7695,1,0,0.8601806,
7328,0,0,0.80797935,
7706,1,1,0.7882918,
5695,0,0,0.7226001,
4272,1,0,0.6655164,
4245,0,0,0.59804726,
7507,0,0,0.7406546,
4279,0,0,0.6938031,
4289,0,0,0.8260875,
5156,0,0,0.73711336,
5768,0,0,0.8546825,
5541,0,1,0.5746736,
5554,0,0,0.7969172,
4288,0,0,0.7442757,
5200,0,0,0.869001,
957,1,0,0.7953007,
7356,1,1,0.83301973,
5163,0,0,0.78630435,
4276,0,0,0.7771118,
5600,0,0,0.73324436,
4198,1,0,0.6608526,
39,0,0,0.7327467,
30,0,0,0.87695193,
7358,1,1,0.6684525,
4101,0,0,0.63286835,
54,0,0,0.84146976,
7644,0,0,0.6163054,
7654,1,0,0.7187574,
5634,1,0,0.55385816,
7732,0,0,0.64197844,
7670,1,0,0.51036525,
3,1,1,0.54247916,
7678,1,1,0.6885271,
4224,0,0,0.8462042,
7679,1,0,0.5891136,
7540,1,1,0.6688453,
7324,0,0,0.824911,
7417,1,1,0.62465686,
4154,0,0,0.8372722,
58,1,1,0.6309841,
63,0,0,0.8606587,
5531,0,0,0.78787076,
4313,0,1,0.527088,
997,1,1,0.72999376,
5607,0,0,0.7089821,
8251,0,1,0.513381,
4195,0,0,0.85498166,
5583,0,0,0.8218999,
4322,0,0,0.8249607,
5804,0,0,0.7971919,
4217,0,0,0.7777968,
4299,1,0,0.5197686,
4312,0,1,0.5271469,
4330,0,0,0.64001083,
4253,0,0,0.7259546,
66,0,0,0.8292648,
4260,0,0,0.7792448,
67,1,0,0.63887113,
5624,0,0,0.6125665,
12,0,0,0.86518794,
7333,1,0,0.61045885,
5679,0,0,0.5223753,
5537,1,0,0.8730034,
5637,1,0,0.8215981,
5702,0,0,0.7180781,
5805,0,0,0.85193104,
4164,1,0,0.7841214,
4292,1,0,0.56966376,
7359,1,1,0.5939625,
5751,0,0,0.7371966,
7685,0,1,0.54918313,
4179,1,1,0.5976226,
7317,0,0,0.75045544,
7335,0,0,0.57987666,
7472,1,0,0.5511128,
4326,1,1,0.7347041,
5729,0,0,0.56516224,
2,0,0,0.654464,
5586,0,0,0.877868,
5655,0,0,0.69908386,
5661,0,0,0.82114506,
7490,1,0,0.6717926,
4188,1,0,0.6847393,
7516,0,0,0.772904,
8218,0,0,0.849431,
7468,0,0,0.7812638,
8217,0,0,0.8623441,
5152,0,0,0.5982844,
5180,0,0,0.7179714,
5268,1,1,0.59006107,
5735,0,0,0.87608826,
5587,0,0,0.85101265,
4278,1,1,0.76477367,
5683,0,0,0.7763196,
5677,1,1,0.8889222,
8230,0,0,0.8712344,
8233,0,0,0.71779364,
4223,0,0,0.7131097,
7439,1,1,0.6138072,
7526,1,0,0.7534978,
7650,0,0,0.8844909,
4227,0,0,0.71493965,
7683,1,0,0.6032489,
7707,1,0,0.7862964,
3890,1,1,0.59911174,
5697,0,0,0.7249504,
55,0,0,0.6123399,
4193,0,0,0.6718568,
4046,0,0,0.51260674,
5179,1,0,0.5464734,
25,0,0,0.86530685,
951,1,1,0.85386336,
7511,0,0,0.83287036,
44,1,0,0.8344421,
5694,0,0,0.552188,
5778,0,0,0.81625366,
7500,1,1,0.55953664,
5809,0,0,0.5549833,
7708,1,0,0.6117801,
7460,0,0,0.7454981,
5646,0,0,0.81819254,
7414,0,0,0.7932261,
4324,0,1,0.54432887,
4301,1,1,0.8525016,
7649,0,0,0.8111887,
5205,0,0,0.5082824,
7674,0,0,0.71465844,
4236,0,1,0.6146119,
5582,0,0,0.78843755,
7401,0,0,0.5901825,
4189,0,0,0.8058858,
4334,0,1,0.5453142,
8231,1,0,0.6159512,
7698,0,0,0.61210907,
5820,1,0,0.5882244,
5771,0,0,0.7688466,
60,0,0,0.5655065,
5196,1,0,0.65637904,
971,0,0,0.78290474,
7353,0,0,0.51585674,
4255,0,0,0.7711558,
7622,1,0,0.76893014,
5795,0,0,0.898765,
5703,0,0,0.77279234,
5551,0,1,0.52473813,
4162,0,0,0.70881194,
5717,0,0,0.78957015,
4332,1,1,0.89366806,
3894,0,0,0.8570027,
5135,0,0,0.805225,
5780,0,0,0.80827177,
7662,1,0,0.64506805,
5543,0,0,0.7790147,
4298,1,0,0.5703421,
4308,0,0,0.7031968,
4241,0,1,0.55638725,
5736,0,0,0.8186817,
5619,0,0,0.88851124,
5635,1,0,0.654188,
7458,1,1,0.85803515,
4102,1,1,0.8146592,
4311,0,1,0.54314315,
7483,1,1,0.5738193,
5615,0,0,0.7385747,
5727,0,0,0.8176778,
5706,1,0,0.6276007,
29,0,0,0.782159,
4145,0,0,0.5808861,
4228,0,0,0.7906726,
8213,0,0,0.891097,
7339,1,1,0.7931687,
7310,1,1,0.5777809,
5186,0,1,0.57244945,
8228,0,0,0.85312974,
7742,0,0,0.7632301,
5690,1,0,0.8169852,
65,0,0,0.8982917,
7675,0,0,0.81167537,
7659,1,1,0.6295664,
4234,1,1,0.5335648,
7344,1,1,0.83155817,
4335,1,1,0.71033,
4201,1,0,0.61200964,
4215,0,0,0.7463134,
7330,0,0,0.90481514,
5669,0,0,0.6571385,
4285,0,0,0.8443907,
5596,0,0,0.6931623,
5715,0,0,0.8515688,
7745,1,1,0.73002297,
4229,0,0,0.82947004,
7350,1,0,0.79727584,
5549,0,0,0.8674753,
71,0,0,0.8750892,
973,0,0,0.5245291,
33,0,0,0.8966666,
5776,0,0,0.88018733,
4239,1,0,0.7397865,
4184,0,0,0.7806607,
5648,0,0,0.81125706,
5750,0,0,0.8689159,
5756,0,0,0.7598732,
956,0,0,0.772506,
963,0,0,0.8004261,
5139,1,1,0.5129547,
961,0,0,0.85680073,
5552,0,0,0.67424333,
7700,0,0,0.9034502,
5737,1,0,0.820249,
5686,0,0,0.81793857,
5617,0,0,0.81264955,
5653,0,0,0.7272807,
4341,1,0,0.8508679,
5,1,1,0.5643037,
4290,0,0,0.79140574,
5798,0,0,0.58049953,
3877,0,0,0.7093491,
976,0,0,0.8048958,
7471,1,1,0.68494356,
5579,0,0,0.7680664,
4294,0,0,0.8544271,
5568,0,0,0.8232275,
5565,0,0,0.5969719,
7703,1,0,0.5279766,
4261,0,0,0.8989452,
5691,0,0,0.80567056,
4246,0,0,0.6566909,
5630,0,0,0.6364117,
5594,0,0,0.88484335,
7473,1,1,0.5153473,
5595,0,0,0.7550648,
7711,1,0,0.52002466,
5689,0,1,0.663253,
4044,1,0,0.6492442,
5576,0,0,0.84159255,
4230,1,1,0.52541554,
5671,1,1,0.6381288,
4265,0,0,0.82129586,
5206,1,1,0.57545364,
9,0,0,0.7490703,
8222,0,0,0.8895612,
4176,0,0,0.77632385,
7466,1,1,0.5219414,
960,0,0,0.74998283,
5712,0,0,0.77879673,
5658,0,0,0.7676793,
8240,0,1,0.5803064,
4219,0,0,0.66808873,
7522,0,0,0.88627434,
4191,0,0,0.6509259,
7446,1,1,0.51589257,
8349,0,1,0.88138926,
5644,1,0,0.85172457,
4207,1,0,0.6339375,
7691,1,0,0.7225809,
7351,1,1,0.7156539,
7325,0,0,0.73670185,
7538,1,0,0.7450564,
4157,0,0,0.7550648,
8226,0,0,0.8076121,
5685,0,0,0.89254373,
7607,0,0,0.7400762,
7544,1,0,0.6520242,
5184,0,0,0.6999534,
5580,0,0,0.7176282,
5578,0,0,0.83229345,
7,1,0,0.5252355,
5173,0,0,0.7190898,
4135,1,0,0.6720809,
4337,0,0,0.82380277,
7452,0,1,0.59383345,
4203,0,0,0.85255384,
4309,1,1,0.6713503,
5662,0,0,0.86760354,
5757,0,0,0.5070691,
7517,0,0,0.58202523,
5559,0,0,0.7098984,
7426,1,1,0.7976555,
7482,1,0,0.5176293,
5536,0,0,0.89186513,
5753,0,0,0.7749479,
8225,0,0,0.55771595,
7584,0,0,0.8477138,
5627,0,1,0.51218855,
5698,0,0,0.7266121,
7754,0,0,0.76548153,
7661,1,1,0.6989706,
7433,0,0,0.8237245,
7449,0,1,0.54446685,
4143,0,0,0.7410131,
4208,0,0,0.7573502,
7322,0,0,0.8131925,
8206,0,1,0.6431908,
4192,0,0,0.7719532,
7503,1,0,0.78566635,
958,1,0,0.5738094,
4128,1,1,0.55588204,
4282,0,0,0.80888754,
5540,0,0,0.7988888,
5744,0,0,0.806077,
8221,0,0,0.91956866,
7501,1,0,0.57627386,
43,0,0,0.82008463,
7740,1,1,0.688078,
4073,0,0,0.8220982,
5721,1,0,0.6354282,
7608,0,0,0.65541655,
5668,0,0,0.72251785,
4291,0,0,0.9015413,
5183,1,1,0.53489757,
5639,0,0,0.77598536,
8236,0,1,0.6282887,
7596,0,0,0.7272986,
7528,1,0,0.7431651,
7487,0,0,0.8605083,
0,0,0,0.7425028,
5605,0,0,0.78851885,
4340,0,0,0.6903946,
5157,0,0,0.8278473,
4296,0,0,0.5897723,
7539,1,0,0.5062134,
5718,0,0,0.762335,
5548,0,0,0.75370187,
5700,0,1,0.5582246,
8224,0,0,0.9176207,
5614,0,0,0.74521345,
4152,0,0,0.66978395,
4065,0,0,0.8390598,
7343,1,1,0.738257,
5631,0,0,0.6502719,
5723,0,0,0.8103585,
7744,0,0,0.7956128,
969,0,0,0.9189994,
8229,0,0,0.71900487,
4161,1,1,0.5095586,
4343,0,0,0.7204023,
5628,0,0,0.7516608,
4254,1,0,0.7654774,
7422,0,0,0.59603316,
7734,0,1,0.7325208,
69,1,1,0.6815417,
4271,1,1,0.5962041,
4071,0,0,0.7842325,
4280,1,0,0.72108114,
5636,1,1,0.6032049,
4306,0,0,0.8902841,
4124,1,1,0.6675152,
5633,0,0,0.56511104,
5758,0,0,0.8548962,
7315,1,1,0.50235695,
4100,1,1,0.5603077,
4318,1,1,0.5047582,
7348,1,1,0.81262213,
4144,0,0,0.68556046,
28,1,0,0.6905958,
5734,0,0,0.8041255,
4173,1,0,0.69553655,
5602,0,0,0.63658416,
7312,1,0,0.6295232,
5534,1,1,0.52375907,
5719,0,0,0.8197482,
4149,0,0,0.8085161,
5667,0,0,0.80667084,
4118,1,1,0.70986736,
4153,0,0,0.7701734,
6,1,0,0.6013275,
7316,0,0,0.6931389,
5714,1,0,0.68718314,
7326,0,0,0.8631929,
5790,0,0,0.6603309,
952,0,0,0.786972,
8344,0,0,0.5811651,
5626,0,0,0.7551947,
4218,1,0,0.7509495,
4125,1,1,0.65890855,
7531,1,0,0.87607515,
4214,0,0,0.8073333,
4200,0,0,0.74625987,
4194,1,0,0.62435883,
7337,1,1,0.7538785,
4072,0,0,0.7662639,
8350,0,1,0.57964176,
5682,0,0,0.77885115,
7672,0,0,0.6734593,
5198,0,0,0.7051378,
4165,1,0,0.79954565,
41,0,0,0.7289168,
7647,0,0,0.8519427,
3892,0,0,0.5522948,
5766,0,0,0.8801369,
56,0,1,0.5132794,
5620,0,0,0.8726631,
7423,1,1,0.594788,
5584,0,0,0.74586874,
5569,0,0,0.85995173,
24,1,0,0.5933993,
5629,0,0,0.78231645,
5643,0,0,0.79862905,
5699,0,0,0.84644717,
7412,0,0,0.6735468,
5134,1,1,0.5427523,
5761,0,1,0.818607,
5158,0,0,0.53072196,
5555,0,0,0.829098,
