index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
7724,1,1,0.7311,0.5765481
7340,1,1,0.9526,0.7280006
8347,0,0,0.0474,0.3816595
5203,0,0,0.0474,0.15039128
5591,0,0,0.0474,0.3061212
5138,1,0,0.9526,0.42841443
4039,0,0,0.2689,0.4636568
5673,0,0,0.2689,0.2578988
7308,1,0,0.9526,0.31619495
7454,1,1,0.7311,0.81554705
7430,1,1,0.9526,1.0842015
7702,1,1,0.9526,0.59225476
70,0,0,0.2689,0.068846256
5563,0,0,0.0474,0.2289699
51,0,0,0.0474,0.19154944
7561,0,0,0.0474,0.19698824
4342,1,1,0.9526,0.82893836
5558,0,0,0.0474,0.050903227
7697,0,0,0.0474,0.077900104
7731,1,1,0.9526,0.7328912
7733,1,0,0.9526,0.48542792
998,0,0,0.2689,0.35539305
5676,0,0,0.0474,0.024026398
4178,0,0,0.2689,0.20169632
7617,1,0,0.9526,0.30669317
7311,1,0,0.9526,0.35508314
5652,1,1,0.9526,0.9314691
5199,0,0,0.0474,0.122187614
7462,0,0,0.0474,0.42691553
4314,1,1,0.9526,0.7240701
7738,0,0,0.0474,0.30148035
7532,0,0,0.0474,0.22859174
5546,0,0,0.0474,0.24733748
965,0,0,0.0474,0.22098272
7665,1,1,0.9526,0.8056834
5642,1,1,0.9526,0.8760339
5696,0,0,0.0474,0.11924891
4270,0,1,0.2689,0.8674663
4274,0,0,0.0474,0.23610021
7514,1,0,0.7311,0.38019636
31,0,0,0.0474,0.1793498
7437,0,1,0.2689,0.5148551
5794,0,0,0.0474,0.11588858
7720,1,1,0.9526,0.92352366
4148,0,0,0.0474,0.24321236
7445,1,1,0.9526,0.78042555
5765,0,0,0.0474,0.09398324
7629,0,0,0.0474,0.17330663
4307,0,0,0.2689,0.45573252
4190,1,0,0.9526,0.44597682
4158,0,0,0.2689,0.3805035
5608,0,0,0.0474,0.122023955
7457,0,1,0.0474,0.80007696
5188,0,1,0.0474,0.50048256
