index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.71054494,2.024948835372925
7340,1,1,0.7258173,
8347,0,0,0.7639703,
5203,0,0,0.8781811,
5591,0,0,0.8094879,
5138,1,0,0.7628278,
4039,0,0,0.53241354,
5673,0,0,0.7797391,
7308,1,0,0.7170725,
7454,1,0,0.76889735,
7430,1,0,0.532175,
7702,1,1,0.5633668,
70,0,0,0.8434622,
5563,0,0,0.83938754,
51,0,0,0.87724245,
7561,0,0,0.8310599,
4342,1,1,0.8044216,
5558,0,0,0.68415487,
7697,0,0,0.85517496,
7731,1,0,0.5975693,
7733,1,0,0.6072741,
998,0,0,0.750194,
5676,0,0,0.8792346,
4178,0,0,0.7631925,
7617,1,0,0.7856579,
7311,1,0,0.7437995,
5652,1,1,0.56816167,
5199,0,0,0.8449594,
7462,0,0,0.868212,
4314,1,1,0.5380788,
7738,0,0,0.7724274,
7532,0,0,0.78700453,
5546,0,0,0.7137721,
965,0,0,0.7828236,
7665,1,1,0.720423,
5642,1,0,0.5678407,
5696,0,0,0.839207,
4270,0,1,0.6194294,
4274,0,0,0.86912984,
7514,1,0,0.73326546,
31,0,0,0.8663546,
7437,0,0,0.563584,
5794,0,0,0.85494775,
7720,1,1,0.56731,
4148,0,0,0.77828634,
7445,1,1,0.50851536,
5765,0,0,0.88494873,
7629,0,0,0.8153531,
4307,0,0,0.7376879,
4190,1,0,0.7004529,
4158,0,0,0.77304554,
5608,0,0,0.5787288,
7457,0,0,0.8090613,
5188,0,0,0.5744355,
7510,1,0,0.6770372,
5659,0,0,0.8294967,
967,0,0,0.75608355,
5649,0,0,0.8325585,
5745,0,0,0.902728,
4266,1,0,0.6955894,
5767,0,0,0.8789893,
4286,0,0,0.6936645,
3891,0,1,0.6209962,
7735,1,1,0.63975155,
4240,1,0,0.6183717,
8215,0,0,0.89726967,
4316,0,0,0.5424657,
4269,1,1,0.6248291,
3893,0,0,0.7078884,
4287,1,1,0.6832497,
7465,1,0,0.82472265,
5598,0,0,0.6651197,
7602,1,0,0.8342864,
5566,0,0,0.8070593,
4303,0,0,0.8103772,
5623,0,0,0.75939703,
59,0,0,0.8535615,
5169,0,0,0.8443769,
4257,0,1,0.5791473,
5807,0,0,0.87029284,
5133,1,0,0.75956476,
4138,1,0,0.80147797,
23,1,1,0.55655515,
5692,0,0,0.8917597,
7416,0,0,0.8502236,
5592,0,0,0.6318121,
5155,0,0,0.7220574,
4211,1,1,0.811129,
5731,0,0,0.69695663,
4331,0,1,0.69833624,
5533,1,1,0.77965736,
5688,0,0,0.9102603,
4119,0,0,0.8537983,
5632,0,0,0.65746546,
8223,0,0,0.9084177,
7415,0,0,0.7627077,
7493,1,0,0.5185511,
5813,1,0,0.76437354,
8232,0,0,0.76151335,
4339,0,0,0.7409994,
49,1,0,0.52514493,
4109,1,0,0.57156086,
7714,1,0,0.61110866,
7451,0,0,0.8025152,
955,0,0,0.8662795,
5684,1,0,0.79324913,
10,1,0,0.76081324,
5640,1,1,0.60146135,
4172,1,0,0.7940201,
5785,0,0,0.811479,
5650,0,0,0.75436825,
7741,1,1,0.72367257,
5165,1,1,0.51696867,
7352,0,0,0.5859456,
7639,0,0,0.8616885,
7581,1,0,0.8547099,
7613,1,0,0.76062113,
975,1,1,0.656474,
962,0,0,0.84164834,
5550,0,0,0.8264878,
7695,1,0,0.9178385,
7328,0,0,0.78451145,
7706,1,1,0.828286,
5695,0,0,0.8335048,
4272,1,0,0.7325206,
4245,0,0,0.56598616,
7507,0,0,0.7338755,
4279,0,0,0.7873035,
4289,0,0,0.87854135,
5156,0,0,0.7487015,
5768,0,0,0.87494475,
5541,0,0,0.53533095,
5554,0,0,0.75106525,
4288,0,0,0.6487665,
5200,0,0,0.8915128,
957,1,0,0.6365373,
7356,1,1,0.75973713,
5163,0,0,0.8367269,
4276,0,0,0.6864861,
5600,0,0,0.64743567,
4198,1,0,0.6689575,
39,0,0,0.60425484,
30,0,0,0.86187077,
7358,1,0,0.5716592,
4101,0,0,0.79821324,
54,0,0,0.85290515,
7644,0,0,0.73970366,
7654,1,0,0.5442535,
5634,1,0,0.7001021,
7732,0,0,0.7321464,
7670,1,1,0.67267865,
3,1,1,0.5962182,
7678,1,1,0.65797514,
4224,0,0,0.8373804,
7679,1,1,0.5545818,
7540,1,1,0.75709224,
7324,0,0,0.87084085,
7417,1,1,0.58253914,
4154,0,0,0.88592803,
58,1,1,0.70999825,
63,0,0,0.8708109,
5531,0,0,0.82241434,
4313,0,1,0.51329243,
997,1,1,0.7123071,
5607,0,0,0.69631207,
8251,0,0,0.75818306,
4195,0,0,0.8676663,
5583,0,0,0.80181503,
4322,0,0,0.878435,
5804,0,0,0.81787616,
4217,0,0,0.76126975,
4299,1,0,0.6810446,
4312,0,1,0.53451675,
4330,0,1,0.51984686,
4253,0,0,0.8012419,
66,0,0,0.82020766,
4260,0,0,0.5442875,
67,1,0,0.65077007,
5624,0,0,0.5843165,
12,0,0,0.8123983,
7333,1,1,0.5236682,
5679,0,1,0.5147297,
5537,1,0,0.8555946,
5637,1,0,0.80796033,
5702,0,0,0.8109579,
5805,0,0,0.8683017,
4164,1,0,0.77871263,
4292,1,1,0.5735401,
7359,1,0,0.7187497,
5751,0,0,0.7808143,
7685,0,1,0.5235863,
4179,1,1,0.6492018,
7317,0,0,0.8173167,
7335,0,1,0.5882698,
7472,1,1,0.5692235,
4326,1,1,0.5018326,
5729,0,0,0.70666397,
2,0,0,0.7272837,
5586,0,0,0.82872,
5655,0,0,0.8460294,
5661,0,0,0.8898382,
