index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
7724,1,0,0.7311,0.4503844
7340,1,1,0.9526,0.6249142
8347,0,0,0.0474,0.34255764
5203,0,0,0.0474,0.2573506
5591,0,0,0.0474,0.30141023
5138,1,0,0.9526,0.3427451
4039,0,0,0.2689,0.34756017
5673,0,0,0.2689,0.30141097
7308,1,0,0.9526,0.2841235
7454,1,1,0.7311,0.5125383
7430,1,1,0.9526,0.5706205
7702,1,1,0.9526,0.5123247
70,0,0,0.2689,0.07391297
5563,0,0,0.0474,0.09458376
51,0,0,0.0474,0.084549524
7561,0,0,0.0474,0.08248184
4342,1,1,0.9526,0.94575405
5558,0,0,0.0474,0.43899685
7697,0,0,0.0474,0.13440472
7731,1,1,0.9526,0.6580849
7733,1,0,0.9526,0.2894225
998,0,0,0.2689,0.27804467
5676,0,0,0.0474,0.09908656
4178,0,0,0.2689,0.311289
7617,1,0,0.9526,0.47785774
7311,1,0,0.9526,0.18761607
5652,1,1,0.9526,0.69402444
5199,0,0,0.0474,0.2049451
7462,0,0,0.0474,0.39947253
4314,1,1,0.9526,0.5034743
7738,0,0,0.0474,0.10533243
7532,0,0,0.0474,0.28805962
5546,0,0,0.0474,0.24574018
965,0,0,0.0474,0.3641709
7665,1,1,0.9526,0.64305896
5642,1,1,0.9526,0.7008422
5696,0,0,0.0474,0.007868078
4270,0,1,0.2689,0.6714078
4274,0,0,0.0474,0.33014432
7514,1,0,0.7311,0.33999038
31,0,0,0.0474,0.3361034
7437,0,1,0.2689,0.50366694
5794,0,0,0.0474,0.31713036
7720,1,1,0.9526,0.6670985
4148,0,0,0.0474,0.32089186
7445,1,1,0.9526,0.5999021
5765,0,0,0.0474,0.026655652
7629,0,0,0.0474,0.10499859
4307,0,0,0.2689,0.38203445
4190,1,0,0.9526,0.3873917
4158,0,0,0.2689,0.4026109
5608,0,0,0.0474,0.22779958
7457,0,0,0.0474,0.48072088
5188,0,1,0.0474,0.60589975
7510,1,1,0.9526,0.53686833
5659,0,0,0.0474,0.18564029
967,0,0,0.0474,0.39811623
5649,0,0,0.0474,0.23572232
5745,0,0,0.0474,-0.03035004
4266,1,0,0.7311,0.32056004
5767,0,0,0.0474,0.0410297
4286,0,0,0.0474,0.34320816
3891,0,1,0.2689,0.741108
7735,1,1,0.7311,0.7788861
4240,1,0,0.7311,0.3729008
8215,0,0,0.0474,-0.04938781
4316,0,1,0.2689,0.5287673
4269,1,1,0.9526,0.8367529
3893,0,1,0.2689,0.59232086
4287,1,1,0.9526,0.7275854
7465,1,0,0.7311,0.25326318
5598,0,0,0.0474,0.3357768
7602,1,0,0.7311,0.35359928
5566,0,0,0.0474,0.18626976
4303,0,0,0.0474,0.13118045
5623,0,0,0.0474,0.22694387
59,0,0,0.0474,0.08420688
5169,0,0,0.0474,0.43347147
4257,0,1,0.2689,0.51864064
5807,0,0,0.0474,0.17957652
5133,1,0,0.9526,0.37965485
4138,1,0,0.9526,0.24610467
23,1,0,0.7311,0.37513348
5692,0,0,0.2689,0.004461825
7416,0,0,0.0474,0.09774244
5592,0,0,0.0474,0.28925565
5155,0,0,0.0474,0.16425662
4211,1,1,0.9526,0.81471485
5731,0,0,0.0474,0.34647092
4331,0,1,0.2689,0.6871628
5533,1,1,0.9526,0.62260014
5688,0,0,0.0474,0.07951493
4119,0,0,0.2689,0.17772853
5632,0,0,0.0474,0.26228717
8223,0,0,0.0474,0.0915475
7415,0,0,0.0474,0.44609013
7493,1,1,0.9526,0.54197705
5813,1,0,0.9526,0.3652267
