index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.60954833,2.4138872623443604
7340,1,0,0.518254,
8347,0,0,0.6538634,
5203,0,0,0.71554375,
5591,0,0,0.6529014,
5138,1,0,0.666611,
4039,0,0,0.59627706,
5673,0,0,0.67599887,
7308,1,0,0.66043586,
7454,1,0,0.6484763,
7430,1,0,0.5743384,
7702,1,0,0.5639301,
70,0,0,0.66819286,
5563,0,0,0.6438166,
51,0,0,0.68761486,
7561,0,0,0.6694448,
4342,1,1,0.55865794,
5558,0,0,0.6138076,
7697,0,0,0.6810296,
7731,1,0,0.6110844,
7733,1,0,0.6334691,
998,0,0,0.6351898,
5676,0,0,0.70067537,
4178,0,0,0.60149914,
7617,1,0,0.6158847,
7311,1,0,0.6319559,
5652,1,0,0.5241064,
5199,0,0,0.68056446,
7462,0,0,0.67330885,
4314,1,0,0.5490842,
7738,0,0,0.6501597,
7532,0,0,0.6185846,
5546,0,0,0.5792306,
965,0,0,0.59951824,
7665,1,1,0.5042864,
5642,1,0,0.62649804,
5696,0,0,0.6422355,
4270,0,0,0.5418972,
4274,0,0,0.6800856,
7514,1,0,0.6147057,
31,0,0,0.65537196,
7437,0,0,0.58556855,
5794,0,0,0.6958356,
7720,1,0,0.5911446,
4148,0,0,0.5679766,
7445,1,0,0.5680747,
5765,0,0,0.7099605,
7629,0,0,0.71389496,
4307,0,0,0.6263557,
4190,1,0,0.6231356,
4158,0,0,0.6664466,
5608,0,0,0.5884733,
7457,0,0,0.5732918,
5188,0,0,0.6044877,
7510,1,0,0.5769801,
5659,0,0,0.71544206,
967,0,0,0.6614895,
5649,0,0,0.66780823,
5745,0,0,0.69295305,
4266,1,0,0.62140375,
5767,0,0,0.6849014,
4286,0,0,0.61771554,
3891,0,0,0.6228658,
7735,1,0,0.5072579,
4240,1,0,0.61129117,
8215,0,0,0.7070102,
4316,0,0,0.6151636,
4269,1,0,0.5625121,
3893,0,0,0.5990673,
4287,1,0,0.51097673,
7465,1,0,0.6219524,
5598,0,0,0.6184913,
7602,1,0,0.6518529,
5566,0,0,0.60613966,
4303,0,0,0.696355,
5623,0,0,0.583199,
59,0,0,0.65017396,
5169,0,0,0.6682577,
4257,0,0,0.56147605,
5807,0,0,0.7114795,
5133,1,0,0.67778236,
4138,1,0,0.6554099,
23,1,0,0.556216,
5692,0,0,0.67308027,
7416,0,0,0.72158146,
5592,0,0,0.58676255,
5155,0,0,0.6329286,
4211,1,1,0.60399836,
5731,0,0,0.7027233,
4331,0,0,0.52488905,
5533,1,0,0.5409307,
5688,0,0,0.7169459,
4119,0,0,0.6824464,
5632,0,0,0.6446569,
8223,0,0,0.731458,
7415,0,0,0.65087616,
7493,1,0,0.5530459,
5813,1,0,0.68980336,
8232,0,0,0.6818617,
4339,0,0,0.6281524,
49,1,0,0.5854177,
4109,1,0,0.5861176,
7714,1,0,0.62759596,
7451,0,0,0.6623567,
955,0,0,0.67814356,
5684,1,0,0.6583886,
10,1,0,0.6398547,
5640,1,0,0.57569355,
4172,1,0,0.6420449,
5785,0,0,0.6910868,
5650,0,0,0.6695522,
7741,1,0,0.5415736,
5165,1,0,0.5815689,
7352,0,0,0.5920329,
7639,0,0,0.6751659,
7581,1,0,0.7047467,
7613,1,0,0.68761325,
975,1,1,0.50555533,
962,0,0,0.62346035,
5550,0,0,0.66718984,
7695,1,0,0.6826631,
7328,0,0,0.62856966,
7706,1,0,0.5199143,
5695,0,0,0.6754115,
4272,1,0,0.6342069,
4245,0,0,0.6179351,
7507,0,0,0.63174474,
4279,0,0,0.66890925,
4289,0,0,0.7177893,
5156,0,0,0.6028452,
5768,0,0,0.7011253,
5541,0,0,0.61641294,
5554,0,0,0.6412695,
4288,0,0,0.6080825,
5200,0,0,0.6445842,
957,1,0,0.597814,
7356,1,1,0.5008205,
5163,0,0,0.6870966,
4276,0,0,0.58872044,
5600,0,0,0.5953032,
4198,1,0,0.60760385,
39,0,0,0.651619,
30,0,0,0.7040355,
7358,1,0,0.5775394,
4101,0,0,0.58580464,
54,0,0,0.7040335,
7644,0,0,0.64161,
7654,1,0,0.6225402,
5634,1,0,0.6558805,
7732,0,0,0.6462261,
7670,1,1,0.5031266,
3,1,0,0.5233129,
7678,1,0,0.5826102,
4224,0,0,0.64209443,
7679,1,0,0.6194017,
7540,1,0,0.5159201,
7324,0,0,0.68399674,
7417,1,0,0.5805297,
4154,0,0,0.66745734,
58,1,1,0.5362528,
63,0,0,0.66829467,
5531,0,0,0.5929042,
4313,0,0,0.5859659,
997,1,1,0.50298035,
5607,0,0,0.59753144,
8251,0,0,0.64815485,
4195,0,0,0.6587728,
5583,0,0,0.68592024,
4322,0,0,0.70986414,
5804,0,0,0.6558656,
4217,0,0,0.62179005,
4299,1,0,0.5544034,
4312,0,0,0.5904047,
4330,0,0,0.53226244,
4253,0,0,0.6821606,
66,0,0,0.6923028,
4260,0,0,0.61326015,
67,1,0,0.6331734,
5624,0,0,0.59043145,
12,0,0,0.6926271,
7333,1,0,0.64241797,
5679,0,0,0.5254996,
5537,1,0,0.66462874,
5637,1,0,0.67623407,
5702,0,0,0.6805321,
5805,0,0,0.68985635,
4164,1,0,0.6357617,
4292,1,0,0.6306341,
7359,1,0,0.6475232,
5751,0,0,0.6165463,
7685,0,0,0.56337154,
4179,1,1,0.5590611,
7317,0,0,0.6814073,
7335,0,1,0.50650537,
7472,1,0,0.50908333,
4326,1,0,0.5651858,
5729,0,0,0.67257506,
2,0,0,0.6094743,
5586,0,0,0.70025325,
5655,0,0,0.68563133,
5661,0,0,0.6972976,
7490,1,0,0.6152778,
4188,1,0,0.5979628,
7516,0,0,0.6775981,
8218,0,0,0.6884476,
7468,0,0,0.6482023,
8217,0,0,0.68345904,
5152,0,0,0.62457436,
5180,0,0,0.5773678,
5268,1,0,0.65907556,
5735,0,0,0.7281232,
5587,0,0,0.6232558,
4278,1,0,0.56916046,
5683,0,0,0.6890278,
5677,1,1,0.55073154,
8230,0,0,0.57801896,
8233,0,0,0.64087003,
4223,0,0,0.63181984,
7439,1,0,0.5721306,
7526,1,0,0.61577755,
7650,0,0,0.63588935,
4227,0,0,0.68265903,
7683,1,0,0.58736557,
7707,1,0,0.617482,
3890,1,0,0.6206703,
5697,0,0,0.6313184,
55,0,0,0.5599613,
4193,0,0,0.59592336,
4046,0,0,0.6105228,
5179,1,0,0.57455754,
25,0,0,0.7214324,
951,1,0,0.5624409,
7511,0,0,0.65241677,
44,1,0,0.6296278,
5694,0,0,0.6202526,
5778,0,0,0.6589886,
7500,1,0,0.55464655,
5809,0,0,0.63687587,
7708,1,0,0.6152006,
7460,0,0,0.6540116,
5646,0,0,0.6921595,
7414,0,0,0.62822276,
4324,0,0,0.54683375,
4301,1,1,0.50944966,
7649,0,0,0.6947379,
5205,0,0,0.6219873,
7674,0,0,0.6022902,
4236,0,0,0.6033728,
5582,0,0,0.66935974,
7401,0,0,0.6665818,
4189,0,0,0.68525136,
4334,0,0,0.5888709,
8231,1,0,0.62390405,
7698,0,0,0.63039714,
5820,1,0,0.61641234,
5771,0,0,0.6897187,
60,0,0,0.5231095,
5196,1,0,0.56563073,
971,0,0,0.66389555,
7353,0,0,0.54512364,
4255,0,0,0.66972655,
7622,1,0,0.59507847,
5795,0,0,0.6961676,
5703,0,0,0.65861034,
5551,0,0,0.5468933,
4162,0,0,0.55936414,
5717,0,0,0.6861196,
4332,1,1,0.60674125,
3894,0,0,0.70121557,
5135,0,0,0.6282905,
5780,0,0,0.6683092,
7662,1,0,0.54466903,
5543,0,0,0.62713575,
4298,1,0,0.6132123,
4308,0,0,0.6412538,
4241,0,0,0.5555206,
5736,0,0,0.6383889,
5619,0,0,0.6638635,
5635,1,0,0.6870728,
7458,1,1,0.5052267,
4102,1,0,0.5177103,
4311,0,0,0.62585086,
7483,1,0,0.57995284,
5615,0,0,0.5581773,
5727,0,0,0.6751935,
5706,1,0,0.60998243,
29,0,0,0.66266626,
4145,0,0,0.5474074,
4228,0,0,0.6322118,
8213,0,0,0.6942598,
7339,1,0,0.5022183,
7310,1,0,0.5922806,
5186,0,0,0.5473284,
8228,0,0,0.6483288,
