index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
7724,1,0,0.7311,0.31388196
7340,1,1,0.9526,0.9432283
8347,0,0,0.0474,0.073329166
5203,0,0,0.0474,0.027928071
5591,0,0,0.0474,0.395036
5138,1,0,0.9526,0.36021188
4039,0,0,0.2689,0.21047728
5673,0,0,0.2689,0.38725382
7308,1,0,0.9526,0.29632834
7454,1,0,0.7311,0.2636756
7430,1,1,0.9526,0.8923881
7702,1,1,0.9526,0.72060287
70,0,0,0.2689,0.19976987
5563,0,0,0.0474,0.21278693
51,0,0,0.0474,0.12112622
7561,0,0,0.0474,0.17381905
4342,1,1,0.9526,0.8122637
5558,0,0,0.0474,0.09648919
7697,0,0,0.0474,0.05502896
7731,1,1,0.9526,0.54567367
7733,1,1,0.9526,0.5259156
998,0,0,0.2689,0.4483501
5676,0,0,0.0474,0.077456824
4178,0,0,0.2689,0.3146058
7617,1,1,0.9526,0.5771101
7311,1,0,0.9526,0.35461137
5652,1,1,0.9526,0.7741688
5199,0,0,0.0474,0.2572216
7462,0,0,0.0474,0.29132557
4314,1,0,0.9526,0.42532316
7738,0,0,0.0474,0.18990125
7532,0,0,0.0474,0.20798612
5546,0,0,0.0474,0.2857246
965,0,0,0.0474,0.315515
7665,1,1,0.9526,0.64884335
5642,1,1,0.9526,0.78268325
5696,0,0,0.0474,0.09866708
4270,0,1,0.2689,0.88809526
4274,0,0,0.0474,0.38897428
7514,1,0,0.7311,0.34963062
31,0,0,0.0474,0.41800547
7437,0,1,0.2689,0.7957827
5794,0,0,0.0474,0.33913356
7720,1,1,0.9526,0.52478635
4148,0,0,0.0474,0.2515913
7445,1,1,0.9526,0.77459896
5765,0,0,0.0474,0.06494541
7629,0,0,0.0474,0.06234988
4307,0,1,0.2689,0.58007383
4190,1,1,0.9526,0.5894111
4158,0,1,0.2689,0.644137
5608,0,0,0.0474,0.005291799
7457,0,0,0.0474,0.28965434
5188,0,1,0.0474,0.5129191
7510,1,1,0.9526,0.54572743
5659,0,0,0.0474,0.20434783
967,0,0,0.0474,0.29602018
5649,0,0,0.0474,0.3151027
5745,0,0,0.0474,0.36206388
4266,1,0,0.7311,0.38233665
5767,0,1,0.0474,0.52644426
4286,0,1,0.0474,0.6832053
3891,0,0,0.2689,0.39153165
7735,1,1,0.7311,0.95666146
4240,1,0,0.7311,0.47252285
8215,0,0,0.0474,-0.009322433
4316,0,1,0.2689,0.6446787
4269,1,1,0.9526,0.94069475
3893,0,0,0.2689,0.3873092
4287,1,1,0.9526,0.81144047
7465,1,0,0.7311,0.101382114
5598,0,0,0.0474,0.047740538
7602,1,1,0.7311,0.52028763
5566,0,0,0.0474,0.22377482
4303,0,0,0.0474,0.10980792
5623,0,0,0.0474,0.21264149
59,0,0,0.0474,0.2446246
5169,0,0,0.0474,0.47871512
4257,0,1,0.2689,0.63386744
5807,0,0,0.0474,0.16000105
5133,1,0,0.9526,0.35025313
4138,1,0,0.9526,0.24858798
23,1,0,0.7311,0.4869631
5692,0,0,0.2689,0.042593196
7416,0,0,0.0474,0.11714216
5592,0,0,0.0474,0.21232848
5155,0,0,0.0474,0.16227448
4211,1,1,0.9526,0.87105703
5731,0,0,0.0474,0.20253514
4331,0,1,0.2689,0.7843365
5533,1,1,0.9526,0.78725934
5688,0,0,0.0474,0.25040781
4119,0,0,0.2689,0.23695739
5632,0,0,0.0474,0.15038183
8223,0,0,0.0474,0.062485687
7415,0,0,0.0474,0.33019236
7493,1,1,0.9526,0.5388093
5813,1,0,0.9526,0.2407028
8232,0,0,0.0474,0.1445709
4339,0,0,0.0474,0.43242127
