index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.7538587,2.3523099422454834
7340,1,1,0.52136093,
8347,0,0,0.6878671,
5203,0,0,0.737875,
5591,0,0,0.7204968,
5138,1,0,0.62110555,
4039,0,0,0.6216436,
5673,0,0,0.6907669,
7308,1,0,0.55888814,
7454,1,0,0.6749226,
7430,1,0,0.6789765,
7702,1,0,0.5177776,
70,0,0,0.783198,
5563,0,0,0.7324347,
51,0,0,0.7543377,
7561,0,0,0.7573627,
4342,1,1,0.7245056,
5558,0,0,0.698051,
7697,0,0,0.70714825,
7731,1,0,0.6739906,
7733,1,0,0.58448786,
998,0,0,0.6363704,
5676,0,0,0.7259841,
4178,0,0,0.68396246,
7617,1,0,0.6529953,
7311,1,0,0.5937771,
5652,1,1,0.6018092,
5199,0,0,0.7803563,
7462,0,0,0.7172466,
4314,1,1,0.64650977,
7738,0,0,0.6796116,
7532,0,0,0.73516,
5546,0,0,0.67934924,
965,0,0,0.68230206,
7665,1,0,0.544263,
5642,1,0,0.6420122,
5696,0,0,0.7379616,
4270,0,1,0.65505874,
4274,0,0,0.7239183,
7514,1,0,0.6493388,
31,0,0,0.716305,
7437,0,0,0.63611716,
5794,0,0,0.6816375,
7720,1,0,0.66788495,
4148,0,0,0.6147887,
7445,1,0,0.5916008,
5765,0,0,0.7514941,
7629,0,0,0.74858516,
4307,0,0,0.7087233,
4190,1,0,0.64292,
4158,0,0,0.7143724,
5608,0,0,0.6170117,
7457,0,0,0.72020435,
5188,0,0,0.61409456,
7510,1,0,0.6074338,
5659,0,0,0.744123,
967,0,0,0.6607415,
5649,0,0,0.7062725,
5745,0,0,0.7602303,
4266,1,1,0.53787345,
5767,0,0,0.75031304,
4286,0,0,0.672455,
3891,0,0,0.56041574,
7735,1,1,0.63329357,
4240,1,0,0.66201246,
8215,0,0,0.73723584,
4316,0,0,0.51186055,
4269,1,0,0.5989856,
3893,0,0,0.6666689,
4287,1,0,0.52106684,
7465,1,0,0.7118383,
5598,0,0,0.6075599,
7602,1,0,0.7214166,
5566,0,0,0.6556867,
4303,0,0,0.6766221,
5623,0,0,0.6667115,
59,0,0,0.7538216,
5169,0,0,0.6190018,
4257,0,0,0.565548,
5807,0,0,0.7091181,
5133,1,0,0.59134114,
4138,1,0,0.7527758,
23,1,0,0.6365145,
5692,0,0,0.7659032,
7416,0,0,0.7296383,
5592,0,1,0.53757465,
5155,0,0,0.7960658,
4211,1,1,0.66625184,
5731,0,0,0.7022478,
4331,0,1,0.6141883,
5533,1,0,0.5046788,
5688,0,0,0.8227139,
4119,0,0,0.7402066,
5632,0,0,0.65011007,
8223,0,0,0.7661558,
7415,0,0,0.5807263,
7493,1,0,0.6158216,
5813,1,0,0.73813623,
8232,0,0,0.7039563,
4339,0,0,0.6414652,
49,1,0,0.6540323,
4109,1,0,0.56014025,
7714,1,0,0.6664001,
7451,0,0,0.6503578,
955,0,0,0.7688615,
5684,1,0,0.68882143,
10,1,0,0.6719595,
5640,1,1,0.50951886,
4172,1,0,0.6633598,
5785,0,0,0.76810706,
5650,0,0,0.72386557,
7741,1,0,0.5870921,
5165,1,0,0.5706666,
7352,0,0,0.60671985,
7639,0,0,0.6798108,
7581,1,0,0.7702801,
7613,1,0,0.72841203,
975,1,1,0.5544864,
962,0,0,0.67910886,
5550,0,0,0.68988454,
7695,1,0,0.7481722,
7328,0,0,0.7046474,
7706,1,1,0.5237629,
5695,0,0,0.6680743,
4272,1,0,0.58749944,
4245,0,0,0.58494556,
7507,0,0,0.66794467,
4279,0,0,0.62962306,
4289,0,0,0.7445336,
5156,0,0,0.69334906,
5768,0,0,0.7456595,
5541,0,0,0.6072497,
5554,0,0,0.7282518,
4288,0,0,0.65668774,
5200,0,0,0.6819514,
957,1,1,0.5053982,
7356,1,0,0.5043805,
5163,0,0,0.764988,
4276,0,0,0.56799716,
5600,0,0,0.6463475,
4198,1,0,0.5082289,
39,0,0,0.62603784,
30,0,0,0.7420953,
7358,1,0,0.50439334,
4101,0,0,0.6341446,
54,0,0,0.71830606,
7644,0,0,0.68174154,
7654,1,0,0.66625655,
5634,1,0,0.5621043,
7732,0,0,0.5253023,
7670,1,0,0.5243079,
3,1,0,0.55468833,
7678,1,0,0.5389312,
4224,0,0,0.6914757,
