index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
7724,1,0,0.7311,0.39434838
7340,1,1,0.9526,0.5422264
8347,0,0,0.0474,0.34837466
5203,0,0,0.0474,0.092550986
5591,0,0,0.0474,0.39542478
5138,1,0,0.9526,0.40935218
4039,0,0,0.2689,0.43087903
5673,0,0,0.2689,0.26442945
7308,1,0,0.9526,0.35770506
7454,1,0,0.7311,0.35015804
7430,1,1,0.9526,0.86326426
7702,1,1,0.9526,0.5718783
70,0,0,0.2689,0.04576044
5563,0,0,0.0474,0.11873827
51,0,0,0.0474,0.1036654
7561,0,0,0.0474,0.07732121
4342,1,1,0.9526,0.86963224
5558,0,0,0.0474,0.12087865
7697,0,0,0.0474,-0.028535645
7731,1,1,0.9526,0.6648281
7733,1,1,0.9526,0.60164154
998,0,0,0.2689,0.20677355
5676,0,0,0.0474,0.17398119
4178,0,0,0.2689,0.19453403
7617,1,0,0.9526,0.39802232
7311,1,0,0.9526,0.18381192
5652,1,1,0.9526,0.69201547
5199,0,0,0.0474,0.24404988
7462,0,0,0.0474,0.41046885
4314,1,1,0.9526,0.5562147
7738,0,0,0.0474,0.33708453
7532,0,0,0.0474,0.12803848
5546,0,0,0.0474,0.11165702
965,0,0,0.0474,0.09747533
7665,1,1,0.9526,0.7147503
5642,1,1,0.9526,0.8398058
5696,0,0,0.0474,0.098501764
4270,0,1,0.2689,0.62303495
4274,0,0,0.0474,0.2319631
7514,1,0,0.7311,0.22676684
31,0,0,0.0474,0.10155944
7437,0,0,0.2689,0.41605973
5794,0,0,0.0474,0.2440116
7720,1,1,0.9526,0.78519547
4148,0,0,0.0474,0.25154614
7445,1,1,0.9526,0.6692115
5765,0,0,0.0474,0.06714019
7629,0,0,0.0474,0.09140336
4307,0,0,0.2689,0.21369843
4190,1,0,0.9526,0.34672418
4158,0,0,0.2689,0.15752876
5608,0,0,0.0474,0.09362397
7457,0,1,0.0474,0.6111396
5188,0,0,0.0474,0.49350786
7510,1,1,0.9526,0.6055538
5659,0,0,0.0474,0.25294095
967,0,0,0.0474,0.17268056
5649,0,0,0.0474,0.21500185
5745,0,0,0.0474,0.13087466
4266,1,0,0.7311,0.23200463
5767,0,0,0.0474,0.19487596
4286,0,0,0.0474,0.3207367
3891,0,1,0.2689,0.5993703
7735,1,1,0.7311,1.1634862
4240,1,0,0.7311,0.14275765
8215,0,0,0.0474,0.05689864
4316,0,1,0.2689,0.5186608
4269,1,1,0.9526,0.7219018
3893,0,1,0.2689,0.5549148
4287,1,0,0.9526,0.49478972
7465,1,0,0.7311,0.25465998
5598,0,0,0.0474,0.19147334
7602,1,0,0.7311,0.14258666
5566,0,0,0.0474,0.24294558
4303,0,0,0.0474,0.1122838
5623,0,0,0.0474,0.123828635
59,0,0,0.0474,0.21994644
5169,0,0,0.0474,0.2862247
4257,0,0,0.2689,0.42482162
5807,0,0,0.0474,0.121942155
5133,1,0,0.9526,0.3816938
4138,1,0,0.9526,0.104107715
23,1,0,0.7311,0.2766301
5692,0,0,0.2689,0.13120225
7416,0,0,0.0474,0.051543232
5592,0,0,0.0474,0.210936
5155,0,0,0.0474,0.14129876
4211,1,0,0.9526,0.42018527
5731,0,0,0.0474,0.3614207
4331,0,1,0.2689,0.87193996
5533,1,1,0.9526,0.764599
5688,0,0,0.0474,0.08150933
4119,0,0,0.2689,0.124003924
5632,0,0,0.0474,0.37991533
8223,0,0,0.0474,0.1497866
7415,0,0,0.0474,0.4055588
7493,1,0,0.9526,0.32895678
5813,1,0,0.9526,0.27597934
8232,0,0,0.0474,0.09705862
4339,0,0,0.0474,0.23014998
49,1,0,0.9526,0.22922312
4109,1,0,0.9526,0.23990372
7714,1,1,0.9526,0.5773097
7451,0,0,0.0474,0.12917674
955,0,0,0.0474,0.12569976
5684,1,0,0.9526,0.22870636
10,1,0,0.7311,0.32649547
5640,1,1,0.9526,0.5051563
4172,1,1,0.7311,0.56438476
5785,0,0,0.0474,0.2691099
5650,0,0,0.0474,0.16663049
7741,1,1,0.7311,0.99347246
5165,1,1,0.9526,1.0334027
7352,0,1,0.2689,0.58254933
7639,0,0,0.0474,0.020665582
7581,1,0,0.7311,0.16723277
7613,1,0,0.9526,0.33730948
975,1,0,0.9526,0.46805906
962,0,0,0.0474,0.15058215
5550,0,0,0.0474,0.15016532
7695,1,0,0.7311,0.12908135
7328,0,0,0.0474,0.4942465
7706,1,1,0.9526,0.7121926
5695,0,0,0.0474,0.16330788
4272,1,0,0.9526,0.2122156
4245,0,0,0.0474,0.25175923
7507,0,0,0.2689,0.09450771
4279,0,0,0.0474,0.15004687
4289,0,0,0.0474,0.034184217
5156,0,1,0.2689,0.73139817
5768,0,0,0.0474,0.07742261
5541,0,1,0.0474,0.9479851
5554,0,0,0.0474,0.3251923
4288,0,0,0.2689,0.3944133
5200,0,0,0.0474,0.17790666
957,1,1,0.9526,0.60865325
7356,1,0,0.9526,0.40414834
5163,0,0,0.0474,0.16071068
4276,0,0,0.2689,0.31016105
5600,0,0,0.0474,0.11657528
4198,1,0,0.9526,0.3273529
39,0,0,0.2689,0.48222235
30,0,0,0.0474,0.030773247
7358,1,1,0.9526,0.7057465
4101,0,0,0.0474,0.070358224
54,0,0,0.0474,0.29875544
7644,0,0,0.0474,0.2544741
7654,1,0,0.9526,0.42520905
5634,1,0,0.9526,0.3517387
7732,0,0,0.0474,0.198438
7670,1,1,0.9526,0.563068
3,1,1,0.7311,0.62034947
7678,1,1,0.9526,0.5986505
4224,0,0,0.0474,0.12034269
7679,1,0,0.9526,0.22775443
7540,1,1,0.9526,0.6425942
7324,0,0,0.0474,0.1402105
7417,1,0,0.9526,0.4320983
4154,0,0,0.0474,0.005007372
58,1,1,0.9526,0.85407424
63,0,0,0.0474,0.1604016
5531,0,0,0.0474,0.1546158
4313,0,0,0.2689,0.41130528
997,1,1,0.9526,0.7323224
5607,0,0,0.0474,0.20662434
8251,0,0,0.0474,0.30387548
4195,0,0,0.0474,0.09429131
5583,0,0,0.0474,0.21121405
4322,0,0,0.0474,0.03535151
5804,0,0,0.0474,0.14012563
4217,0,0,0.0474,0.13843189
4299,1,1,0.7311,0.5900202
4312,0,0,0.2689,0.49507618
4330,0,1,0.2689,0.59192735
4253,0,0,0.0474,0.12730752
66,0,0,0.0474,0.1535709
4260,0,0,0.0474,0.41849822
67,1,0,0.9526,0.30349293
5624,0,0,0.0474,0.19646914
12,0,0,0.0474,0.1573218
7333,1,1,0.9526,0.59588236
5679,0,1,0.2689,0.60787666
5537,1,0,0.7311,0.089367695
5637,1,0,0.9526,0.21974397
5702,0,0,0.0474,0.42733163
5805,0,0,0.2689,0.14644961
4164,1,0,0.7311,0.22294927
4292,1,1,0.7311,0.7331082
7359,1,0,0.9526,0.39970815
5751,0,0,0.0474,0.27974498
7685,0,1,0.2689,0.5679936
4179,1,1,0.9526,0.62763727
7317,0,0,0.0474,0.17614236
7335,0,1,0.2689,0.7069505
7472,1,0,0.9526,0.49266893
4326,1,1,0.9526,0.64271903
5729,0,0,0.2689,0.41587722
2,0,0,0.0474,0.25819853
5586,0,0,0.0474,0.16859323
5655,0,0,0.0474,0.21204646
5661,0,0,0.0474,0.17439437
7490,1,0,0.9526,0.49345556
4188,1,0,0.7311,0.30899158
7516,0,0,0.0474,0.17848867
8218,0,0,0.0474,0.069061436
7468,0,0,0.0474,0.13484631
8217,0,0,0.0474,-0.057167485
5152,0,0,0.0474,0.30162087
5180,0,1,0.0474,0.64304197
5268,1,1,0.9526,0.90465564
5735,0,0,0.0474,0.1385084
5587,0,0,0.0474,0.15542054
4278,1,0,0.7311,0.31806245
5683,0,0,0.0474,0.19622958
5677,1,1,0.9526,1.0049912
8230,0,0,0.0474,0.031192768
8233,0,0,0.0474,0.32174477
4223,0,0,0.0474,0.29204553
7439,1,1,0.9526,0.5490489
7526,1,0,0.7311,0.32486987
7650,0,0,0.0474,0.3798351
4227,0,0,0.0474,0.21606466
7683,1,1,0.9526,0.5289811
7707,1,0,0.9526,-0.019851446
3890,1,0,0.7311,0.3577748
5697,0,0,0.2689,0.2075567
55,0,1,0.0474,0.69154143
4193,0,0,0.0474,0.23577708
4046,0,0,0.0474,0.46821746
5179,1,1,0.7311,0.8165614
25,0,0,0.0474,0.15480353
951,1,1,0.9526,0.65622306
7511,0,0,0.0474,0.23773812
44,1,0,0.7311,0.20793903
5694,0,0,0.0474,0.417624
5778,0,0,0.0474,0.28634247
7500,1,1,0.9526,0.5389446
5809,0,1,0.2689,0.6628457
7708,1,0,0.9526,0.2656841
7460,0,0,0.0474,0.3430642
5646,0,0,0.0474,0.34897384
7414,0,0,0.0474,0.24994704
4324,0,1,0.2689,0.8914688
4301,1,1,0.7311,0.7174844
7649,0,0,0.0474,0.121082895
5205,0,0,0.2689,0.35606194
7674,0,0,0.0474,0.47562265
4236,0,0,0.2689,0.261672
5582,0,0,0.0474,0.112311654
7401,0,0,0.0474,0.190803
4189,0,0,0.0474,0.08427613
