index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.8101527,1.6347395181655884
7340,1,1,0.86092067,
8347,0,1,0.5047063,
5203,0,0,0.85411084,
5591,0,0,0.5490402,
5138,1,0,0.6418037,
4039,0,1,0.53205305,
5673,0,0,0.78219193,
7308,1,1,0.50146836,
7454,1,0,0.82248497,
7430,1,1,0.8274008,
7702,1,1,0.65030986,
70,0,0,0.8082395,
5563,0,0,0.8370249,
51,0,0,0.68790144,
7561,0,0,0.9196856,
4342,1,1,0.78635275,
5558,0,1,0.5430128,
7697,0,0,0.8398243,
7731,1,1,0.71019804,
7733,1,0,0.6027586,
998,0,0,0.79482585,
5676,0,0,0.7500815,
4178,0,0,0.5697447,
7617,1,0,0.70906645,
7311,1,0,0.7931617,
5652,1,1,0.78251374,
5199,0,1,0.538065,
7462,0,0,0.68175673,
4314,1,0,0.802991,
7738,0,0,0.8036362,
7532,0,0,0.72031635,
5546,0,0,0.7998922,
965,0,0,0.7704108,
7665,1,1,0.6982512,
5642,1,1,0.7505187,
5696,0,0,0.5905079,
4270,0,1,0.7253999,
4274,0,0,0.8366065,
7514,1,0,0.8421839,
31,0,0,0.6472141,
7437,0,1,0.5287692,
5794,0,0,0.75671107,
7720,1,1,0.5369763,
4148,0,1,0.53544337,
7445,1,1,0.5924795,
5765,0,0,0.81350726,
7629,0,0,0.84375656,
4307,0,0,0.57847375,
4190,1,0,0.53889555,
4158,0,0,0.84430206,
5608,0,0,0.6605999,
7457,0,0,0.53173554,
5188,0,1,0.6839529,
7510,1,0,0.5774985,
5659,0,0,0.7580002,
967,0,0,0.7691087,
5649,0,0,0.78653294,
5745,0,0,0.74152505,
4266,1,0,0.7766853,
5767,0,0,0.77519083,
4286,0,0,0.8010327,
3891,0,1,0.67720175,
7735,1,1,0.78611225,
4240,1,0,0.752485,
8215,0,0,0.8035905,
4316,0,1,0.6807895,
4269,1,0,0.68112904,
3893,0,0,0.5921176,
4287,1,1,0.77969724,
7465,1,0,0.69922656,
5598,0,0,0.8151421,
7602,1,0,0.8132977,
5566,0,0,0.7811945,
4303,0,0,0.83362925,
5623,0,0,0.6307383,
59,0,0,0.84112966,
5169,0,0,0.82944846,
4257,0,1,0.666185,
5807,0,0,0.77962923,
5133,1,0,0.5316613,
4138,1,0,0.8279303,
23,1,0,0.509118,
5692,0,0,0.6367239,
7416,0,0,0.9031775,
5592,0,1,0.803338,
5155,0,0,0.7808609,
4211,1,1,0.7781983,
5731,0,0,0.85816664,
4331,0,1,0.7938273,
5533,1,1,0.71797335,
5688,0,0,0.73621464,
4119,0,0,0.861016,
5632,0,0,0.8055101,
8223,0,0,0.9022113,
7415,0,0,0.5188426,
7493,1,0,0.53737384,
5813,1,0,0.85916513,
8232,0,0,0.8836497,
4339,0,0,0.8664405,
49,1,0,0.5097467,
4109,1,1,0.74003947,
7714,1,1,0.75452566,
7451,0,0,0.82327724,
955,0,0,0.76798105,
5684,1,0,0.7581387,
10,1,1,0.5033813,
5640,1,1,0.5145482,
4172,1,0,0.7598805,
5785,0,0,0.78200334,
5650,0,0,0.7956696,
7741,1,1,0.8574078,
5165,1,1,0.6886774,
7352,0,1,0.68824124,
7639,0,0,0.85720295,
7581,1,0,0.8095958,
7613,1,0,0.83598,
975,1,1,0.65322703,
962,0,0,0.77267265,
5550,0,0,0.84108454,
7695,1,0,0.82945937,
7328,0,1,0.66792643,
7706,1,1,0.7354702,
5695,0,0,0.8001108,
4272,1,0,0.8891462,
4245,0,1,0.5130936,
7507,0,0,0.7842975,
4279,0,0,0.7657565,
4289,0,0,0.86004233,
5156,0,1,0.54406387,
5768,0,0,0.8343141,
5541,0,1,0.7046795,
5554,0,0,0.8704151,
4288,0,0,0.6698037,
5200,0,0,0.881635,
957,1,1,0.7094774,
7356,1,1,0.8727008,
5163,0,0,0.8650304,
4276,0,0,0.71900517,
5600,0,0,0.81717443,
4198,1,0,0.5897948,
39,0,0,0.6589163,
30,0,0,0.85526705,
7358,1,1,0.75424886,
4101,0,0,0.668198,
54,0,0,0.5222777,
7644,0,0,0.704347,
7654,1,0,0.55692416,
5634,1,1,0.5234391,
7732,0,0,0.7100703,
7670,1,1,0.5925261,
3,1,1,0.6872552,
7678,1,1,0.588357,
4224,0,0,0.79380906,
7679,1,1,0.58524877,
7540,1,1,0.74676496,
7324,0,0,0.81156266,
7417,1,1,0.8460485,
4154,0,0,0.76974475,
58,1,1,0.79644865,
63,0,0,0.8110788,
5531,0,0,0.5696735,
4313,0,1,0.73473024,
997,1,1,0.7903928,
5607,0,0,0.7689009,
8251,0,1,0.64804804,
4195,0,0,0.85539126,
5583,0,0,0.8344285,
4322,0,0,0.8282976,
5804,0,0,0.8153845,
4217,0,0,0.82493794,
4299,1,1,0.7308508,
4312,0,1,0.75375944,
4330,0,1,0.61283714,
4253,0,0,0.86526847,
66,0,0,0.88205403,
4260,0,0,0.55291235,
67,1,1,0.5115405,
5624,0,0,0.66364783,
12,0,0,0.75917184,
7333,1,0,0.5350057,
5679,0,1,0.8384256,
5537,1,0,0.8948547,
5637,1,0,0.8448002,
5702,0,0,0.76741546,
5805,0,0,0.7064356,
4164,1,1,0.7906438,
4292,1,1,0.50111985,
7359,1,0,0.8084334,
5751,0,0,0.6660682,
7685,0,1,0.6288932,
4179,1,1,0.8367173,
7317,0,0,0.8064155,
7335,0,1,0.8523378,
7472,1,1,0.52285063,
4326,1,1,0.71995854,
5729,0,0,0.6197306,
2,0,0,0.5291477,
5586,0,0,0.8488645,
5655,0,1,0.60741997,
5661,0,0,0.82678986,
7490,1,1,0.62975913,
4188,1,1,0.56263316,
7516,0,0,0.7139325,
8218,0,0,0.8713808,
7468,0,0,0.7641008,
8217,0,0,0.84117097,
5152,0,1,0.62156504,
5180,0,0,0.5421035,
5268,1,1,0.7213669,
5735,0,0,0.94561315,
5587,0,0,0.7460002,
4278,1,1,0.7520203,
5683,0,0,0.8626757,
5677,1,1,0.8553955,
8230,0,0,0.6749688,
8233,0,0,0.7236799,
4223,0,0,0.8277033,
7439,1,1,0.5660613,
7526,1,0,0.636067,
7650,0,1,0.6690211,
4227,0,0,0.84025514,
7683,1,0,0.6346069,
7707,1,1,0.5132887,
3890,1,0,0.63028795,
5697,0,0,0.5832386,
55,0,1,0.81358355,
4193,0,0,0.6017889,
4046,0,1,0.6286029,
5179,1,1,0.762857,
25,0,0,0.8787939,
951,1,1,0.8754147,
7511,0,0,0.56303227,
44,1,0,0.65446645,
5694,0,1,0.5715879,
5778,0,0,0.641492,
7500,1,1,0.5851495,
5809,0,1,0.5794441,
7708,1,1,0.5343077,
7460,0,0,0.6485129,
5646,0,0,0.5511009,
7414,0,0,0.872288,
4324,0,1,0.7244081,
4301,1,1,0.7379109,
7649,0,0,0.8190992,
5205,0,0,0.5745099,
7674,0,0,0.7318042,
4236,0,1,0.6976553,
5582,0,0,0.8344763,
7401,0,0,0.8285833,
4189,0,0,0.8505184,
4334,0,1,0.7121065,
8231,1,1,0.6442487,
7698,0,1,0.592676,
5820,1,1,0.6999861,
5771,0,0,0.78671616,
60,0,1,0.7658451,
5196,1,1,0.7146272,
971,0,0,0.73065037,
7353,0,1,0.6420441,
4255,0,0,0.85508037,
7622,1,0,0.7213312,
5795,0,0,0.8156048,
5703,0,0,0.8017139,
5551,0,0,0.58439237,
4162,0,0,0.7443111,
5717,0,0,0.7581676,
4332,1,1,0.85900444,
3894,0,0,0.7173202,
5135,0,0,0.67323947,
5780,0,0,0.50047034,
7662,1,1,0.56191087,
5543,0,0,0.65641725,
4298,1,1,0.6873583,
4308,0,1,0.5501508,
4241,0,1,0.8216059,
5736,0,0,0.6214572,
5619,0,0,0.77068895,
5635,1,0,0.6330775,
7458,1,1,0.8784395,
4102,1,1,0.8434339,
4311,0,1,0.73353225,
7483,1,1,0.5744686,
