index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.6553682,4.230552673339844
7340,1,1,0.5330484,
8347,0,0,0.62992144,
5203,0,0,0.71054476,
5591,0,0,0.57102776,
5138,1,0,0.68082744,
4039,0,0,0.6140843,
5673,0,0,0.68439996,
7308,1,0,0.6090012,
7454,1,0,0.65341485,
7430,1,0,0.56429726,
7702,1,0,0.5870756,
70,0,0,0.69018024,
5563,0,0,0.6757947,
51,0,0,0.6661172,
7561,0,0,0.7117191,
4342,1,0,0.62197834,
5558,0,0,0.5707401,
7697,0,0,0.6903055,
7731,1,0,0.5739687,
7733,1,0,0.624084,
998,0,0,0.6255339,
5676,0,0,0.6964622,
4178,0,0,0.5975921,
7617,1,0,0.5999742,
7311,1,0,0.65857404,
5652,1,0,0.56734324,
5199,0,0,0.58736795,
7462,0,0,0.6853404,
4314,1,0,0.60682243,
7738,0,0,0.6156943,
7532,0,0,0.5287336,
5546,0,0,0.6458031,
965,0,0,0.6802574,
7665,1,1,0.5055827,
5642,1,0,0.5846753,
5696,0,0,0.6946259,
4270,0,0,0.54028255,
4274,0,0,0.713652,
7514,1,0,0.6750075,
31,0,0,0.6491244,
7437,0,0,0.58916664,
5794,0,0,0.6248305,
7720,1,0,0.5455964,
4148,0,0,0.6286232,
7445,1,0,0.56798387,
5765,0,0,0.69755507,
7629,0,0,0.69220155,
4307,0,0,0.6492932,
4190,1,0,0.62533224,
4158,0,0,0.683611,
5608,0,0,0.6185484,
7457,0,0,0.6541491,
5188,0,0,0.5498631,
7510,1,0,0.6436582,
5659,0,0,0.64267945,
967,0,0,0.6489017,
5649,0,0,0.6503115,
5745,0,0,0.6794421,
4266,1,0,0.62023693,
5767,0,0,0.6969402,
4286,0,0,0.68943405,
3891,0,0,0.5791456,
7735,1,0,0.6067628,
4240,1,0,0.66455317,
8215,0,0,0.6963881,
4316,0,0,0.5964469,
4269,1,0,0.6587236,
3893,0,0,0.59355456,
4287,1,0,0.56902176,
7465,1,0,0.67969584,
5598,0,0,0.6199505,
7602,1,0,0.71504015,
5566,0,0,0.61497563,
4303,0,0,0.65524584,
5623,0,0,0.5548193,
59,0,0,0.63228893,
5169,0,0,0.5556148,
4257,0,0,0.6432414,
5807,0,0,0.68424606,
5133,1,0,0.6675426,
4138,1,0,0.6939072,
23,1,0,0.55735254,
5692,0,0,0.61443937,
7416,0,0,0.6846901,
5592,0,0,0.57072,
5155,0,0,0.6000532,
4211,1,0,0.5458173,
5731,0,0,0.71086264,
4331,0,0,0.5722171,
5533,1,0,0.54475707,
5688,0,0,0.6520259,
4119,0,0,0.7326734,
5632,0,0,0.65466094,
8223,0,0,0.70989037,
7415,0,0,0.58951014,
7493,1,0,0.6188036,
5813,1,0,0.67084414,
8232,0,0,0.66731083,
4339,0,0,0.6613694,
49,1,0,0.61672497,
4109,1,0,0.5895159,
7714,1,1,0.5419788,
7451,0,0,0.69369304,
955,0,0,0.66870886,
5684,1,0,0.6525626,
10,1,0,0.5812032,
5640,1,0,0.6435016,
4172,1,0,0.70243484,
5785,0,0,0.67766637,
5650,0,0,0.66855717,
7741,1,0,0.5399346,
5165,1,1,0.5075086,
7352,0,0,0.5958487,
7639,0,0,0.69057435,
7581,1,0,0.65636486,
7613,1,0,0.6762927,
975,1,0,0.6150198,
962,0,0,0.60125923,
5550,0,0,0.68567306,
7695,1,0,0.7126737,
7328,0,0,0.62912077,
7706,1,1,0.50543505,
5695,0,0,0.6763163,
4272,1,0,0.68434364,
4245,0,0,0.60320574,
7507,0,0,0.6659434,
4279,0,0,0.70527834,
4289,0,0,0.69036734,
5156,0,0,0.58443505,
5768,0,0,0.6870565,
5541,0,0,0.525171,
5554,0,0,0.6527173,
4288,0,0,0.6867801,
5200,0,0,0.72382236,
957,1,0,0.61298835,
7356,1,1,0.52112544,
5163,0,0,0.6910302,
4276,0,0,0.68492424,
5600,0,0,0.67295134,
4198,1,0,0.5680581,
39,0,1,0.539227,
30,0,0,0.6347606,
7358,1,1,0.51877016,
4101,0,0,0.5474941,
54,0,0,0.6578634,
7644,0,0,0.58965176,
7654,1,0,0.5340216,
5634,1,0,0.5835237,
7732,0,0,0.52922416,
7670,1,0,0.59031755,
3,1,0,0.58009636,
7678,1,0,0.618975,
4224,0,0,0.62715024,
7679,1,0,0.5886957,
7540,1,0,0.6367389,
7324,0,0,0.6495845,
7417,1,0,0.51489735,
4154,0,0,0.7228045,
58,1,1,0.5041003,
63,0,0,0.69489014,
5531,0,0,0.61985207,
4313,0,0,0.58621275,
997,1,0,0.52054375,
5607,0,0,0.61945707,
8251,0,0,0.66618913,
4195,0,0,0.7215712,
5583,0,0,0.6495946,
4322,0,0,0.64544266,
5804,0,0,0.7087486,
4217,0,0,0.710304,
4299,1,0,0.52687466,
4312,0,0,0.60270685,
4330,0,0,0.64896226,
4253,0,0,0.61128235,
66,0,0,0.7179028,
4260,0,0,0.6125873,
67,1,0,0.5849589,
5624,0,0,0.63648766,
12,0,0,0.5975991,
7333,1,0,0.5855269,
5679,0,0,0.5459157,
5537,1,0,0.690562,
5637,1,0,0.6864297,
5702,0,0,0.6123225,
5805,0,0,0.61112684,
4164,1,0,0.5807385,
4292,1,0,0.61178344,
7359,1,0,0.6847299,
5751,0,0,0.61927104,
7685,0,0,0.58004415,
4179,1,0,0.5134924,
7317,0,0,0.6363024,
7335,0,0,0.5535684,
7472,1,0,0.5994405,
4326,1,0,0.55663466,
5729,0,0,0.6194064,
2,0,0,0.58748883,
5586,0,0,0.66673213,
5655,0,0,0.6197597,
5661,0,0,0.6832063,
7490,1,0,0.63581634,
4188,1,0,0.63833743,
7516,0,0,0.6431209,
8218,0,0,0.7190831,
7468,0,0,0.6472482,
8217,0,0,0.6574146,
5152,0,0,0.64397836,
5180,0,0,0.6807158,
5268,1,0,0.5910826,
5735,0,0,0.6824554,
5587,0,0,0.64139307,
4278,1,0,0.5745382,
5683,0,0,0.68065083,
5677,1,0,0.52380663,
8230,0,0,0.6548633,
8233,0,0,0.6754084,
4223,0,0,0.6987162,
7439,1,0,0.60934806,
7526,1,0,0.6409709,
7650,0,0,0.6492185,
4227,0,0,0.7312463,
7683,1,0,0.5632237,
7707,1,0,0.50980806,
3890,1,0,0.64425445,
5697,0,0,0.5680535,
