index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.6516328,2.435267210006714
7340,1,1,0.52882797,
8347,0,0,0.6078342,
5203,0,0,0.6889402,
5591,0,0,0.51925266,
5138,1,0,0.61434096,
4039,0,0,0.58714634,
5673,0,0,0.6144127,
7308,1,0,0.5613827,
7454,1,0,0.64918184,
7430,1,0,0.5097998,
7702,1,0,0.5762084,
70,0,0,0.64256924,
5563,0,0,0.6566266,
51,0,0,0.6030959,
7561,0,0,0.714756,
4342,1,0,0.53200936,
5558,0,0,0.562127,
7697,0,0,0.67661166,
7731,1,0,0.5821925,
7733,1,1,0.50013554,
998,0,0,0.593562,
5676,0,0,0.61682457,
4178,0,0,0.5428486,
7617,1,0,0.56819016,
7311,1,0,0.64724356,
5652,1,0,0.5512551,
5199,0,0,0.6141055,
7462,0,0,0.55513495,
4314,1,0,0.53893214,
7738,0,0,0.67308474,
7532,0,0,0.53108984,
5546,0,0,0.6684067,
965,0,0,0.5733289,
7665,1,1,0.52521664,
5642,1,0,0.58032006,
5696,0,0,0.67740345,
4270,0,1,0.51560146,
4274,0,0,0.7112515,
7514,1,0,0.6147217,
31,0,0,0.6239617,
7437,0,0,0.5467014,
5794,0,0,0.6360521,
7720,1,1,0.55122036,
4148,0,0,0.60716474,
7445,1,1,0.52134377,
5765,0,0,0.6425089,
7629,0,0,0.69422436,
4307,0,0,0.59554917,
4190,1,0,0.6174709,
4158,0,0,0.639279,
5608,0,0,0.56234723,
7457,0,0,0.63625175,
5188,0,0,0.546488,
7510,1,0,0.6194761,
5659,0,0,0.6277149,
967,0,0,0.59606135,
5649,0,0,0.61134285,
5745,0,0,0.65998274,
4266,1,0,0.6247365,
5767,0,0,0.71519524,
4286,0,0,0.6331595,
3891,0,0,0.55216163,
7735,1,0,0.5931916,
4240,1,0,0.5261648,
8215,0,0,0.66854763,
4316,0,0,0.5807633,
4269,1,0,0.6230058,
3893,0,1,0.5257436,
4287,1,0,0.58760536,
7465,1,0,0.5825556,
5598,0,0,0.6313759,
7602,1,0,0.68878525,
5566,0,0,0.5745241,
4303,0,0,0.63668376,
5623,0,0,0.59330344,
59,0,0,0.51411754,
5169,0,0,0.5344926,
4257,0,0,0.6509291,
5807,0,0,0.6408187,
5133,1,0,0.5990653,
4138,1,0,0.63690376,
23,1,0,0.55199975,
5692,0,0,0.5371051,
7416,0,0,0.69046617,
5592,0,0,0.55904347,
5155,0,0,0.54887915,
4211,1,1,0.5036007,
5731,0,0,0.6989626,
4331,0,0,0.54852504,
5533,1,0,0.52901536,
5688,0,0,0.6380468,
4119,0,0,0.71434826,
5632,0,0,0.66159415,
8223,0,0,0.6679916,
7415,0,0,0.6299321,
7493,1,0,0.6160675,
5813,1,0,0.6786722,
8232,0,0,0.6516354,
4339,0,0,0.71806204,
49,1,0,0.6085852,
4109,1,0,0.587626,
7714,1,1,0.5404119,
7451,0,0,0.68829525,
955,0,0,0.6266555,
5684,1,0,0.63374496,
10,1,0,0.5734863,
5640,1,0,0.62588775,
4172,1,0,0.61920506,
5785,0,0,0.5587262,
5650,0,0,0.6842311,
7741,1,0,0.5450626,
5165,1,1,0.5146258,
7352,0,0,0.58170587,
7639,0,0,0.6800705,
7581,1,0,0.6151854,
7613,1,0,0.6986208,
975,1,0,0.579819,
962,0,0,0.6297196,
5550,0,0,0.65528953,
7695,1,0,0.6876347,
7328,0,0,0.619143,
7706,1,1,0.5125995,
5695,0,0,0.65751797,
4272,1,0,0.63211656,
4245,0,0,0.5831792,
7507,0,0,0.6330074,
4279,0,0,0.6833507,
4289,0,0,0.7038286,
5156,0,0,0.55292404,
5768,0,0,0.6632593,
5541,0,0,0.50671935,
5554,0,0,0.621564,
4288,0,0,0.6108661,
5200,0,0,0.75550234,
957,1,0,0.58732635,
7356,1,1,0.5220441,
5163,0,0,0.71017647,
4276,0,0,0.6528744,
5600,0,0,0.6762548,
4198,1,0,0.57106525,
39,0,0,0.5527327,
30,0,0,0.64115125,
7358,1,0,0.5398135,
4101,0,0,0.54906005,
54,0,0,0.63131744,
7644,0,0,0.6240344,
7654,1,0,0.5172248,
5634,1,0,0.57539105,
7732,0,0,0.52142364,
7670,1,0,0.59872144,
3,1,0,0.58953035,
7678,1,0,0.67541826,
4224,0,0,0.63312334,
7679,1,1,0.5249362,
7540,1,1,0.5676575,
7324,0,0,0.66288507,
7417,1,0,0.59867257,
4154,0,0,0.6977354,
58,1,1,0.59277004,
63,0,0,0.63554305,
5531,0,0,0.5961206,
4313,0,0,0.57033795,
997,1,1,0.5326505,
5607,0,0,0.57710683,
8251,0,0,0.6302823,
4195,0,0,0.7452071,
5583,0,0,0.6977215,
4322,0,0,0.6097351,
5804,0,0,0.7068482,
4217,0,0,0.74955755,
4299,1,0,0.5409468,
4312,0,0,0.56657636,
4330,0,0,0.601094,
4253,0,0,0.65621114,
66,0,0,0.6269478,
4260,0,0,0.61926013,
67,1,0,0.5992575,
5624,0,0,0.61189175,
12,0,0,0.6046805,
7333,1,0,0.61066663,
5679,0,0,0.58186644,
5537,1,0,0.6618504,
5637,1,0,0.63757706,
5702,0,0,0.64095867,
5805,0,0,0.644958,
4164,1,1,0.50770265,
4292,1,0,0.6211515,
7359,1,0,0.60873514,
5751,0,0,0.62443906,
7685,0,0,0.5271511,
4179,1,1,0.51584476,
7317,0,0,0.6914888,
7335,0,0,0.57525074,
7472,1,0,0.59911174,
4326,1,0,0.5922418,
5729,0,0,0.6089761,
2,0,0,0.5897902,
5586,0,0,0.6184702,
5655,0,0,0.62292296,
5661,0,0,0.6983409,
7490,1,0,0.6283657,
4188,1,0,0.6471582,
7516,0,0,0.64225024,
8218,0,0,0.5890334,
7468,0,0,0.65962744,
8217,0,0,0.6267753,
5152,0,1,0.5303019,
5180,0,0,0.64003587,
5268,1,0,0.5625824,
5735,0,0,0.62371486,
5587,0,0,0.61801624,
4278,1,0,0.56845766,
5683,0,0,0.6649888,
5677,1,0,0.5130643,
8230,0,0,0.60665834,
8233,0,0,0.64539397,
4223,0,0,0.6789309,
7439,1,0,0.53454626,
7526,1,0,0.6210224,
7650,0,0,0.6512075,
4227,0,0,0.67216516,
7683,1,0,0.61645293,
7707,1,1,0.51738393,
3890,1,0,0.61464757,
5697,0,0,0.6308905,
55,0,0,0.5453709,
4193,0,0,0.6297662,
4046,0,0,0.5372435,
5179,1,0,0.5438603,
25,0,0,0.6795269,
951,1,1,0.52799815,
7511,0,0,0.5385692,
44,1,0,0.6080796,
5694,0,0,0.6471037,
5778,0,0,0.680999,
7500,1,0,0.62277126,
5809,0,0,0.61953956,
7708,1,0,0.6131681,
7460,0,0,0.63066536,
5646,0,0,0.602895,
7414,0,0,0.7194993,
4324,0,0,0.59028983,
4301,1,0,0.582695,
7649,0,0,0.6835497,
5205,0,0,0.55844057,
7674,0,0,0.6333853,
4236,0,0,0.570716,
5582,0,0,0.7081888,
7401,0,0,0.6319523,
4189,0,0,0.75392294,
4334,0,0,0.565515,
8231,1,1,0.55891055,
7698,0,0,0.6212132,
5820,1,1,0.5731598,
5771,0,0,0.63623655,
60,0,0,0.5594859,
5196,1,0,0.5501989,
971,0,0,0.554319,
7353,0,0,0.53866833,
4255,0,0,0.62754005,
7622,1,0,0.5084844,
5795,0,0,0.6517347,
5703,0,0,0.6779763,
5551,0,0,0.5949296,
4162,0,0,0.5869426,
5717,0,0,0.6582966,
4332,1,0,0.5224836,
3894,0,0,0.6175523,
5135,0,0,0.61741865,
5780,0,0,0.5618761,
7662,1,0,0.63980496,
5543,0,0,0.5994463,
4298,1,0,0.6282592,
4308,0,0,0.5968129,
4241,0,1,0.5559657,
5736,0,0,0.60870266,
5619,0,0,0.55094355,
5635,1,0,0.6236108,
7458,1,1,0.5365787,
4102,1,0,0.54254115,
4311,0,0,0.5660813,
7483,1,0,0.6261163,
5615,0,0,0.58909816,
5727,0,0,0.6410657,
5706,1,0,0.580625,
29,0,0,0.59598744,
4145,0,0,0.58399725,
4228,0,0,0.5946725,
8213,0,0,0.68064845,
7339,1,0,0.54130465,
