index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.6416949,3.7980644702911377
7340,1,0,0.5122951,
8347,0,0,0.59659415,
5203,0,0,0.6549055,
5591,0,0,0.5999043,
5138,1,0,0.6072945,
4039,0,0,0.5721155,
5673,0,0,0.64186144,
7308,1,0,0.5785544,
7454,1,0,0.697662,
7430,1,0,0.5969631,
7702,1,0,0.56114817,
70,0,0,0.68526155,
5563,0,0,0.66268027,
51,0,0,0.6491372,
7561,0,0,0.6894283,
4342,1,0,0.5287854,
5558,0,0,0.5585179,
7697,0,0,0.6596501,
7731,1,0,0.6033285,
7733,1,0,0.5757803,
998,0,0,0.64910805,
5676,0,0,0.6147429,
4178,0,0,0.59224707,
7617,1,0,0.6131283,
7311,1,0,0.5657055,
5652,1,0,0.5806718,
5199,0,0,0.6006991,
7462,0,0,0.63251,
4314,1,0,0.5733539,
7738,0,0,0.6533671,
7532,0,0,0.57044035,
5546,0,0,0.6709502,
965,0,0,0.66567504,
7665,1,0,0.54554784,
5642,1,0,0.60207844,
5696,0,0,0.6701369,
4270,0,0,0.55693734,
4274,0,0,0.70252144,
7514,1,0,0.66836375,
31,0,0,0.59038806,
7437,0,0,0.54690254,
5794,0,0,0.59948665,
7720,1,0,0.5834361,
4148,0,0,0.577147,
7445,1,0,0.5712519,
5765,0,0,0.6445189,
7629,0,0,0.6645327,
4307,0,0,0.6323104,
4190,1,0,0.64534974,
4158,0,0,0.6285005,
5608,0,0,0.6477463,
7457,0,0,0.6451012,
5188,0,0,0.573214,
7510,1,0,0.5991226,
5659,0,0,0.66115034,
967,0,0,0.64578116,
5649,0,0,0.63883835,
5745,0,0,0.6815023,
4266,1,0,0.6104436,
5767,0,0,0.687286,
4286,0,0,0.6824391,
3891,0,0,0.5790778,
7735,1,0,0.6339111,
4240,1,0,0.5003511,
8215,0,0,0.638245,
4316,0,0,0.5564972,
4269,1,0,0.648386,
3893,0,0,0.58648944,
4287,1,0,0.59514046,
7465,1,0,0.61960506,
5598,0,0,0.63248426,
7602,1,0,0.6785776,
5566,0,0,0.6193721,
4303,0,0,0.598952,
5623,0,0,0.5947814,
59,0,0,0.59152365,
5169,0,0,0.55472,
4257,0,0,0.5916091,
5807,0,0,0.6916269,
5133,1,0,0.6063935,
4138,1,0,0.68761086,
23,1,0,0.5667242,
5692,0,0,0.6447311,
7416,0,0,0.663404,
5592,0,0,0.57905465,
5155,0,0,0.5859158,
4211,1,0,0.53743184,
5731,0,0,0.6792667,
4331,0,0,0.52939683,
5533,1,0,0.5231506,
5688,0,0,0.6327561,
4119,0,0,0.65782285,
5632,0,0,0.66413593,
8223,0,0,0.7137017,
7415,0,0,0.5992132,
7493,1,0,0.5753622,
5813,1,0,0.66519207,
8232,0,0,0.6922718,
4339,0,0,0.64643115,
49,1,0,0.6143466,
4109,1,0,0.5729973,
7714,1,0,0.5443084,
7451,0,0,0.65703183,
955,0,0,0.664232,
5684,1,0,0.6783335,
10,1,0,0.6104208,
5640,1,0,0.6627043,
4172,1,0,0.6281473,
5785,0,0,0.65516305,
5650,0,0,0.6790928,
7741,1,0,0.54853135,
5165,1,0,0.5515002,
7352,0,0,0.5784183,
7639,0,0,0.6839085,
7581,1,0,0.6419522,
7613,1,0,0.70427686,
975,1,0,0.52738196,
962,0,0,0.5829736,
5550,0,0,0.6499737,
7695,1,0,0.6685619,
7328,0,0,0.6579631,
7706,1,0,0.53607106,
5695,0,0,0.61013985,
4272,1,0,0.6003558,
4245,0,0,0.5751338,
7507,0,0,0.61382306,
4279,0,0,0.68001497,
4289,0,0,0.6868826,
5156,0,0,0.58778554,
5768,0,0,0.6330858,
5541,0,0,0.5759554,
5554,0,0,0.67323196,
4288,0,0,0.66085416,
5200,0,0,0.69467217,
957,1,0,0.5978167,
7356,1,0,0.5240522,
5163,0,0,0.7111902,
4276,0,0,0.66363525,
5600,0,0,0.6538807,
4198,1,0,0.5643959,
39,0,0,0.5874606,
30,0,0,0.65302485,
7358,1,0,0.5207934,
4101,0,0,0.56133467,
54,0,0,0.6687502,
7644,0,0,0.6247038,
7654,1,0,0.57430494,
5634,1,0,0.5746889,
7732,0,0,0.580407,
7670,1,0,0.55677694,
3,1,0,0.6132383,
7678,1,0,0.61710274,
4224,0,0,0.591279,
7679,1,0,0.5600093,
7540,1,0,0.5477142,
7324,0,0,0.68580776,
7417,1,0,0.5612818,
4154,0,0,0.7016719,
58,1,0,0.5350032,
63,0,0,0.677909,
5531,0,0,0.6230791,
4313,0,0,0.54923564,
997,1,0,0.56752497,
5607,0,0,0.60544497,
8251,0,0,0.6522288,
4195,0,0,0.6950537,
5583,0,0,0.64539284,
4322,0,0,0.6456074,
5804,0,0,0.6947936,
4217,0,0,0.6992988,
4299,1,0,0.57902217,
4312,0,0,0.5619727,
4330,0,0,0.5925533,
4253,0,0,0.6376535,
66,0,0,0.6677998,
4260,0,0,0.6463449,
67,1,0,0.5627025,
5624,0,0,0.6053066,
12,0,0,0.5771102,
7333,1,0,0.5944837,
5679,0,0,0.54432595,
5537,1,0,0.67649484,
5637,1,0,0.6976136,
5702,0,0,0.67528766,
5805,0,0,0.56737864,
4164,1,0,0.51487017,
4292,1,0,0.6098695,
7359,1,0,0.57769316,
5751,0,0,0.6186284,
7685,0,0,0.58152425,
4179,1,1,0.53675634,
7317,0,0,0.57058585,
7335,0,0,0.54874057,
7472,1,0,0.56215024,
4326,1,0,0.5647958,
5729,0,0,0.6486853,
2,0,0,0.60118043,
5586,0,0,0.63032126,
5655,0,0,0.6347679,
5661,0,0,0.66747046,
7490,1,0,0.59020275,
4188,1,0,0.64959574,
7516,0,0,0.66834086,
8218,0,0,0.67620283,
7468,0,0,0.6447474,
8217,0,0,0.66568965,
5152,0,0,0.55080295,
5180,0,0,0.64469194,
5268,1,0,0.574588,
5735,0,0,0.6225246,
5587,0,0,0.6365298,
4278,1,0,0.5671887,
