index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.7230561,1.6648530960083008
7340,1,1,0.5329662,
8347,0,0,0.67998415,
5203,0,0,0.7096057,
5591,0,0,0.5892366,
5138,1,0,0.7074585,
4039,0,0,0.50705713,
5673,0,0,0.68308836,
7308,1,0,0.56401074,
7454,1,0,0.72086895,
7430,1,1,0.598173,
7702,1,0,0.52030796,
70,0,0,0.61405355,
5563,0,0,0.73350984,
51,0,0,0.6998988,
7561,0,0,0.76760167,
4342,1,1,0.5579136,
5558,0,1,0.52272725,
7697,0,0,0.74641585,
7731,1,0,0.5863458,
7733,1,0,0.6660571,
998,0,0,0.6613506,
5676,0,0,0.652192,
4178,0,0,0.59273857,
7617,1,0,0.6381251,
7311,1,0,0.63682294,
5652,1,0,0.53799206,
5199,0,0,0.6078239,
7462,0,0,0.6514314,
4314,1,0,0.5808703,
7738,0,0,0.67868173,
7532,0,0,0.6938763,
5546,0,0,0.70803005,
965,0,0,0.7042807,
7665,1,0,0.50856113,
5642,1,0,0.5427972,
5696,0,0,0.7511638,
4270,0,1,0.58469933,
4274,0,0,0.7360743,
7514,1,0,0.71978307,
31,0,0,0.6115598,
7437,0,0,0.57620424,
5794,0,0,0.705461,
7720,1,0,0.580121,
4148,0,0,0.61744285,
7445,1,1,0.5037653,
5765,0,0,0.74022263,
7629,0,0,0.6988387,
4307,0,0,0.6520494,
4190,1,0,0.6668447,
4158,0,0,0.5993251,
5608,0,0,0.5800982,
7457,0,0,0.58223265,
5188,0,0,0.6198476,
7510,1,0,0.63689345,
5659,0,0,0.6726832,
967,0,0,0.67865354,
5649,0,0,0.63638127,
5745,0,0,0.727202,
4266,1,0,0.6860847,
5767,0,0,0.7651904,
4286,0,0,0.61206347,
3891,0,0,0.6107047,
7735,1,0,0.68582773,
4240,1,0,0.63430166,
8215,0,0,0.738852,
4316,0,0,0.53395236,
4269,1,0,0.69104236,
3893,0,0,0.627385,
4287,1,0,0.59108466,
7465,1,0,0.61476207,
5598,0,0,0.70556957,
7602,1,0,0.7987098,
5566,0,0,0.63973665,
4303,0,0,0.6729329,
5623,0,0,0.61271477,
59,0,0,0.7361542,
5169,0,0,0.7349319,
4257,0,0,0.5726621,
5807,0,0,0.7377541,
5133,1,0,0.68251765,
4138,1,0,0.6987759,
23,1,0,0.5169458,
5692,0,0,0.680685,
7416,0,0,0.5875637,
5592,0,0,0.5006161,
5155,0,0,0.5804179,
4211,1,0,0.5275904,
5731,0,0,0.7887617,
4331,0,0,0.5106832,
5533,1,0,0.5275023,
5688,0,0,0.70076454,
4119,0,0,0.76261204,
5632,0,0,0.79850197,
8223,0,0,0.7803505,
