index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.7934702,1.685246467590332
7340,1,1,0.83726573,
8347,0,0,0.6855913,
5203,0,0,0.9475559,
5591,0,0,0.87449956,
5138,1,0,0.563711,
4039,0,0,0.88712144,
5673,0,0,0.6440514,
7308,1,0,0.7100658,
7454,1,0,0.8957514,
7430,1,1,0.7757906,
7702,1,1,0.7238269,
70,0,0,0.90631974,
5563,0,0,0.78798544,
51,0,0,0.911655,
7561,0,0,0.96111125,
4342,1,1,0.81846476,
5558,0,1,0.76939064,
7697,0,0,0.9443986,
7731,1,1,0.6320674,
7733,1,0,0.7446187,
998,0,0,0.9403621,
5676,0,0,0.90924656,
4178,0,0,0.7025975,
7617,1,1,0.69707906,
7311,1,0,0.50912076,
5652,1,1,0.86451566,
5199,0,0,0.7002785,
7462,0,0,0.8822663,
4314,1,1,0.87816787,
7738,0,0,0.96245295,
7532,0,0,0.76220626,
5546,0,0,0.7741644,
965,0,0,0.82094604,
7665,1,1,0.7988936,
5642,1,1,0.79256994,
5696,0,0,0.8824672,
4270,0,1,0.7781069,
4274,0,0,0.9334986,
7514,1,0,0.85071886,
31,0,0,0.79930955,
7437,0,0,0.7662412,
5794,0,0,0.89246047,
7720,1,1,0.7514065,
4148,0,1,0.59580207,
7445,1,1,0.58925515,
5765,0,0,0.93947154,
7629,0,0,0.9299321,
4307,0,0,0.7837845,
4190,1,0,0.5038101,
4158,0,0,0.7550325,
5608,0,1,0.6903789,
7457,0,0,0.9286177,
5188,0,0,0.6816578,
7510,1,1,0.536646,
5659,0,0,0.87031126,
967,0,0,0.89176667,
5649,0,0,0.7295665,
5745,0,0,0.83854634,
4266,1,0,0.65108705,
5767,0,0,0.8195472,
4286,0,0,0.71673596,
3891,0,1,0.8345375,
7735,1,1,0.67686504,
4240,1,0,0.63735723,
8215,0,0,0.9597091,
4316,0,0,0.59246325,
4269,1,1,0.6830055,
3893,0,1,0.6317785,
4287,1,1,0.8221254,
7465,1,0,0.86744046,
5598,0,1,0.52342916,
7602,1,0,0.85300213,
5566,0,0,0.7656336,
4303,0,0,0.8619205,
5623,0,0,0.6066869,
59,0,0,0.8521809,
5169,0,0,0.88886195,
4257,0,1,0.61812854,
5807,0,0,0.9120547,
5133,1,0,0.5476243,
4138,1,0,0.8967831,
23,1,0,0.64400357,
5692,0,0,0.9259967,
7416,0,0,0.96508926,
5592,0,1,0.76191664,
5155,0,0,0.83765614,
4211,1,1,0.8271854,
5731,0,0,0.93970424,
4331,0,1,0.88796574,
5533,1,1,0.87642646,
5688,0,0,0.89647204,
4119,0,0,0.9155197,
5632,0,0,0.7736975,
8223,0,0,0.958411,
7415,0,0,0.8416859,
7493,1,1,0.5330007,
5813,1,0,0.8126584,
8232,0,0,0.9399338,
4339,0,0,0.9631299,
49,1,1,0.67713046,
4109,1,0,0.5187279,
7714,1,1,0.7104193,
7451,0,0,0.91804224,
955,0,0,0.9459514,
5684,1,0,0.8686688,
10,1,0,0.78299016,
5640,1,1,0.78093493,
4172,1,0,0.87685126,
5785,0,0,0.9261778,
5650,0,0,0.8403144,
7741,1,1,0.8275956,
5165,1,1,0.83456314,
7352,0,1,0.7135811,
7639,0,0,0.8544104,
7581,1,0,0.90161633,
7613,1,0,0.53331226,
975,1,1,0.8027625,
962,0,0,0.85221463,
5550,0,0,0.91014993,
7695,1,0,0.9293813,
7328,0,0,0.76401865,
7706,1,1,0.85053223,
5695,0,0,0.89289135,
4272,1,0,0.9347357,
4245,0,0,0.58685094,
7507,0,0,0.87509346,
4279,0,0,0.83069944,
4289,0,0,0.9399908,
5156,0,0,0.9027586,
5768,0,0,0.9370352,
5541,0,0,0.8896544,
5554,0,0,0.81932116,
4288,0,0,0.7051493,
5200,0,0,0.9339319,
957,1,1,0.5869385,
7356,1,1,0.85574204,
5163,0,0,0.9511438,
4276,0,0,0.8663439,
5600,0,0,0.8625724,
4198,1,0,0.7529082,
39,0,0,0.7482415,
30,0,0,0.9232998,
7358,1,1,0.79575825,
4101,0,0,0.8375389,
54,0,0,0.82752097,
7644,0,1,0.57777154,
7654,1,1,0.6254991,
5634,1,0,0.6959217,
7732,0,0,0.7623179,
