index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
7724,1,0,0.7311,0.08171207
7340,1,1,0.9526,0.92534876
8347,0,0,0.0474,0.24919935
5203,0,0,0.0474,0.10829431
5591,0,0,0.0474,0.25259274
5138,1,0,0.9526,0.21391639
4039,0,0,0.2689,0.413083
5673,0,0,0.2689,0.2940386
7308,1,1,0.9526,0.5551645
7454,1,0,0.7311,0.13260487
7430,1,1,0.9526,0.82803565
7702,1,0,0.9526,0.37456068
70,0,0,0.2689,0.14254422
5563,0,0,0.0474,0.14967695
51,0,0,0.0474,0.15675008
7561,0,0,0.0474,0.038488265
4342,1,1,0.9526,0.8633327
5558,0,0,0.0474,0.4551124
7697,0,0,0.0474,0.1235192
7731,1,1,0.9526,0.95329136
7733,1,1,0.9526,0.52997535
998,0,0,0.2689,0.07669551
5676,0,0,0.0474,0.14321508
4178,0,0,0.2689,0.4374106
7617,1,0,0.9526,0.3474465
7311,1,0,0.9526,0.17054068
5652,1,1,0.9526,1.0339448
5199,0,0,0.0474,0.2851274
7462,0,0,0.0474,0.026886301
4314,1,0,0.9526,0.28968573
7738,0,0,0.0474,0.17755991
7532,0,0,0.0474,0.23845786
5546,0,0,0.0474,0.14451829
965,0,0,0.0474,0.31208408
7665,1,1,0.9526,0.928104
5642,1,1,0.9526,1.0369742
5696,0,0,0.0474,0.09591587
4270,0,1,0.2689,0.6207609
4274,0,0,0.0474,0.05119935
7514,1,0,0.7311,0.10249729
31,0,0,0.0474,0.22391663
7437,0,0,0.2689,0.195396
5794,0,0,0.0474,0.3006074
7720,1,1,0.9526,0.5350122
4148,0,1,0.0474,0.50251454
7445,1,0,0.9526,0.42576897
5765,0,0,0.0474,0.055437326
7629,0,0,0.0474,0.14378095
4307,0,0,0.2689,0.23124996
4190,1,0,0.9526,0.3355586
4158,0,0,0.2689,0.20041405
5608,0,0,0.0474,0.4931649
7457,0,0,0.0474,-0.0013046468
5188,0,0,0.0474,0.45678723
7510,1,0,0.9526,0.41346997
5659,0,0,0.0474,0.118711576
967,0,0,0.0474,0.13924864
5649,0,0,0.0474,0.22644135
5745,0,0,0.0474,0.32675016
4266,1,0,0.7311,0.4022737
5767,0,1,0.0474,0.5967783
4286,0,0,0.0474,0.21719043
3891,0,1,0.2689,0.95026225
7735,1,1,0.7311,0.885889
4240,1,1,0.7311,0.8391912
8215,0,0,0.0474,0.045551937
4316,0,0,0.2689,0.3741781
4269,1,0,0.9526,0.24342194
3893,0,0,0.2689,0.41202897
4287,1,0,0.9526,0.37335777
7465,1,0,0.7311,0.14969763
5598,0,0,0.0474,0.32060337
7602,1,0,0.7311,0.13903457
5566,0,0,0.0474,0.18833989
4303,0,0,0.0474,0.1468722
5623,0,0,0.0474,0.1893076
59,0,0,0.0474,0.30419198
5169,0,0,0.0474,0.3767475
4257,0,0,0.2689,0.25326136
5807,0,0,0.0474,0.04642845
5133,1,0,0.9526,0.35960138
4138,1,0,0.9526,0.14518107
23,1,1,0.7311,0.6556135
5692,0,0,0.2689,0.07372376
7416,0,0,0.0474,0.0088046715
5592,0,1,0.0474,0.74258614
5155,0,0,0.0474,0.1888534
4211,1,1,0.9526,0.9821488
5731,0,0,0.0474,0.14980964
4331,0,1,0.2689,0.91717094
5533,1,1,0.9526,0.8273173
5688,0,0,0.0474,0.021622526
4119,0,0,0.2689,0.15076038
5632,0,0,0.0474,0.20968786
8223,0,0,0.0474,0.05842846
7415,0,0,0.0474,0.2540551
7493,1,0,0.9526,0.32547826
5813,1,0,0.9526,0.3730679
8232,0,0,0.0474,0.062237605
4339,0,0,0.0474,0.05760917
49,1,1,0.9526,0.7974212
4109,1,0,0.9526,0.26622188
7714,1,1,0.9526,0.81561744
7451,0,0,0.0474,0.055383235
955,0,0,0.0474,0.120937005
5684,1,0,0.9526,0.16660999
10,1,0,0.7311,0.28449154
5640,1,1,0.9526,0.8931954
4172,1,0,0.7311,0.11514344
5785,0,0,0.0474,0.16438411
5650,0,0,0.0474,0.22098374
7741,1,1,0.7311,0.9760555
5165,1,1,0.9526,1.0054948
7352,0,0,0.2689,0.2485184
7639,0,0,0.0474,0.11052136
7581,1,0,0.7311,0.270137
7613,1,1,0.9526,0.7225775
975,1,1,0.9526,0.85309404
962,0,0,0.0474,0.14895132
5550,0,0,0.0474,0.07374182
7695,1,0,0.7311,0.06950416
7328,0,0,0.0474,0.32638228
7706,1,1,0.9526,0.5654932
5695,0,0,0.0474,0.17579229
4272,1,0,0.9526,0.21932925
4245,0,0,0.0474,0.35596693
7507,0,0,0.2689,0.10293742
4279,0,0,0.0474,0.17532367
4289,0,0,0.0474,0.07803799
5156,0,0,0.2689,0.36234808
5768,0,0,0.0474,0.14507526
5541,0,0,0.0474,0.39784342
5554,0,0,0.0474,0.18703619
4288,0,0,0.2689,0.20132501
5200,0,0,0.0474,0.11371166
957,1,1,0.9526,0.6225216
7356,1,1,0.9526,0.906305
5163,0,0,0.0474,0.073380716
4276,0,0,0.2689,0.3272136
5600,0,0,0.0474,0.109175235
4198,1,1,0.9526,0.62793106
39,0,1,0.2689,0.62478137
30,0,0,0.0474,0.08991098
7358,1,1,0.9526,0.99828726
4101,0,0,0.0474,0.12256938
54,0,0,0.0474,0.096952364
7644,0,0,0.0474,0.4309659
7654,1,1,0.9526,0.8712759
5634,1,1,0.9526,0.5803904
7732,0,0,0.0474,0.18954273
7670,1,0,0.9526,0.46061036
3,1,1,0.7311,0.56435215
7678,1,1,0.9526,0.6026289
4224,0,0,0.0474,0.010485612
7679,1,0,0.9526,0.13779952
7540,1,1,0.9526,0.6093549
7324,0,0,0.0474,0.07029626
7417,1,0,0.9526,0.4351908
4154,0,0,0.0474,0.07467852
58,1,1,0.9526,0.9676223
63,0,0,0.0474,0.09966041
5531,0,0,0.0474,0.12783383
4313,0,0,0.2689,0.3397336
997,1,1,0.9526,0.9270467
5607,0,0,0.0474,0.29357743
8251,0,0,0.0474,0.3295174
4195,0,0,0.0474,0.030490855
5583,0,0,0.0474,0.13406533
4322,0,0,0.0474,0.090327665
5804,0,0,0.0474,0.11653897
4217,0,0,0.0474,0.14748314
4299,1,1,0.7311,0.72552246
4312,0,0,0.2689,0.24636598
4330,0,1,0.2689,0.5921449
4253,0,0,0.0474,0.2810912
66,0,0,0.0474,0.1322664
4260,0,1,0.0474,0.7464451
67,1,0,0.9526,0.30343997
5624,0,1,0.0474,0.76694906
12,0,0,0.0474,0.17814067
7333,1,1,0.9526,0.6366125
5679,0,1,0.2689,0.9614783
5537,1,0,0.7311,0.037875913
5637,1,0,0.9526,0.15527971
5702,0,0,0.0474,0.24575719
5805,0,0,0.2689,0.12640107
4164,1,1,0.7311,0.5926856
4292,1,1,0.7311,0.76062304
7359,1,0,0.9526,0.31134805
5751,0,0,0.0474,0.27219778
7685,0,1,0.2689,0.8706868
4179,1,1,0.9526,0.94674104
7317,0,0,0.0474,0.09708141
7335,0,1,0.2689,0.5740804
7472,1,0,0.9526,0.40965462
4326,1,1,0.9526,0.86075014
5729,0,1,0.2689,0.6054457
2,0,0,0.0474,0.15635103
5586,0,0,0.0474,0.018812282
5655,0,0,0.0474,0.20263562
5661,0,0,0.0474,0.12407905
7490,1,0,0.9526,0.30020088
4188,1,0,0.7311,0.3754173
7516,0,0,0.0474,0.48867324
8218,0,0,0.0474,0.048606794
7468,0,0,0.0474,0.15161861
8217,0,0,0.0474,0.018767409
5152,0,0,0.0474,0.16663235
5180,0,0,0.0474,0.49718434
5268,1,1,0.9526,0.9294189
5735,0,0,0.0474,0.07472888
5587,0,0,0.0474,0.23216681
4278,1,0,0.7311,0.41853088
5683,0,0,0.0474,0.12135558
5677,1,1,0.9526,1.1063554
8230,0,0,0.0474,0.10998377
8233,0,0,0.0474,0.28449333
4223,0,0,0.0474,0.10364318
7439,1,1,0.9526,0.69989353
7526,1,0,0.7311,0.28488156
7650,0,0,0.0474,0.46246666
4227,0,0,0.0474,0.06493523
7683,1,0,0.9526,0.3252914
7707,1,0,0.9526,0.11838205
3890,1,0,0.7311,0.46699607
5697,0,1,0.2689,0.56432617
55,0,0,0.0474,0.3889856
4193,0,0,0.0474,0.42399246
4046,0,0,0.0474,0.45138088
5179,1,1,0.7311,0.73746896
25,0,0,0.0474,0.039409526
951,1,1,0.9526,1.0084689
7511,0,0,0.0474,0.20858994
44,1,0,0.7311,0.2651577
