index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.79610586,1.3126298189163208
7340,1,1,0.7163446,
8347,0,0,0.63731414,
5203,0,0,0.89321184,
5591,0,0,0.76108265,
5138,1,0,0.69439465,
4039,0,0,0.72829247,
5673,0,1,0.5838015,
7308,1,0,0.61190724,
7454,1,0,0.8890611,
7430,1,1,0.8370677,
7702,1,1,0.6521903,
70,0,0,0.89373523,
5563,0,0,0.822182,
51,0,0,0.88943136,
7561,0,0,0.9081794,
4342,1,1,0.5478882,
5558,0,0,0.5348016,
7697,0,0,0.90889776,
7731,1,1,0.7596413,
7733,1,0,0.59603953,
998,0,0,0.89312035,
5676,0,0,0.8429808,
4178,0,0,0.6865775,
7617,1,1,0.58692837,
7311,1,0,0.87768346,
5652,1,1,0.8267944,
5199,0,1,0.62320876,
7462,0,0,0.8010766,
4314,1,0,0.5062233,
7738,0,0,0.8375598,
7532,0,0,0.78703094,
5546,0,0,0.8843913,
965,0,0,0.7282424,
7665,1,1,0.7160167,
5642,1,1,0.81819606,
5696,0,0,0.7536524,
4270,0,1,0.52278936,
4274,0,0,0.89275587,
7514,1,0,0.8951748,
31,0,0,0.8308453,
7437,0,0,0.83447856,
5794,0,0,0.7731523,
7720,1,1,0.64534795,
4148,0,1,0.51729447,
7445,1,1,0.52415764,
5765,0,0,0.7334896,
7629,0,0,0.83586305,
4307,0,0,0.7550076,
4190,1,0,0.7586185,
4158,0,0,0.83809865,
5608,0,0,0.6228322,
7457,0,1,0.5066315,
5188,0,1,0.70458746,
7510,1,0,0.8363095,
5659,0,0,0.7901277,
967,0,0,0.86693466,
5649,0,0,0.69499624,
5745,0,0,0.59250116,
4266,1,0,0.76948285,
5767,0,0,0.5267287,
4286,0,0,0.8458128,
3891,0,1,0.64982593,
7735,1,1,0.69235873,
4240,1,0,0.6650202,
8215,0,0,0.8964724,
4316,0,0,0.66267824,
4269,1,0,0.559926,
3893,0,0,0.636037,
4287,1,1,0.53262144,
7465,1,0,0.8109158,
5598,0,0,0.6534647,
7602,1,0,0.8014544,
5566,0,0,0.79772866,
4303,0,0,0.85378444,
5623,0,0,0.8160981,
59,0,0,0.8296867,
5169,0,0,0.83464366,
4257,0,0,0.6148555,
5807,0,0,0.8226148,
5133,1,0,0.6143745,
4138,1,0,0.77991134,
23,1,1,0.54664433,
5692,0,0,0.7790343,
7416,0,0,0.88626564,
5592,0,1,0.6106787,
5155,0,0,0.748028,
4211,1,1,0.7406985,
5731,0,0,0.62803245,
4331,0,1,0.7945246,
5533,1,1,0.7389478,
5688,0,0,0.75015056,
4119,0,0,0.8844156,
5632,0,0,0.7546378,
8223,0,0,0.8996358,
7415,0,0,0.75725806,
7493,1,0,0.75230294,
5813,1,0,0.6948578,
8232,0,0,0.9133125,
4339,0,0,0.8930945,
49,1,1,0.60450727,
4109,1,1,0.65324676,
7714,1,0,0.9120931,
7451,0,0,0.8949101,
955,0,0,0.8862963,
5684,1,0,0.71188253,
10,1,1,0.6937056,
5640,1,1,0.78708154,
4172,1,0,0.6309121,
5785,0,0,0.7853359,
5650,0,0,0.7684444,
7741,1,1,0.83202094,
5165,1,1,0.76080644,
7352,0,0,0.6738822,
7639,0,0,0.8988747,
7581,1,0,0.58004093,
7613,1,1,0.5298669,
975,1,1,0.62526846,
962,0,0,0.8724671,
5550,0,0,0.9053668,
7695,1,0,0.91071945,
7328,0,0,0.82557523,
7706,1,0,0.55018073,
5695,0,0,0.81555134,
4272,1,0,0.8509341,
4245,0,0,0.67033726,
