index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
7724,1,0,0.7311,0.28487295
7340,1,1,0.9526,0.8444876
8347,0,0,0.0474,0.1519579
5203,0,0,0.0474,0.070989676
5591,0,0,0.0474,0.22848904
5138,1,0,0.9526,0.24794354
4039,0,0,0.2689,0.27964604
5673,0,1,0.2689,0.5183812
7308,1,0,0.9526,0.39331937
7454,1,0,0.7311,0.1091116
7430,1,1,0.9526,0.8070375
7702,1,0,0.9526,0.47680297
70,0,0,0.2689,0.10600557
5563,0,0,0.0474,0.12618163
51,0,0,0.0474,0.11843581
7561,0,0,0.0474,0.080578126
4342,1,1,0.9526,0.5868304
5558,0,0,0.0474,0.29913098
7697,0,0,0.0474,0.09221109
7731,1,1,0.9526,0.68146175
7733,1,0,0.9526,0.21695232
998,0,0,0.2689,0.061680242
5676,0,0,0.0474,0.14944361
4178,0,0,0.2689,0.33010125
7617,1,0,0.9526,0.4050716
7311,1,0,0.9526,0.37287903
5652,1,1,0.9526,0.997129
5199,0,0,0.0474,0.33381397
7462,0,0,0.0474,0.1726593
4314,1,0,0.9526,0.4483206
7738,0,0,0.0474,0.14214554
7532,0,0,0.0474,0.18178712
5546,0,0,0.0474,0.12759039
965,0,0,0.0474,0.31297734
7665,1,1,0.9526,0.6263364
5642,1,1,0.9526,0.9566813
5696,0,0,0.0474,0.117843054
4270,0,1,0.2689,0.6553448
4274,0,0,0.0474,0.096316956
7514,1,0,0.7311,0.25729445
31,0,0,0.0474,0.111655004
7437,0,0,0.2689,0.1720872
5794,0,0,0.0474,0.19084266
7720,1,1,0.9526,0.62080866
4148,0,0,0.0474,0.20449525
7445,1,0,0.9526,0.33545554
5765,0,0,0.0474,0.093124114
7629,0,0,0.0474,0.06846457
4307,0,0,0.2689,0.21545526
4190,1,0,0.9526,0.18534479
4158,0,0,0.2689,0.20483969
5608,0,0,0.0474,0.35292372
7457,0,0,0.0474,0.1912139
5188,0,0,0.0474,0.2662742
7510,1,1,0.9526,0.63104403
5659,0,0,0.0474,0.15935135
967,0,0,0.0474,0.09960467
5649,0,0,0.0474,0.2600041
5745,0,0,0.0474,0.21084005
4266,1,0,0.7311,0.29763165
5767,0,0,0.0474,0.3008461
4286,0,0,0.0474,0.21727635
3891,0,1,0.2689,0.7869745
7735,1,1,0.7311,0.8215344
4240,1,1,0.7311,0.7727328
8215,0,0,0.0474,0.045133524
4316,0,0,0.2689,0.43969324
4269,1,0,0.9526,0.17381966
3893,0,0,0.2689,0.34693342
4287,1,1,0.9526,0.5362465
7465,1,0,0.7311,0.16289899
5598,0,0,0.0474,0.27433503
7602,1,0,0.7311,0.2280046
5566,0,0,0.0474,0.17519626
4303,0,0,0.0474,0.21204078
5623,0,0,0.0474,0.14262019
59,0,0,0.0474,0.08857859
5169,0,0,0.0474,0.2211166
4257,0,0,0.2689,0.41676992
5807,0,0,0.0474,0.07476642
5133,1,0,0.9526,0.32882628
4138,1,0,0.9526,0.18572451
23,1,0,0.7311,0.40841648
5692,0,0,0.2689,0.115349375
7416,0,0,0.0474,0.10677654
5592,0,1,0.0474,0.52654535
5155,0,0,0.0474,0.27153802
4211,1,1,0.9526,0.85967463
5731,0,0,0.0474,0.1678256
4331,0,1,0.2689,0.783185
5533,1,1,0.9526,0.87511617
5688,0,0,0.0474,0.08459105
4119,0,0,0.2689,0.12967199
5632,0,0,0.0474,0.21257445
8223,0,0,0.0474,0.066991225
7415,0,0,0.0474,0.24185172
7493,1,0,0.9526,0.32217586
5813,1,0,0.9526,0.14242767
8232,0,0,0.0474,0.0850856
4339,0,0,0.0474,0.09077523
49,1,1,0.9526,0.68460923
4109,1,0,0.9526,0.37180883
7714,1,0,0.9526,0.2993197
7451,0,0,0.0474,0.1199901
955,0,0,0.0474,0.06851276
5684,1,0,0.9526,0.21656106
10,1,0,0.7311,0.18175259
5640,1,1,0.9526,0.84211266
4172,1,0,0.7311,0.2008156
5785,0,0,0.0474,0.103063494
5650,0,0,0.0474,0.12498016
7741,1,1,0.7311,0.8857104
5165,1,1,0.9526,0.890204
7352,0,1,0.2689,0.8443463
7639,0,0,0.0474,0.1034378
7581,1,0,0.7311,0.26005015
7613,1,0,0.9526,0.3341834
975,1,1,0.9526,0.6895364
962,0,0,0.0474,0.15227745
5550,0,0,0.0474,0.089472234
7695,1,0,0.7311,0.07624064
7328,0,0,0.0474,0.16600677
7706,1,1,0.9526,0.84590083
5695,0,0,0.0474,0.26054496
4272,1,0,0.9526,0.27513176
4245,0,0,0.0474,0.2216343
7507,0,0,0.2689,0.13780877
4279,0,0,0.0474,0.2192414
4289,0,0,0.0474,0.17130664
5156,0,0,0.2689,0.38744545
5768,0,0,0.0474,0.11254617
5541,0,0,0.0474,0.43844366
5554,0,0,0.0474,0.14105685
4288,0,0,0.2689,0.1336507
5200,0,0,0.0474,0.1795702
957,1,1,0.9526,0.514138
7356,1,1,0.9526,0.83433354
5163,0,0,0.0474,0.09883649
4276,0,0,0.2689,0.1875245
5600,0,0,0.0474,0.1246187
