index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.84058046,1.6888200044631958
7340,1,1,0.81427324,
8347,0,0,0.6416254,
5203,0,0,0.8737598,
5591,0,0,0.8501725,
5138,1,0,0.70218337,
4039,0,0,0.7402297,
5673,0,0,0.57017934,
7308,1,0,0.66708654,
7454,1,0,0.8762958,
7430,1,1,0.863282,
7702,1,0,0.5368044,
70,0,0,0.86457056,
5563,0,0,0.85901326,
51,0,0,0.826672,
7561,0,0,0.8660596,
4342,1,1,0.6985988,
5558,0,1,0.55627334,
7697,0,0,0.8455333,
7731,1,1,0.5743953,
7733,1,0,0.6053855,
998,0,0,0.7733681,
5676,0,0,0.83430094,
4178,0,0,0.7829417,
7617,1,0,0.56445146,
7311,1,0,0.75824326,
5652,1,1,0.81517744,
5199,0,1,0.52756125,
7462,0,0,0.9008728,
4314,1,0,0.5357761,
7738,0,0,0.8714448,
7532,0,0,0.83561087,
5546,0,0,0.8243026,
965,0,0,0.7878376,
7665,1,1,0.7468472,
5642,1,1,0.76942337,
5696,0,0,0.80890626,
4270,0,0,0.57177365,
4274,0,0,0.8493675,
7514,1,0,0.8318575,
31,0,0,0.75035626,
7437,0,0,0.78653675,
5794,0,0,0.8805644,
7720,1,1,0.54839486,
4148,0,0,0.78922516,
7445,1,1,0.58585215,
5765,0,0,0.8765989,
7629,0,0,0.8602589,
4307,0,0,0.7687281,
4190,1,0,0.6686907,
4158,0,0,0.86280394,
5608,0,0,0.58879983,
7457,0,0,0.700174,
5188,0,1,0.55303276,
7510,1,0,0.60586554,
5659,0,0,0.8278991,
967,0,0,0.8266554,
5649,0,0,0.82178557,
5745,0,0,0.8270634,
4266,1,0,0.84154695,
5767,0,0,0.69858074,
4286,0,0,0.8214998,
3891,0,1,0.5800043,
7735,1,1,0.8190287,
4240,1,0,0.6976522,
8215,0,0,0.87037045,
4316,0,0,0.77458537,
4269,1,1,0.51338106,
3893,0,0,0.821856,
4287,1,1,0.5214266,
7465,1,0,0.7608749,
5598,0,0,0.7119,
7602,1,0,0.8310314,
5566,0,0,0.86396396,
4303,0,0,0.8669662,
5623,0,0,0.8187608,
59,0,0,0.86287546,
5169,0,0,0.8454224,
4257,0,0,0.6588936,
5807,0,0,0.8775615,
5133,1,0,0.6631519,
4138,1,0,0.78432995,
23,1,1,0.5980116,
5692,0,0,0.86535645,
7416,0,0,0.83231425,
5592,0,0,0.53135604,
5155,0,0,0.81634176,
4211,1,1,0.8437005,
5731,0,0,0.8368567,
4331,0,1,0.8691066,
5533,1,1,0.7750965,
5688,0,0,0.81514055,
4119,0,0,0.8645589,
5632,0,0,0.769944,
8223,0,0,0.88071865,
7415,0,0,0.7277664,
7493,1,0,0.547461,
5813,1,0,0.8476011,
8232,0,0,0.8838395,
4339,0,0,0.8688368,
49,1,1,0.6483906,
4109,1,1,0.5574408,
7714,1,0,0.83770794,
7451,0,0,0.8762503,
955,0,0,0.8109969,
5684,1,0,0.83054656,
10,1,1,0.53545326,
5640,1,1,0.6273919,
4172,1,0,0.84781665,
5785,0,0,0.89682895,
5650,0,0,0.84279156,
7741,1,1,0.8873764,
5165,1,1,0.6995159,
7352,0,0,0.799108,
7639,0,0,0.85694546,
7581,1,0,0.67320997,
7613,1,0,0.5193884,
975,1,1,0.6247835,
962,0,0,0.8285918,
5550,0,0,0.85956347,
7695,1,0,0.8751527,
7328,0,0,0.850313,
7706,1,1,0.7246948,
5695,0,0,0.81551284,
4272,1,0,0.8392595,
4245,0,0,0.63941044,
7507,0,0,0.8003364,
4279,0,0,0.79395586,
4289,0,0,0.8591957,
5156,0,1,0.6330407,
5768,0,0,0.8615736,
5541,0,1,0.5005529,
5554,0,0,0.7727375,
4288,0,0,0.7587773,
5200,0,0,0.877731,
957,1,0,0.6550627,
7356,1,1,0.83325267,
5163,0,0,0.86062187,
4276,0,0,0.7076594,
5600,0,0,0.8373624,
4198,1,0,0.78572875,
39,0,0,0.7691962,
30,0,0,0.8433541,
7358,1,1,0.6677691,
4101,0,0,0.8888421,
54,0,0,0.8037949,
7644,0,0,0.5912347,
7654,1,1,0.53051436,
5634,1,0,0.61071324,
7732,0,0,0.68171036,
7670,1,0,0.563811,
3,1,1,0.6269045,
7678,1,1,0.5171004,
4224,0,0,0.8700344,
7679,1,0,0.65419847,
7540,1,1,0.7576187,
7324,0,0,0.8621456,
7417,1,0,0.5178617,
4154,0,0,0.8395068,
58,1,1,0.78988695,
63,0,0,0.84300905,
5531,0,0,0.7817083,
4313,0,0,0.74198526,
997,1,1,0.7576934,
5607,0,0,0.79784775,
8251,0,0,0.5587961,
4195,0,0,0.84707713,
5583,0,0,0.7821903,
4322,0,0,0.802173,
5804,0,0,0.83677864,
4217,0,0,0.8484329,
4299,1,1,0.7839878,
4312,0,0,0.7547627,
4330,0,1,0.57040524,
4253,0,0,0.77563745,
66,0,0,0.8186739,
4260,0,0,0.75336576,
67,1,0,0.64862525,
5624,0,0,0.75578994,
12,0,0,0.8440079,
7333,1,1,0.67558527,
5679,0,1,0.8767972,
5537,1,0,0.86133915,
5637,1,0,0.8353783,
5702,0,0,0.7879664,
5805,0,0,0.8319222,
4164,1,0,0.6019423,
4292,1,0,0.6573725,
7359,1,0,0.6446156,
5751,0,0,0.7406733,
7685,0,0,0.56366426,
4179,1,1,0.75627315,
7317,0,0,0.7833124,
7335,0,1,0.57693046,
7472,1,0,0.6292018,
4326,1,1,0.7948402,
5729,0,0,0.72924674,
2,0,0,0.7058974,
5586,0,0,0.8699938,
5655,0,0,0.6548254,
5661,0,0,0.8741315,
7490,1,0,0.5702123,
4188,1,0,0.7687777,
7516,0,0,0.8013122,
8218,0,0,0.8521641,
7468,0,0,0.80204016,
8217,0,0,0.8738344,
5152,0,0,0.8463324,
5180,0,1,0.5161803,
5268,1,1,0.5436641,
5735,0,0,0.8688642,
5587,0,0,0.8044536,
4278,1,0,0.5735862,
5683,0,0,0.83355707,
5677,1,1,0.87393314,
8230,0,0,0.8801373,
8233,0,0,0.635926,
4223,0,0,0.76834387,
7439,1,1,0.51473343,
7526,1,0,0.52082,
7650,0,0,0.84335697,
4227,0,0,0.83608586,
7683,1,0,0.65220654,
7707,1,0,0.75948066,
3890,1,0,0.54638207,
5697,0,0,0.7507565,
55,0,1,0.71739835,
4193,0,0,0.6930871,
4046,0,0,0.7026598,
5179,1,1,0.68739194,
25,0,0,0.895075,
951,1,1,0.87123203,
7511,0,0,0.8306684,
44,1,0,0.74357843,
5694,0,0,0.7335671,
5778,0,0,0.87789243,
