index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
7724,1,0,0.7311,0.12586346
7340,1,1,0.9526,0.75425303
8347,0,0,0.0474,0.27264762
5203,0,0,0.0474,0.030716037
5591,0,0,0.0474,0.08494754
5138,1,0,0.9526,0.27305788
4039,0,0,0.2689,0.40283892
5673,0,1,0.2689,0.64729017
7308,1,1,0.9526,0.8351857
7454,1,0,0.7311,0.03699189
7430,1,1,0.9526,0.77009326
7702,1,0,0.9526,0.4689115
70,0,0,0.2689,0.087243706
5563,0,0,0.0474,0.101804234
51,0,0,0.0474,0.04982483
7561,0,0,0.0474,0.043971203
4342,1,1,0.9526,0.9164024
5558,0,0,0.0474,0.35098028
7697,0,0,0.0474,0.11841932
7731,1,1,0.9526,0.738809
7733,1,0,0.9526,0.40881974
998,0,0,0.2689,0.20751369
5676,0,0,0.0474,0.24280162
4178,0,0,0.2689,0.33173475
7617,1,0,0.9526,0.39166784
7311,1,0,0.9526,0.21876538
5652,1,1,0.9526,0.9010976
5199,0,0,0.0474,0.11475255
7462,0,0,0.0474,0.09648743
4314,1,1,0.9526,0.5290207
7738,0,0,0.0474,0.27101243
7532,0,1,0.0474,0.594716
5546,0,0,0.0474,0.079587206
965,0,1,0.0474,0.71511585
7665,1,1,0.9526,0.8671237
5642,1,1,0.9526,0.981541
5696,0,0,0.0474,0.05966231
4270,0,1,0.2689,0.6758396
4274,0,0,0.0474,0.062163483
7514,1,1,0.7311,0.55032784
31,0,0,0.0474,0.18968737
7437,0,0,0.2689,0.17279369
5794,0,0,0.0474,0.32523933
7720,1,1,0.9526,0.8049814
4148,0,0,0.0474,0.17012084
7445,1,0,0.9526,0.28797856
5765,0,0,0.0474,0.09293877
7629,0,0,0.0474,0.09820538
4307,0,0,0.2689,0.2826558
4190,1,0,0.9526,0.30131662
4158,0,0,0.2689,0.13151708
5608,0,0,0.0474,0.39231363
7457,0,0,0.0474,0.05472545
5188,0,0,0.0474,0.18142726
7510,1,1,0.9526,0.7050784
5659,0,0,0.0474,0.13923165
967,0,0,0.0474,0.2344219
5649,0,0,0.0474,0.093436494
5745,0,1,0.0474,0.549048
4266,1,0,0.7311,0.37151352
5767,0,1,0.0474,0.8486705
4286,0,0,0.0474,0.33874696
3891,0,1,0.2689,0.8666222
7735,1,1,0.7311,0.8875253
