index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.74571776,1.846005916595459
7340,1,1,0.54483193,
8347,0,0,0.7642341,
5203,0,0,0.81690675,
5591,0,0,0.8142686,
5138,1,0,0.6035761,
4039,0,0,0.69454324,
5673,0,0,0.657963,
7308,1,0,0.7016758,
7454,1,0,0.78284746,
7430,1,1,0.6014735,
7702,1,1,0.6746131,
70,0,0,0.7703816,
5563,0,0,0.797186,
51,0,0,0.7686498,
7561,0,0,0.8573651,
4342,1,1,0.753361,
5558,0,1,0.53526336,
7697,0,0,0.84529454,
7731,1,1,0.5711211,
7733,1,0,0.58394176,
998,0,0,0.8178118,
5676,0,0,0.795989,
4178,0,0,0.68781227,
7617,1,1,0.6879998,
7311,1,0,0.7501971,
5652,1,1,0.5451647,
5199,0,0,0.61656857,
7462,0,0,0.7725379,
4314,1,1,0.5538952,
7738,0,0,0.76606584,
7532,0,0,0.754911,
5546,0,0,0.8113211,
965,0,0,0.6583198,
7665,1,1,0.774625,
5642,1,1,0.74806535,
5696,0,0,0.7981997,
4270,0,1,0.5337757,
4274,0,0,0.81887484,
7514,1,0,0.764572,
31,0,0,0.70930463,
7437,0,0,0.6948908,
5794,0,0,0.78045464,
7720,1,0,0.5883881,
4148,0,0,0.5153338,
7445,1,1,0.521882,
5765,0,0,0.8455463,
7629,0,0,0.81275636,
4307,0,0,0.6997883,
4190,1,0,0.6693922,
4158,0,0,0.76451397,
5608,0,0,0.60999143,
7457,0,0,0.80268985,
5188,0,0,0.52256954,
7510,1,0,0.614508,
5659,0,0,0.8027742,
967,0,0,0.72670084,
5649,0,0,0.75936496,
5745,0,0,0.815805,
4266,1,0,0.7482525,
5767,0,0,0.8090689,
4286,0,0,0.7141195,
3891,0,1,0.50150704,
7735,1,1,0.67002285,
4240,1,0,0.5226504,
8215,0,0,0.8360843,
4316,0,0,0.69759315,
4269,1,1,0.5481486,
3893,0,0,0.7190581,
4287,1,0,0.542472,
7465,1,0,0.6644574,
5598,0,0,0.6228113,
7602,1,0,0.76591855,
5566,0,0,0.8233216,
4303,0,0,0.8149437,
5623,0,0,0.70407194,
59,0,0,0.7338818,
5169,0,0,0.6882821,
4257,0,0,0.64905703,
5807,0,0,0.7887348,
5133,1,0,0.71275735,
4138,1,0,0.72865075,
23,1,1,0.6914152,
5692,0,0,0.77656364,
7416,0,0,0.8196143,
5592,0,0,0.52789414,
5155,0,1,0.5540428,
4211,1,1,0.7832454,
5731,0,0,0.7659196,
4331,0,1,0.8078266,
5533,1,1,0.75794464,
5688,0,0,0.8153062,
4119,0,0,0.77780974,
5632,0,0,0.7417891,
8223,0,0,0.81148446,
7415,0,0,0.69795454,
7493,1,0,0.6560641,
5813,1,0,0.7869585,
8232,0,0,0.7856669,
4339,0,0,0.8107394,
49,1,1,0.6457062,
4109,1,0,0.6828182,
7714,1,0,0.64657724,
7451,0,0,0.8559378,
955,0,0,0.82354695,
5684,1,0,0.7515411,
10,1,0,0.5776062,
5640,1,1,0.5814487,
4172,1,0,0.71508837,
5785,0,0,0.81558216,
5650,0,0,0.82325935,
7741,1,1,0.85253096,
5165,1,1,0.6319751,
7352,0,0,0.64240825,
7639,0,0,0.8186821,
7581,1,0,0.50744647,
7613,1,1,0.66061676,
975,1,1,0.5376095,
962,0,0,0.7473761,
5550,0,0,0.8112693,
7695,1,0,0.8627963,
7328,0,0,0.78048795,
7706,1,1,0.6679713,
5695,0,0,0.74333394,
4272,1,0,0.7528282,
4245,0,0,0.6425156,
7507,0,0,0.802841,
4279,0,0,0.7740064,
4289,0,0,0.8171813,
5156,0,0,0.6704163,
5768,0,0,0.8470258,
5541,0,0,0.540816,
5554,0,0,0.8035983,
4288,0,0,0.76251006,
5200,0,0,0.6853518,
957,1,1,0.5014026,
7356,1,1,0.62824154,
5163,0,0,0.8394052,
4276,0,0,0.7657661,
5600,0,0,0.8243702,
4198,1,0,0.6729489,
39,0,0,0.50069463,
30,0,0,0.80014545,
7358,1,1,0.6653393,
4101,0,0,0.7620123,
54,0,0,0.63190305,
7644,0,0,0.5409366,
7654,1,1,0.6557842,
5634,1,0,0.7113295,
7732,0,0,0.7153321,
7670,1,0,0.5587562,
3,1,1,0.6876436,
7678,1,1,0.64157057,
4224,0,0,0.80097866,
7679,1,0,0.5959888,
7540,1,1,0.74186605,
7324,0,0,0.7736106,
7417,1,0,0.51985747,
4154,0,0,0.78305346,
58,1,1,0.73672974,
63,0,0,0.79586816,
5531,0,0,0.67631054,
4313,0,0,0.58648604,
997,1,1,0.6252542,
5607,0,0,0.76526016,
8251,0,0,0.7221691,
4195,0,0,0.7955742,
5583,0,0,0.79401237,
4322,0,0,0.77125555,
5804,0,0,0.81564677,
4217,0,0,0.76162237,
4299,1,1,0.65422755,
4312,0,0,0.6064353,
4330,0,1,0.5057296,
4253,0,0,0.6557938,
66,0,0,0.79722804,
4260,0,0,0.69432026,
67,1,0,0.5695427,
5624,0,0,0.6750534,
12,0,0,0.7381295,
7333,1,1,0.52981114,
5679,0,1,0.76194054,
5537,1,0,0.7831857,
5637,1,0,0.8115472,
5702,0,0,0.7331611,
5805,0,0,0.7683417,
4164,1,0,0.58941317,
4292,1,0,0.6011752,
7359,1,0,0.59495986,
5751,0,0,0.6996736,
7685,0,1,0.5337841,
4179,1,1,0.7775353,
7317,0,0,0.7852999,
7335,0,0,0.5003402,
7472,1,0,0.5823042,
4326,1,1,0.7609108,
