index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
7724,1,0,0.7311,0.05868269
7340,1,1,0.9526,0.71138334
8347,0,0,0.0474,0.10605339
5203,0,0,0.0474,0.074242525
5591,0,0,0.0474,0.1493202
5138,1,0,0.9526,0.2632152
4039,0,0,0.2689,0.36887455
5673,0,1,0.2689,0.5761776
7308,1,1,0.9526,0.5860048
7454,1,0,0.7311,0.34137157
7430,1,1,0.9526,0.6789905
7702,1,0,0.9526,0.48491773
70,0,0,0.2689,0.36698774
5563,0,0,0.0474,0.074191175
51,0,0,0.0474,0.3944324
7561,0,0,0.0474,0.09101043
4342,1,1,0.9526,0.9171034
5558,0,0,0.0474,0.47067568
7697,0,0,0.0474,0.0715246
7731,1,1,0.9526,0.7822628
7733,1,1,0.9526,0.7019532
998,0,0,0.2689,0.47869453
5676,0,0,0.0474,0.16913536
4178,0,1,0.2689,0.58908546
7617,1,0,0.9526,0.4240045
7311,1,1,0.9526,0.5605061
5652,1,1,0.9526,0.90641034
5199,0,0,0.0474,0.28313127
7462,0,1,0.0474,0.5680155
4314,1,1,0.9526,0.7307837
7738,0,1,0.0474,0.6365388
7532,0,0,0.0474,0.43299836
5546,0,0,0.0474,0.14795111
965,0,1,0.0474,0.8137326
7665,1,1,0.9526,0.8816999
5642,1,1,0.9526,0.91080606
5696,0,0,0.0474,0.0707853
4270,0,1,0.2689,0.9896507
4274,0,0,0.0474,0.16880888
7514,1,0,0.7311,0.124915175
31,0,1,0.0474,0.57399935
7437,0,1,0.2689,0.62664485
5794,0,0,0.0474,0.40399206
7720,1,0,0.9526,0.33106807
4148,0,0,0.0474,0.2844946
7445,1,1,0.9526,0.50562716
5765,0,0,0.0474,0.09478896
7629,0,0,0.0474,0.045365006
4307,0,0,0.2689,0.18322742
4190,1,0,0.9526,0.34000367
4158,0,0,0.2689,0.18756685
5608,0,0,0.0474,0.19154994
7457,0,1,0.0474,0.7399436
5188,0,0,0.0474,0.41476747
7510,1,1,0.9526,0.56747884
5659,0,0,0.0474,0.20900318
967,0,1,0.0474,0.6673447
5649,0,0,0.0474,0.21748623
5745,0,0,0.0474,0.4023821
4266,1,1,0.7311,0.6881361
5767,0,1,0.0474,0.5610045
4286,0,0,0.0474,0.28770775
3891,0,1,0.2689,0.8956789
7735,1,1,0.7311,0.88161546
4240,1,1,0.7311,0.7871195
8215,0,0,0.0474,0.04742982
4316,0,0,0.2689,0.33452827
4269,1,0,0.9526,0.40147445
3893,0,1,0.2689,0.56088066
4287,1,0,0.9526,0.34457368
7465,1,0,0.7311,0.2602098
5598,0,0,0.0474,0.24834985
7602,1,0,0.7311,0.3790873
5566,0,0,0.0474,0.17442402
4303,0,0,0.0474,0.1495444
5623,0,0,0.0474,0.09178994
59,0,1,0.0474,0.68823403
5169,0,0,0.0474,0.118498676
4257,0,0,0.2689,0.4603152
5807,0,0,0.0474,0.104078054
5133,1,0,0.9526,0.41747618
4138,1,0,0.9526,0.31757867
23,1,1,0.7311,0.6905088
5692,0,0,0.2689,0.07718605
7416,0,0,0.0474,0.13543151
5592,0,0,0.0474,0.42678332
5155,0,0,0.0474,0.30471137
4211,1,1,0.9526,0.973635
5731,0,0,0.0474,0.17550504
4331,0,1,0.2689,0.92794144
5533,1,1,0.9526,0.7264515
5688,0,0,0.0474,0.27945152
4119,0,0,0.2689,0.08372881
5632,0,0,0.0474,0.27086133
8223,0,0,0.0474,0.044982992
7415,0,0,0.0474,0.17043455
7493,1,0,0.9526,0.3881639
5813,1,0,0.9526,0.10712034
8232,0,0,0.0474,0.07863304
4339,0,0,0.0474,0.12383418
49,1,1,0.9526,0.6874728
4109,1,0,0.9526,0.49638462
7714,1,0,0.9526,0.34062216
7451,0,1,0.0474,0.55865276
955,0,1,0.0474,0.670725
5684,1,0,0.9526,0.10463434
10,1,0,0.7311,0.4927729
5640,1,1,0.9526,0.8055068
4172,1,0,0.7311,0.28964305
5785,0,0,0.0474,0.18278113
5650,0,0,0.0474,0.24640596
7741,1,1,0.7311,0.8981335
5165,1,1,0.9526,0.8521136
7352,0,1,0.2689,0.7290186
7639,0,0,0.0474,0.13642606
7581,1,0,0.7311,0.27634978
7613,1,1,0.9526,0.56755364
975,1,1,0.9526,0.90260106
962,0,1,0.0474,0.68479395
5550,0,0,0.0474,0.082316175
7695,1,0,0.7311,0.07389226
7328,0,0,0.0474,0.1661938
7706,1,0,0.9526,0.48139727
5695,0,0,0.0474,0.112981975
4272,1,0,0.9526,0.45562038
4245,0,0,0.0474,0.34856316
7507,0,0,0.2689,0.16526867
4279,0,0,0.0474,0.20208554
4289,0,0,0.0474,0.08565894
5156,0,0,0.2689,0.43327945
5768,0,0,0.0474,0.123370595
5541,0,0,0.0474,0.29207918
5554,0,0,0.0474,0.09685949
4288,0,0,0.2689,0.22755589
5200,0,0,0.0474,0.25279388
957,1,1,0.9526,0.9331135
7356,1,1,0.9526,0.7123001
5163,0,0,0.0474,0.059626035
4276,0,0,0.2689,0.2479575
5600,0,0,0.0474,0.14368975
4198,1,1,0.9526,0.6630636
39,0,1,0.2689,0.71982956
30,0,0,0.0474,0.28649575
7358,1,1,0.9526,0.92202747
4101,0,0,0.0474,0.16215986
54,0,0,0.0474,0.32438922
7644,0,0,0.0474,0.34405735
7654,1,1,0.9526,0.86088014
5634,1,1,0.9526,0.6077352
7732,0,0,0.0474,0.29233122
7670,1,0,0.9526,0.40998548
3,1,1,0.7311,0.70550156
7678,1,0,0.9526,0.43688905
4224,0,0,0.0474,0.049621027
7679,1,0,0.9526,0.12440739
7540,1,1,0.9526,0.56544536
7324,0,0,0.0474,0.08423226
7417,1,0,0.9526,0.28404224
4154,0,0,0.0474,0.08690273
58,1,1,0.9526,0.8791168
63,0,0,0.0474,0.2733387
5531,0,0,0.0474,0.17914055
4313,0,0,0.2689,0.39352462
997,1,1,0.9526,0.87414515
5607,0,0,0.0474,0.24132155
8251,0,0,0.0474,0.092831835
4195,0,0,0.0474,0.11407707
5583,0,0,0.0474,0.16129819
4322,0,0,0.0474,0.15404558
5804,0,0,0.0474,0.07355257
4217,0,0,0.0474,0.26763764
4299,1,1,0.7311,0.7692174
4312,0,0,0.2689,0.31900725
4330,0,1,0.2689,0.55962765
4253,0,0,0.0474,0.37425378
66,0,0,0.0474,0.39321217
4260,0,1,0.0474,0.5321692
67,1,1,0.9526,0.50760627
5624,0,0,0.0474,0.4914867
12,0,0,0.0474,0.35827547
7333,1,0,0.9526,0.4751212
5679,0,1,0.2689,0.8845354
5537,1,0,0.7311,0.061712828
5637,1,0,0.9526,0.21104549
5702,0,0,0.0474,0.2888383
5805,0,0,0.2689,0.14011407
4164,1,1,0.7311,0.67276394
4292,1,1,0.7311,0.6840333
7359,1,0,0.9526,0.29427686
5751,0,0,0.0474,0.45200786
7685,0,1,0.2689,0.7148122
4179,1,1,0.9526,0.94464463
7317,0,0,0.0474,0.08546769
7335,0,1,0.2689,0.7213644
7472,1,1,0.9526,0.5124996
4326,1,1,0.9526,0.8218553
5729,0,0,0.2689,0.39741132
2,0,1,0.0474,0.5234636
5586,0,0,0.0474,0.06792415
5655,0,0,0.0474,0.19010764
5661,0,0,0.0474,0.16380452
7490,1,0,0.9526,0.41438353
4188,1,0,0.7311,0.4543803
7516,0,0,0.0474,0.40832546
8218,0,0,0.0474,0.04907002
7468,0,1,0.0474,0.5342697
8217,0,0,0.0474,0.017438082
5152,0,0,0.0474,0.27865124
5180,0,0,0.0474,0.31749016
5268,1,1,0.9526,0.8014293
5735,0,0,0.0474,0.027191132
5587,0,0,0.0474,0.19358797
4278,1,1,0.7311,0.6873848
5683,0,0,0.0474,0.11698242
5677,1,1,0.9526,0.95871556
8230,0,0,0.0474,0.08697996
8233,0,0,0.0474,0.42816922
4223,0,0,0.0474,0.10587219
7439,1,1,0.9526,0.6752231
7526,1,0,0.7311,0.3245844
7650,0,0,0.0474,0.36802778
4227,0,0,0.0474,0.081685886
7683,1,0,0.9526,0.35724986
7707,1,0,0.9526,0.1264455
3890,1,1,0.7311,0.55632824
5697,0,0,0.2689,0.49362394
55,0,1,0.0474,0.73803973
4193,0,0,0.0474,0.27613568
4046,0,0,0.0474,0.3012937
5179,1,1,0.7311,0.58333737
25,0,0,0.0474,0.3688932
951,1,1,0.9526,0.86391807
7511,0,0,0.0474,0.135122
44,1,1,0.7311,0.6895976
5694,0,0,0.0474,0.2979564
5778,0,0,0.0474,0.26299384
7500,1,0,0.9526,0.40698647
5809,0,0,0.2689,0.25190645
7708,1,1,0.9526,0.52003074
7460,0,0,0.0474,0.4200215
5646,0,0,0.0474,0.15438035
7414,0,0,0.0474,0.14864226
4324,0,1,0.2689,0.85987455
4301,1,1,0.7311,0.7461314
7649,0,0,0.0474,0.08011869
5205,0,1,0.2689,0.6410929
7674,0,0,0.0474,0.24648736
4236,0,1,0.2689,0.6550043
5582,0,0,0.0474,0.11087582
7401,0,0,0.0474,0.10783436
4189,0,0,0.0474,0.11342556
4334,0,0,0.2689,0.3208184
8231,1,0,0.9526,0.27646524
7698,0,0,0.0474,0.47107592
5820,1,1,0.7311,0.6882262
5771,0,0,0.0474,0.060105737
60,0,1,0.2689,0.7456995
5196,1,1,0.7311,0.64744574
971,0,1,0.0474,0.7742368
7353,0,1,0.0474,0.69444
4255,0,0,0.0474,0.053879853
7622,1,1,0.9526,0.64250267
5795,0,0,0.0474,0.2632384
5703,0,0,0.0474,0.25352868
5551,0,1,0.0474,0.6043798
4162,0,0,0.0474,0.23701683
5717,0,0,0.0474,0.42985514
4332,1,1,0.9526,0.9533083
3894,0,0,0.0474,0.4452947
5135,0,0,0.0474,0.17577748
5780,0,0,0.0474,0.47649673
7662,1,1,0.9526,0.57197666
5543,0,0,0.0474,0.37363455
4298,1,1,0.7311,0.50385755
4308,0,0,0.0474,0.3936949
4241,0,1,0.2689,0.80230063
5736,0,0,0.0474,0.14780895
5619,0,0,0.0474,0.1308096
5635,1,1,0.9526,0.71800977
7458,1,1,0.9526,0.8928074
4102,1,1,0.9526,0.83983284
4311,0,0,0.2689,0.36176237
7483,1,0,0.9526,0.30101183
5615,0,0,0.0474,0.28992963
5727,0,0,0.0474,0.11761466
5706,1,0,0.9526,0.25999323
