index,stereo,stereo_pred,softmax_confidence,temperature
7724,1,0,0.7398952,1.5000675916671753
7340,1,0,0.5527886,
8347,0,0,0.67181635,
5203,0,0,0.82429177,
5591,0,0,0.78901976,
5138,1,0,0.55301774,
4039,0,0,0.7088381,
5673,0,0,0.5304155,
7308,1,0,0.6450636,
7454,1,0,0.8706274,
7430,1,1,0.5591442,
7702,1,1,0.5723955,
70,0,0,0.7963289,
5563,0,0,0.80775595,
51,0,0,0.8032843,
7561,0,0,0.877082,
4342,1,1,0.60735655,
5558,0,0,0.55612445,
7697,0,0,0.8213537,
7731,1,1,0.50936407,
7733,1,0,0.60759217,
998,0,0,0.79045796,
5676,0,0,0.76042026,
4178,0,0,0.6331703,
7617,1,1,0.5200198,
7311,1,0,0.7738401,
5652,1,1,0.7782232,
5199,0,0,0.7797945,
7462,0,0,0.7945469,
4314,1,1,0.5993178,
7738,0,0,0.7269936,
7532,0,0,0.7405092,
5546,0,0,0.83368915,
965,0,0,0.7102789,
7665,1,1,0.58612514,
5642,1,1,0.6813673,
5696,0,0,0.76913285,
4270,0,0,0.57771444,
4274,0,0,0.8066026,
7514,1,0,0.75856066,
31,0,0,0.75751007,
7437,0,0,0.8087925,
5794,0,0,0.79398376,
7720,1,1,0.5175934,
4148,0,0,0.5942398,
7445,1,1,0.5868854,
5765,0,0,0.7875744,
7629,0,0,0.8315965,
4307,0,0,0.73014826,
4190,1,0,0.6493013,
4158,0,0,0.7637561,
5608,0,0,0.5648249,
7457,0,0,0.78238803,
5188,0,1,0.5386738,
7510,1,0,0.6316245,
5659,0,0,0.82368004,
967,0,0,0.77301794,
5649,0,0,0.68505657,
5745,0,0,0.71262467,
4266,1,0,0.7784591,
5767,0,0,0.5396414,
4286,0,0,0.7631921,
3891,0,1,0.5310713,
7735,1,1,0.67275316,
4240,1,0,0.6070187,
8215,0,0,0.8236134,
4316,0,0,0.6778481,
4269,1,1,0.5548035,
3893,0,0,0.6610707,
4287,1,1,0.54189837,
7465,1,0,0.6300661,
5598,0,0,0.65283453,
7602,1,0,0.6801844,
5566,0,0,0.7728221,
4303,0,0,0.8263805,
5623,0,0,0.771598,
59,0,0,0.6304618,
5169,0,0,0.82679635,
4257,0,0,0.5626792,
5807,0,0,0.82324517,
5133,1,0,0.57551754,
4138,1,0,0.79765695,
23,1,1,0.50784767,
5692,0,0,0.84792787,
7416,0,0,0.86303324,
5592,0,1,0.600749,
5155,0,0,0.6721651,
4211,1,1,0.759186,
5731,0,0,0.705301,
4331,0,1,0.6979415,
5533,1,1,0.637837,
5688,0,0,0.7766105,
4119,0,0,0.85652477,
5632,0,0,0.72529614,
8223,0,0,0.8411665,
7415,0,0,0.8318682,
7493,1,0,0.5037123,
5813,1,0,0.7651317,
8232,0,0,0.83196414,
4339,0,0,0.83365613,
49,1,1,0.5164713,
4109,1,0,0.5780027,
7714,1,0,0.7878654,
7451,0,0,0.8181287,
955,0,0,0.81782055,
5684,1,0,0.6939016,
10,1,0,0.5549081,
5640,1,1,0.7037058,
4172,1,0,0.6275252,
5785,0,0,0.7981484,
5650,0,0,0.8094604,
7741,1,1,0.7591297,
5165,1,1,0.5334394,
7352,0,0,0.7169528,
7639,0,0,0.83623683,
7581,1,0,0.61505896,
7613,1,1,0.5684656,
975,1,1,0.5399961,
962,0,0,0.7007781,
5550,0,0,0.82959455,
7695,1,0,0.806389,
7328,0,0,0.8488,
7706,1,0,0.6034671,
5695,0,0,0.80014074,
4272,1,0,0.7830782,
4245,0,0,0.62040573,
7507,0,0,0.7825417,
4279,0,0,0.7752171,
4289,0,0,0.8646952,
5156,0,0,0.6519492,
5768,0,0,0.7379999,
5541,0,0,0.5521598,
5554,0,0,0.7656897,
4288,0,0,0.6840474,
5200,0,0,0.825954,
957,1,0,0.5700307,
7356,1,1,0.5276006,
5163,0,0,0.8317546,
4276,0,0,0.72974646,
5600,0,0,0.82927513,
4198,1,0,0.6667562,
39,0,1,0.5918681,
30,0,0,0.8261775,
7358,1,1,0.5085982,
4101,0,0,0.80869067,
54,0,0,0.5973151,
7644,0,0,0.5796013,
7654,1,0,0.5824661,
5634,1,0,0.63474333,
7732,0,0,0.6999021,
7670,1,1,0.50166285,
3,1,0,0.5039528,
7678,1,0,0.5063541,
4224,0,0,0.8450343,
7679,1,0,0.6801873,
7540,1,1,0.59879875,
7324,0,0,0.847272,
7417,1,0,0.56626743,
4154,0,0,0.84196395,
58,1,1,0.7020665,
63,0,0,0.7732908,
5531,0,0,0.77354175,
4313,0,0,0.60210025,
997,1,1,0.6889881,
5607,0,0,0.7032671,
8251,0,0,0.72013676,
4195,0,0,0.83852834,
5583,0,0,0.803737,
4322,0,0,0.68190217,
5804,0,0,0.8388149,
4217,0,0,0.7620664,
4299,1,1,0.6339115,
4312,0,0,0.63567746,
4330,0,1,0.5292865,
4253,0,0,0.6842623,
66,0,0,0.787762,
4260,0,0,0.7204479,
67,1,0,0.51509655,
5624,0,0,0.67097914,
12,0,0,0.78920496,
7333,1,1,0.550604,
5679,0,1,0.7184401,
5537,1,0,0.8493345,
5637,1,0,0.8266329,
5702,0,1,0.7281639,
5805,0,0,0.7632552,
4164,1,1,0.57235676,
4292,1,0,0.58569956,
7359,1,0,0.74616426,
5751,0,0,0.6615428,
7685,0,1,0.6596827,
4179,1,1,0.6263556,
7317,0,0,0.77767605,
7335,0,0,0.66521823,
7472,1,1,0.5053523,
4326,1,1,0.60737133,
5729,0,0,0.74260986,
2,0,0,0.6662586,
5586,0,0,0.79680216,
5655,0,0,0.665845,
5661,0,0,0.863344,
7490,1,1,0.53973705,
4188,1,0,0.7045014,
7516,0,0,0.7421667,
8218,0,0,0.8408567,
7468,0,0,0.6877087,
8217,0,0,0.8501629,
5152,0,0,0.71836036,
5180,0,0,0.5615587,
5268,1,0,0.54353416,
5735,0,0,0.86963797,
5587,0,0,0.7127142,
4278,1,0,0.59971327,
5683,0,0,0.83321863,
5677,1,1,0.8170637,
8230,0,0,0.8192712,
8233,0,0,0.67865384,
4223,0,0,0.7388631,
7439,1,1,0.5623748,
7526,1,0,0.7551199,
7650,0,1,0.5585022,
4227,0,0,0.8269809,
7683,1,1,0.58478034,
7707,1,0,0.74597067,
3890,1,1,0.5161552,
5697,0,1,0.51598066,
55,0,1,0.58790636,
4193,0,0,0.6064366,
4046,0,0,0.6836998,
5179,1,1,0.5183545,
25,0,0,0.8664107,
951,1,1,0.83010143,
7511,0,0,0.7821742,
44,1,0,0.8088934,
5694,0,1,0.5748717,
5778,0,0,0.7863273,
7500,1,1,0.57879925,
5809,0,1,0.5630587,
7708,1,0,0.67830527,
7460,0,0,0.80385166,
5646,0,0,0.6823778,
7414,0,0,0.79317683,
4324,0,0,0.5397346,
4301,1,1,0.5176719,
7649,0,0,0.8398315,
5205,0,0,0.7161404,
7674,0,0,0.6110753,
4236,0,0,0.65510255,
5582,0,0,0.85338134,
7401,0,0,0.74424046,
4189,0,0,0.80265665,
4334,0,0,0.6183231,
8231,1,0,0.7279109,
7698,0,0,0.50901085,
5820,1,0,0.5646513,
5771,0,0,0.8056169,
60,0,0,0.6028934,
5196,1,0,0.74726677,
971,0,0,0.77113795,
7353,0,0,0.6304299,
4255,0,0,0.8294174,
7622,1,1,0.50915974,
5795,0,0,0.8037912,
5703,0,0,0.74408764,
5551,0,0,0.63131356,
4162,0,0,0.6104819,
5717,0,0,0.70815694,
4332,1,1,0.76144016,
3894,0,0,0.7330467,
5135,0,0,0.8331046,
5780,0,0,0.73159856,
7662,1,1,0.50073576,
5543,0,0,0.56874657,
4298,1,0,0.7354645,
4308,0,0,0.7875689,
4241,0,0,0.5864451,
5736,0,0,0.80528647,
5619,0,0,0.7359253,
5635,1,1,0.63414824,
7458,1,1,0.57843655,
4102,1,0,0.5944584,
4311,0,0,0.5881753,
7483,1,1,0.6448812,
5615,0,0,0.5704453,
5727,0,0,0.7269892,
5706,1,0,0.7432452,
29,0,0,0.78012705,
4145,0,1,0.52501625,
4228,0,0,0.7127819,
8213,0,0,0.8345095,
7339,1,1,0.78456813,
7310,1,0,0.52882403,
5186,0,0,0.5792958,
8228,0,0,0.84480023,
7742,0,0,0.792829,
5690,1,1,0.6231134,
65,0,0,0.86614585,
7675,0,0,0.731042,
7659,1,1,0.6923149,
4234,1,1,0.53716636,
7344,1,0,0.5527886,
4335,1,0,0.5397306,
4201,1,0,0.66056895,
4215,0,0,0.7607091,
7330,0,0,0.7933606,
5669,0,0,0.6997188,
4285,0,0,0.86889666,
5596,0,0,0.78694606,
5715,0,0,0.8409882,
7745,1,0,0.5366139,
4229,0,0,0.797799,
7350,1,0,0.6634386,
5549,0,0,0.7832363,
71,0,0,0.85026395,
973,0,0,0.64417917,
33,0,0,0.8348365,
5776,0,0,0.7282811,
4239,1,0,0.7612958,
4184,0,0,0.851339,
5648,0,0,0.78858006,
5750,0,0,0.84568965,
5756,0,0,0.7701769,
956,0,0,0.74464625,
963,0,0,0.83156204,
5139,1,0,0.50855875,
961,0,0,0.8115336,
5552,0,0,0.7390889,
7700,0,0,0.8236558,
5737,1,0,0.74448466,
5686,0,1,0.52848077,
5617,0,0,0.6169934,
5653,0,0,0.5611483,
4341,1,0,0.8073599,
5,1,1,0.6786778,
4290,0,0,0.74941295,
5798,0,0,0.60601336,
3877,0,0,0.73529804,
976,0,0,0.72519815,
7471,1,1,0.5994074,
5579,0,0,0.74359936,
