index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
7724,1,0,0.7311,0.07251171
7340,1,1,0.9526,0.66125196
8347,0,0,0.0474,0.21542497
5203,0,0,0.0474,0.086306
5591,0,0,0.0474,0.028800227
5138,1,0,0.9526,0.26961175
4039,0,0,0.2689,0.11810125
5673,0,0,0.2689,0.25215816
7308,1,0,0.9526,0.48482236
7454,1,0,0.7311,0.04418983
7430,1,1,0.9526,0.9252764
7702,1,1,0.9526,0.519811
70,0,0,0.2689,0.1296967
5563,0,0,0.0474,0.057200704
51,0,0,0.0474,0.08910231
7561,0,0,0.0474,0.07606977
4342,1,1,0.9526,0.8910199
5558,0,0,0.0474,0.40413865
7697,0,0,0.0474,0.06213383
7731,1,1,0.9526,0.6340047
7733,1,0,0.9526,0.48732772
998,0,0,0.2689,0.21897751
5676,0,0,0.0474,0.15708719
4178,0,0,0.2689,0.20398389
7617,1,0,0.9526,0.13526882
7311,1,0,0.9526,0.42947373
5652,1,1,0.9526,1.0092398
5199,0,0,0.0474,0.2665291
7462,0,0,0.0474,0.119204365
4314,1,1,0.9526,0.8657947
7738,0,0,0.0474,0.39378732
7532,0,0,0.0474,0.2924471
5546,0,0,0.0474,0.06699612
965,0,0,0.0474,0.36421558
7665,1,1,0.9526,0.8806326
5642,1,1,0.9526,0.9439882
5696,0,0,0.0474,0.100030504
4270,0,1,0.2689,0.8136397
4274,0,0,0.0474,0.030241035
7514,1,0,0.7311,0.32294875
31,0,0,0.0474,0.2867569
7437,0,0,0.2689,0.2423914
5794,0,0,0.0474,0.12798508
7720,1,1,0.9526,0.61418617
4148,0,0,0.0474,0.18014976
7445,1,0,0.9526,0.3108956
5765,0,0,0.0474,0.010610458
7629,0,0,0.0474,0.09702877
4307,0,0,0.2689,0.09532473
4190,1,0,0.9526,0.3825878
4158,0,0,0.2689,0.16356476
5608,0,0,0.0474,0.21724628
7457,0,0,0.0474,0.07782801
5188,0,0,0.0474,0.2741282
7510,1,1,0.9526,0.72114885
5659,0,0,0.0474,0.26901233
967,0,0,0.0474,0.21077454
5649,0,0,0.0474,0.21464622
5745,0,0,0.0474,0.20556091
4266,1,0,0.7311,0.27284575
5767,0,0,0.0474,0.438802
4286,0,0,0.0474,0.17805141
3891,0,1,0.2689,0.8909099
7735,1,1,0.7311,0.8467161
4240,1,1,0.7311,0.73687285
8215,0,0,0.0474,0.056569442
4316,0,0,0.2689,0.17829105
4269,1,0,0.9526,0.24457295
3893,0,0,0.2689,0.31082675
4287,1,0,0.9526,0.34958243
7465,1,0,0.7311,0.157787
5598,0,0,0.0474,0.08660046
7602,1,0,0.7311,0.3625829
5566,0,0,0.0474,0.14957744
4303,0,0,0.0474,0.17206189
5623,0,0,0.0474,0.059802603
59,0,0,0.0474,0.23802371
5169,0,0,0.0474,0.3057519
4257,0,0,0.2689,0.1858565
5807,0,0,0.0474,0.0850154
5133,1,0,0.9526,0.45897275
4138,1,0,0.9526,0.09368124
23,1,1,0.7311,0.57851374
